Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,5e-05,16.443251,[1 4] ; [85 12],[4.21568627 0.78431373] ; [81.78431373 15.21568627],1
r3,1,0.002823,8.918405,[3 2] ; [91  5],[4.65346535 0.34653465] ; [89.34653465  6.65346535],0
n6,1,0.007885,7.059315,[1 4] ; [71 24],[3.6 1.4] ; [68.4 26.6],0
r1,1,0.025419,4.995124,[2 3] ; [79 18],[3.97058824 1.02941176] ; [77.02941176 19.97058824],0
a1,1,0.057521,3.607448,[1 4] ; [ 3 94],[0.19607843 4.80392157] ; [ 3.80392157 93.19607843],0
a5,1,0.058508,3.579191,[2 3] ; [75 22],[3.7745098 1.2254902] ; [73.2254902 23.7745098],0
p10,1,0.06407,3.428763,[1 4] ; [58 36],[2.97979798 2.02020202] ; [56.02020202 37.97979798],0
s6,1,0.081839,3.027994,[2 3] ; [70 23],[3.67346939 1.32653061] ; [68.32653061 24.67346939],0
s2,1,0.082561,3.013751,[1 4] ; [57 39],[2.87128713 2.12871287] ; [55.12871287 40.87128713],0
v1,1,0.097509,2.745827,[1 4] ; [56 41],[2.79411765 2.20588235] ; [54.20588235 42.79411765],0
s1,1,0.111558,2.532014,[1 4] ; [ 4 92],[0.24752475 4.75247525] ; [ 4.75247525 91.24752475],0
d3,1,0.123728,2.369485,[2 3] ; [70 27],[3.52941176 1.47058824] ; [68.47058824 28.52941176],0
a3,1,0.123728,2.369485,[2 3] ; [70 27],[3.52941176 1.47058824] ; [68.47058824 28.52941176],0
p4,1,0.154834,2.023967,[1 4] ; [50 45],[2.55 2.45] ; [48.45 46.55],0
p1,1,0.172521,1.860895,[1 4] ; [ 5 91],[0.2970297 4.7029703] ; [ 5.7029703 90.2970297],0
p2,1,0.201162,1.633916,[2 3] ; [65 31],[3.31683168 1.68316832] ; [63.68316832 32.31683168],0
b3,1,0.206791,1.59375,[2 1] ; [15 33],[1. 2.] ; [16. 32.],0
b2,1,0.206791,1.59375,[2 1] ; [15 33],[1. 2.] ; [16. 32.],0
v3,1,0.215336,1.535182,[1 4] ; [45 48],[2.34693878 2.65306122] ; [43.65306122 49.34693878],0
a6,1,0.235847,1.405248,[2 3] ; [64 33],[3.23529412 1.76470588] ; [62.76470588 34.23529412],0
b5,1,0.257842,1.280307,[2 3] ; [63 34],[3.18627451 1.81372549] ; [61.81372549 35.18627451],0
s8,1,0.275717,1.188082,[1 4] ; [43 53],[2.17821782 2.82178218] ; [41.82178218 54.17821782],0
d1,1,0.328998,0.952837,[2 3] ; [60 37],[3.03921569 1.96078431] ; [58.96078431 38.03921569],0
s4,1,0.346085,0.887761,[2 3] ; [21 75],[1.13861386 3.86138614] ; [21.86138614 74.13861386],0
v4,1,0.366246,0.816362,[4 1] ; [89  8],[4.55882353 0.44117647] ; [88.44117647  8.55882353],0
n5,1,0.402775,0.700026,[2 3] ; [56 39],[2.9 2.1] ; [55.1 39.9],0
n3,1,0.456511,0.554435,[1 1] ; [23  8],[1.45454545 0.54545455] ; [22.54545455  8.45454545],0
p3,1,0.457993,0.550796,[1 3] ; [42 54],[1.72 2.28] ; [41.28 54.72],0
n4,1,0.507234,0.439769,[4 1] ; [63 33],[3.31683168 1.68316832] ; [63.68316832 32.31683168],0
p8,1,0.545428,0.365571,[1 4] ; [31 63],[1.61616162 3.38383838] ; [30.38383838 63.61616162],0
a7,1,0.556493,0.345813,[3 2] ; [70 27],[3.57843137 1.42156863] ; [69.42156863 27.57843137],0
s3,1,0.566674,0.32828,[2 3] ; [51 45],[2.62376238 2.37623762] ; [50.37623762 45.62376238],0
b1,1,0.583048,0.301333,[3 2] ; [46 51],[2.40196078 2.59803922] ; [46.59803922 50.40196078],0
a4,1,0.614506,0.253665,[2 3] ; [50 47],[2.54901961 2.45098039] ; [49.45098039 47.54901961],0
u3,1,0.625585,0.238095,[2 1] ; [14 13],[1.6 1.4] ; [14.4 12.6],0
p7,1,0.629694,0.232476,[2 3] ; [48 46],[2.52525253 2.47474747] ; [47.47474747 46.52525253],0
p6,1,0.68328,0.166458,[2 2] ; [37 56],[1.60824742 2.39175258] ; [37.39175258 55.60824742],0
d4,1,0.785635,0.073975,[4 1] ; [82 15],[4.21568627 0.78431373] ; [81.78431373 15.21568627],0
d2,1,0.849189,0.036158,[3 2] ; [54 43],[2.79411765 2.20588235] ; [54.20588235 42.79411765],0
b4,1,0.884515,0.021097,[3 2] ; [55 42],[2.84313725 2.15686275] ; [55.15686275 41.84313725],0
