Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,4.3e-05,16.722583,[1 2] ; [91  5],[2.78787879 0.21212121] ; [89.21212121  6.78787879],1
r3,1,0.000427,12.409375,[1 2] ; [89  7],[2.72727273 0.27272727] ; [87.27272727  8.72727273],1
r4,1,0.001755,9.789427,[1 2] ; [88  9],[2.67 0.33] ; [86.33 10.67],0
p9,1,0.024014,5.093652,[1 2] ; [78 15],[2.46875 0.53125] ; [76.53125 16.46875],0
r1,1,0.048639,3.887781,[1 2] ; [78 19],[2.37 0.63] ; [76.63 20.37],0
p10,1,0.050503,3.824691,[1 2] ; [77 19],[2.36363636 0.63636364] ; [75.63636364 20.36363636],0
d5,1,0.078932,3.086755,[1 2] ; [75 22],[2.28 0.72] ; [73.72 23.28],0
p5,1,0.103158,2.656035,[1 2] ; [ 7 89],[0.24242424 2.75757576] ; [ 7.75757576 88.24242424],0
a3,1,0.123511,2.372219,[1 2] ; [70 25],[2.17346939 0.82653061] ; [68.82653061 26.17346939],0
a5,1,0.159387,1.980036,[1 2] ; [69 28],[2.1 0.9] ; [67.9 29.1],0
p1,1,0.21791,1.518085,[1 2] ; [10 85],[0.33673469 2.66326531] ; [10.66326531 84.33673469],0
a7,1,0.306343,1.046376,[1 2] ; [60 36],[1.84848485 1.15151515] ; [59.15151515 36.84848485],0
a8,1,0.363185,0.826849,[1 2] ; [12 72],[0.44827586 2.55172414] ; [12.55172414 71.44827586],0
a6,1,0.3672,0.813118,[1 2] ; [57 39],[1.75757576 1.24242424] ; [56.24242424 39.75757576],0
n6,1,0.411916,0.673263,[2 1] ; [81 15],[2.51515152 0.48484848] ; [80.48484848 15.51515152],0
d4,1,0.450995,0.568149,[2 1] ; [80 16],[2.48484848 0.51515152] ; [79.51515152 16.48484848],0
s7,1,0.476185,0.507588,[1 2] ; [52 44],[1.60606061 1.39393939] ; [51.39393939 44.60606061],0
s8,1,0.545777,0.364936,[1 2] ; [49 47],[1.51515152 1.48484848] ; [48.48484848 47.51515152],0
s6,1,0.572637,0.318291,[2 1] ; [76 19],[2.3877551 0.6122449] ; [75.6122449 19.3877551],0
p7,1,0.660979,0.192337,[2 1] ; [49 42],[1.62765957 1.37234043] ; [49.37234043 41.62765957],0
b2,1,0.709496,0.13878,[1 2] ; [27 34],[1.3125 1.6875] ; [26.6875 34.3125],0
b3,1,0.709496,0.13878,[1 2] ; [27 34],[1.3125 1.6875] ; [26.6875 34.3125],0
u2,1,0.715441,0.132903,[1 1] ; [10 17],[0.75862069 1.24137931] ; [10.24137931 16.75862069],0
p2,1,0.777473,0.07987,[2 1] ; [71 25],[2.21212121 0.78787879] ; [70.78787879 25.21212121],0
s4,1,0.786344,0.073474,[1 2] ; [25 70],[0.79591837 2.20408163] ; [25.20408163 69.79591837],0
p8,1,0.822053,0.050583,[1 2] ; [37 56],[1.1875 1.8125] ; [36.8125 56.1875],0
n5,1,1.0,0.0,[2 1] ; [64 32],[2. 1.] ; [64. 32.],0
n4,1,1.0,0.0,[2 1] ; [64 32],[2. 1.] ; [64. 32.],0
