Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,93.141065,[253 108] ; [ 49 135],[200.04036697 160.95963303] ; [101.95963303  82.04036697],1
p6,1,0.0,61.44773,[192 170] ; [ 33 150],[149.44954128 212.55045872] ; [ 75.55045872 107.44954128],1
p2,1,0.0,40.832199,[330  33] ; [128  56],[303.93784278  59.06215722] ; [154.06215722  29.93784278],1
p3,1,1e-06,25.132208,[226 137] ; [ 73 111],[198.42230347 164.57769653] ; [100.57769653  83.42230347],1
p4,1,1e-06,23.806538,[268  95] ; [97 86],[242.66483516 120.33516484] ; [122.33516484  60.66483516],1
p10,1,1.7e-05,18.48998,[324  37] ; [138  44],[307.14917127  53.85082873] ; [154.85082873  27.14917127],1
p11,1,0.000432,12.388892,[301  63] ; [128  56],[284.95620438  79.04379562] ; [144.04379562  39.95620438],1
s5,1,0.0044,8.110738,[174 185] ; [ 62 113],[158.65917603 200.34082397] ; [77.34082397 97.65917603],0
n5,1,0.006029,7.541719,[295  67] ; [131  53],[282.43956044  79.56043956] ; [143.56043956  40.43956044],0
p9,1,0.007549,7.137549,[330  32] ; [151  30],[320.66666667  41.33333333] ; [160.33333333  20.66666667],0
p5,1,0.011311,6.415785,[ 61 302] ; [ 16 166],[ 51.28623853 311.71376147] ; [ 25.71376147 156.28623853],0
d3,1,0.013338,6.123751,[269  93] ; [118  66],[256.58241758 105.41758242] ; [130.41758242  53.58241758],0
r3,1,0.01434,5.99579,[359   4] ; [176   8],[355.03656307   7.96343693] ; [179.96343693   4.03656307],0
s7,1,0.018732,5.526374,[226 124] ; [95 81],[213.59315589 136.40684411] ; [107.40684411  68.59315589],0
a1,1,0.034193,4.485032,[ 26 338] ; [  5 179],[ 20.59124088 343.40875912] ; [ 10.40875912 173.59124088],0
b5,1,0.037425,4.330976,[214 150] ; [125  59],[225.17518248 138.82481752] ; [113.82481752  70.17518248],0
b1,1,0.050031,3.840415,[148 216] ; [ 59 125],[137.49635036 226.50364964] ; [ 69.50364964 114.49635036],0
s8,1,0.07412,3.189332,[215 147] ; [94 89],[205.2440367 156.7559633] ; [103.7559633  79.2440367],0
d5,1,0.077158,3.123774,[308  53] ; [146  38],[300.72293578  60.27706422] ; [153.27706422  30.72293578],0
v1,1,0.080859,3.047551,[213 144] ; [91 85],[203.61726079 153.38273921] ; [100.38273921  75.61726079],0
d4,1,0.083516,2.99511,[311  50] ; [148  36],[304.03486239  56.96513761] ; [154.96513761  29.03486239],0
a8,1,0.086384,2.940507,[ 58 275] ; [ 19 146],[ 51.48795181 281.51204819] ; [ 25.51204819 139.48795181],0
a3,1,0.086834,2.932104,[273  90] ; [125  58],[264.6043956  98.3956044] ; [133.3956044  49.6043956],0
n1,1,0.10697,2.598425,[22 39] ; [28 27],[26.29310345 34.70689655] ; [23.70689655 31.29310345],0
v2,1,0.118101,2.442323,[209 144] ; [90 83],[200.65969582 152.34030418] ; [98.34030418 74.65969582],0
n4,1,0.122017,2.391244,[294  68] ; [139  45],[287.08058608  74.91941392] ; [145.91941392  38.08058608],0
b4,1,0.183487,1.76915,[212 152] ; [118  66],[219.19708029 144.80291971] ; [110.80291971  73.19708029],0
a2,1,0.217902,1.518135,[103 261] ; [ 43 141],[ 96.97810219 267.02189781] ; [ 49.02189781 134.97810219],0
r1,1,0.222967,1.485174,[320  42] ; [155  28],[315.50458716  46.49541284] ; [159.49541284  23.50458716],0
s1,1,0.223337,1.4828,[ 12 348] ; [ 10 171],[ 14.63955638 345.36044362] ; [  7.36044362 173.63955638],0
a5,1,0.255238,1.294403,[283  81] ; [135  49],[277.64963504  86.35036496] ; [140.35036496  43.64963504],0
n6,1,0.262,1.258157,[321  39] ; [158  26],[316.98529412  43.01470588] ; [162.01470588  21.98529412],0
d1,1,0.307127,1.042992,[230 134] ; [108  76],[224.51094891 139.48905109] ; [113.48905109  70.51094891],0
a4,1,0.367759,0.811221,[173 189] ; [ 80 103],[168.04770642 193.95229358] ; [84.95229358 98.04770642],0
v3,1,0.375954,0.783889,[151 202] ; [ 67 106],[146.30038023 206.69961977] ; [ 71.69961977 101.30038023],0
s3,1,0.391014,0.735785,[257 104] ; [121  58],[252.7 108.3] ; [125.3  53.7],0
n3,1,0.519694,0.4145,[46 14] ; [40 16],[44.48275862 15.51724138] ; [41.51724138 14.48275862],0
d2,1,0.54639,0.363824,[180 182] ; [96 87],[183.32477064 178.67522936] ; [92.67522936 90.32477064],0
v4,1,0.54849,0.36003,[357   7] ; [179   5],[356.02919708   7.97080292] ; [179.97080292   4.02919708],0
p12,1,0.598727,0.276921,[ 38 325] ; [ 22 162],[ 39.81718464 323.18281536] ; [ 20.18281536 163.81718464],0
u1,1,0.614039,0.254335,[ 80 284] ; [ 37 147],[ 77.71532847 286.28467153] ; [ 39.28467153 144.71532847],0
u2,1,0.643424,0.214292,[54 36] ; [37 21],[55.33783784 34.66216216] ; [35.66216216 22.33783784],0
a7,1,0.6447,0.212648,[271  92] ; [134  50],[268.76599634  94.23400366] ; [136.23400366  47.76599634],0
n2,1,0.662792,0.19015,[47 14] ; [45 11],[47.96581197 13.03418803] ; [44.03418803 11.96581197],0
r2,1,0.821018,0.051183,[353   9] ; [180   4],[353.38095238   8.61904762] ; [179.61904762   4.38095238],0
s4,1,0.844376,0.038533,[ 76 283] ; [ 37 144],[ 75.12407407 283.87592593] ; [ 37.87592593 143.12407407],0
p1,1,0.863896,0.029384,[ 35 326] ; [ 17 167],[ 34.4440367 326.5559633] ; [ 17.5559633 166.4440367],0
u4,1,0.878928,0.023204,[ 11 353] ; [  6 178],[ 11.2919708 352.7080292] ; [  5.7080292 178.2919708],0
a6,1,0.883463,0.021486,[243 118] ; [125  59],[243.75779817 117.24220183] ; [124.24220183  59.75779817],0
u3,1,0.924279,0.009034,[58 31] ; [38 21],[57.72972973 31.27027027] ; [38.27027027 20.72972973],0
s2,1,0.931609,0.007365,[238 125] ; [118  63],[237.55147059 125.44852941] ; [118.44852941  62.55147059],0
b2,1,0.959349,0.002598,[ 87 141] ; [39 64],[ 86.79154079 141.20845921] ; [39.20845921 63.79154079],0
b3,1,0.959349,0.002598,[ 87 141] ; [39 64],[ 86.79154079 141.20845921] ; [39.20845921 63.79154079],0
