Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,26.388955,[74  5] ; [7 9],[67.35789474 11.64210526] ; [13.64210526  2.35789474],1
s6,1,0.00363,8.460457,[72  5] ; [11  5],[68.72043011  8.27956989] ; [14.27956989  1.72043011],0
n5,1,0.063618,3.440472,[58 21] ; [8 8],[54.88421053 24.11578947] ; [11.11578947  4.88421053],0
n2,1,0.115611,2.475789,[17  2] ; [3 2],[15.83333333  3.16666667] ; [4.16666667 0.83333333],0
p11,1,0.173562,1.851906,[62 17] ; [10  6],[59.87368421 19.12631579] ; [12.12631579  3.87368421],0
a6,1,0.193504,1.690734,[53 26] ; [8 8],[50.72631579 28.27368421] ; [10.27368421  5.72631579],0
n4,1,0.207834,1.586451,[57 22] ; [9 7],[54.88421053 24.11578947] ; [11.11578947  4.88421053],0
a4,1,0.216868,1.524979,[38 41] ; [ 5 11],[35.75789474 43.24210526] ; [7.24210526 8.75789474],0
v2,1,0.21913,1.510057,[37 40] ; [ 5 11],[34.77419355 42.22580645] ; [7.22580645 8.77419355],0
p2,1,0.267877,1.227584,[68 11] ; [12  4],[66.52631579 12.47368421] ; [13.47368421  2.52631579],0
v4,1,0.271846,1.207411,[74  4] ; [14  2],[73.0212766  4.9787234] ; [14.9787234  1.0212766],0
u3,1,0.291699,1.111765,[13  4] ; [2 2],[12.14285714  4.85714286] ; [2.85714286 1.14285714],0
p1,1,0.325579,0.966401,[ 8 71] ; [ 3 13],[ 9.14736842 69.85263158] ; [ 1.85263158 14.14736842],0
b4,1,0.33294,0.937427,[45 34] ; [7 9],[43.24210526 35.75789474] ; [8.75789474 7.24210526],0
p6,1,0.33822,0.917167,[38 39] ; [10  6],[39.74193548 37.25806452] ; [8.25806452 7.74193548],0
a5,1,0.34695,0.884583,[55 24] ; [13  3],[56.54736842 22.45263158] ; [11.45263158  4.54736842],0
r3,1,0.397997,0.71437,[73  5] ; [14  2],[72.19148936  5.80851064] ; [14.80851064  1.19148936],0
p7,1,0.429692,0.623656,[53 21] ; [13  3],[54.26666667 19.73333333] ; [11.73333333  4.26666667],0
p9,1,0.447676,0.57653,[67 10] ; [15  1],[67.89247312  9.10752688] ; [14.10752688  1.89247312],0
v3,1,0.456136,0.555359,[27 51] ; [ 4 12],[25.72340426 52.27659574] ; [ 5.27659574 10.72340426],0
a7,1,0.466369,0.530565,[52 27] ; [9 7],[50.72631579 28.27368421] ; [10.27368421  5.72631579],0
s8,1,0.466369,0.530565,[52 27] ; [9 7],[50.72631579 28.27368421] ; [10.27368421  5.72631579],0
u1,1,0.471005,0.519617,[18 61] ; [ 5 11],[19.12631579 59.87368421] ; [ 3.87368421 12.12631579],0
p3,1,0.493897,0.468025,[42 37] ; [10  6],[43.24210526 35.75789474] ; [8.75789474 7.24210526],0
d4,1,0.498103,0.458975,[65 14] ; [12  4],[64.03157895 14.96842105] ; [12.96842105  3.03157895],0
d5,1,0.537005,0.381119,[64 15] ; [14  2],[64.86315789 14.13684211] ; [13.13684211  2.86315789],0
n6,1,0.537005,0.381119,[64 15] ; [14  2],[64.86315789 14.13684211] ; [13.13684211  2.86315789],0
r1,1,0.545605,0.36525,[60 19] ; [11  5],[59.04210526 19.95789474] ; [11.95789474  4.04210526],0
b5,1,0.547971,0.360965,[48 31] ; [11  5],[49.06315789 29.93684211] ; [9.93684211 6.06315789],0
d3,1,0.576052,0.31266,[59 20] ; [13  3],[59.87368421 19.12631579] ; [12.12631579  3.87368421],0
u2,1,0.585804,0.296946,[11  6] ; [2 2],[10.52380952  6.47619048] ; [2.47619048 1.52380952],0
p5,1,0.629201,0.233146,[ 8 71] ; [ 1 15],[ 7.48421053 71.51578947] ; [ 1.51578947 14.48421053],0
d1,1,0.665732,0.186635,[49 30] ; [9 7],[48.23157895 30.76842105] ; [9.76842105 6.23157895],0
n1,1,0.722283,0.126316,[ 6 13] ; [2 3],[ 6.33333333 12.66666667] ; [1.66666667 3.33333333],0
p12,1,0.731656,0.117597,[ 7 72] ; [ 1 15],[ 6.65263158 72.34736842] ; [ 1.34736842 14.65263158],0
b2,1,0.74254,0.107907,[12 36] ; [3 7],[12.4137931 35.5862069] ; [2.5862069 7.4137931],0
b3,1,0.74254,0.107907,[12 36] ; [3 7],[12.4137931 35.5862069] ; [2.5862069 7.4137931],0
b1,1,0.751412,0.100349,[33 46] ; [ 6 10],[32.43157895 46.56842105] ; [6.56842105 9.43157895],0
a3,1,0.759608,0.093633,[62 17] ; [12  4],[61.53684211 17.46315789] ; [12.46315789  3.53684211],0
r4,1,0.781936,0.076616,[67 12] ; [14  2],[67.35789474 11.64210526] ; [13.64210526  2.35789474],0
p8,1,0.807311,0.059485,[45 31] ; [10  6],[45.43478261 30.56521739] ; [9.56521739 6.43478261],0
a2,1,0.848098,0.03669,[18 61] ; [ 4 12],[18.29473684 60.70526316] ; [ 3.70526316 12.29473684],0
r2,1,0.855473,0.033175,[74  4] ; [15  1],[73.85106383  4.14893617] ; [15.14893617  0.85106383],0
v1,1,0.889777,0.019206,[38 41] ; [8 8],[38.25263158 40.74736842] ; [7.74736842 8.25263158],0
d2,1,0.889777,0.019206,[41 38] ; [8 8],[40.74736842 38.25263158] ; [8.25263158 7.74736842],0
s5,1,0.916801,0.010913,[46 26] ; [10  6],[45.81818182 26.18181818] ; [10.18181818  5.81818182],0
p4,1,0.952295,0.003579,[50 29] ; [10  6],[49.89473684 29.10526316] ; [10.10526316  5.89473684],0
