Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.00301,8.801289,[19 48] ; [15  9],[25.03296703 41.96703297] ; [ 8.96703297 15.03296703],0
s7,1,0.00758,7.130139,[ 9 55] ; [ 9 13],[13.39534884 50.60465116] ; [ 4.60465116 17.39534884],0
n4,1,0.031135,4.645512,[23 46] ; [14 10],[27.4516129 41.5483871] ; [ 9.5483871 14.4516129],0
s3,1,0.066356,3.370941,[21 47] ; [12 11],[24.65934066 43.34065934] ; [ 8.34065934 14.65934066],0
d3,1,0.085791,2.951622,[38 31] ; [18  6],[41.5483871 27.4516129] ; [14.4516129  9.5483871],0
p8,1,0.116461,2.464286,[18 51] ; [10 13],[21. 48.] ; [ 7. 16.],0
s6,1,0.123602,2.371077,[22 46] ; [12 12],[25.13043478 42.86956522] ; [ 8.86956522 15.13043478],0
r2,1,0.129566,2.297691,[52 15] ; [22  2],[54.48351648 12.51648352] ; [19.51648352  4.48351648],0
b4,1,0.141095,2.165978,[37 32] ; [17  7],[40.06451613 28.93548387] ; [13.93548387 10.06451613],0
v2,1,0.146859,2.104575,[28 40] ; [14 10],[31.04347826 36.95652174] ; [10.95652174 13.04347826],0
d4,1,0.170296,1.880338,[51 18] ; [21  3],[53.41935484 15.58064516] ; [18.58064516  5.41935484],0
r4,1,0.203844,1.614614,[45 24] ; [19  5],[47.48387097 21.51612903] ; [16.51612903  7.48387097],0
p4,1,0.264488,1.245113,[24 45] ; [11 12],[26.25 42.75] ; [ 8.75 14.25],0
p3,1,0.270875,1.212313,[20 48] ; [10 14],[22.17391304 45.82608696] ; [ 7.82608696 16.17391304],0
s8,1,0.372966,0.793759,[ 9 59] ; [ 5 19],[10.34782609 57.65217391] ; [ 3.65217391 20.34782609],0
a6,1,0.381256,0.766647,[36 33] ; [15  9],[37.83870968 31.16129032] ; [13.16129032 10.83870968],0
u2,1,0.385147,0.754209,[13 20] ; [5 4],[14.14285714 18.85714286] ; [3.85714286 5.14285714],0
