Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,7.9e-05,15.573392,[3 4] ; [107  10],[6.20967742 0.79032258] ; [103.79032258  13.20967742],1
r4,1,0.000469,12.234382,[3 4] ; [107  13],[6.06299213 0.93700787] ; [103.93700787  16.06299213],1
p2,1,0.018482,5.549903,[4 3] ; [106  14],[6.06299213 0.93700787] ; [103.93700787  16.06299213],0
s7,1,0.02467,5.046925,[1 6] ; [67 49],[3.8699187 3.1300813] ; [64.1300813 51.8699187],0
d1,1,0.040081,4.214444,[1 6] ; [65 55],[3.63779528 3.36220472] ; [62.36220472 57.63779528],0
a3,1,0.046172,3.975303,[2 5] ; [79 41],[4.46456693 2.53543307] ; [76.53543307 43.46456693],0
d5,1,0.064351,3.421544,[3 4] ; [89 30],[5.11111111 1.88888889] ; [86.88888889 32.11111111],0
s1,1,0.082659,3.011825,[1 6] ; [  3 117],[0.22047244 6.77952756] ; [  3.77952756 116.22047244],0
n4,1,0.112693,2.516047,[4 3] ; [98 22],[5.62204724 1.37795276] ; [96.37795276 23.62204724],0
a4,1,0.140043,2.177492,[1 6] ; [51 69],[2.86614173 4.13385827] ; [49.13385827 70.86614173],0
b4,1,0.202436,1.624716,[2 5] ; [64 56],[3.63779528 3.36220472] ; [62.36220472 57.63779528],0
d3,1,0.27024,1.215526,[2 5] ; [60 60],[3.41732283 3.58267717] ; [58.58267717 61.41732283],0
p12,1,0.288232,1.12786,[1 5] ; [  7 113],[0.38095238 5.61904762] ; [  7.61904762 112.38095238],0
r1,1,0.295004,1.096643,[4 3] ; [90 30],[5.18110236 1.81889764] ; [88.81889764 31.18110236],0
p9,1,0.298979,1.078743,[5 2] ; [103  17],[5.95275591 1.04724409] ; [102.04724409  17.95275591],0
n6,1,0.298979,1.078743,[5 2] ; [103  17],[5.95275591 1.04724409] ; [102.04724409  17.95275591],0
a5,1,0.332526,0.939037,[6 1] ; [82 38],[4.8503937 2.1496063] ; [83.1496063 36.8503937],0
p10,1,0.337957,0.918164,[5 2] ; [102  18],[5.8976378 1.1023622] ; [101.1023622  18.8976378],0
b5,1,0.345641,0.889395,[4 3] ; [47 73],[2.81102362 4.18897638] ; [48.18897638 71.81102362],0
p4,1,0.389284,0.741176,[6 1] ; [84 35],[5. 2.] ; [85. 34.],0
s6,1,0.409837,0.679272,[5 1] ; [78 38],[4.08196721 1.91803279] ; [78.91803279 37.08196721],0
s5,1,0.42445,0.637963,[2 5] ; [51 65],[3.01626016 3.98373984] ; [49.98373984 66.01626016],0
r3,1,0.445091,0.583123,[6 1] ; [112   8],[6.50393701 0.49606299] ; [111.49606299   8.50393701],0
p11,1,0.501222,0.452348,[5 2] ; [98 22],[5.67716535 1.32283465] ; [97.32283465 22.67716535],0
s4,1,0.579357,0.307275,[1 6] ; [28 92],[1.5984252 5.4015748] ; [27.4015748 92.5984252],0
n5,1,0.584846,0.298466,[5 2] ; [96 24],[5.56692913 1.43307087] ; [95.43307087 24.56692913],0
v1,1,0.603655,0.269519,[3 4] ; [63 56],[3.66666667 3.33333333] ; [62.33333333 56.66666667],0
p6,1,0.681211,0.168766,[3 4] ; [60 58],[3.528 3.472] ; [59.472 58.528],0
s2,1,0.681603,0.168327,[4 3] ; [59 61],[3.47244094 3.52755906] ; [59.52755906 60.47244094],0
d4,1,0.71936,0.129106,[5 2] ; [92 27],[5.38888889 1.61111111] ; [91.61111111 27.38888889],0
b3,1,0.732016,0.117268,[2 2] ; [31 44],[1.67088608 2.32911392] ; [31.32911392 43.67088608],0
b2,1,0.732016,0.117268,[2 2] ; [31 44],[1.67088608 2.32911392] ; [31.32911392 43.67088608],0
a8,1,0.738065,0.111834,[1 5] ; [ 14 102],[0.73770492 5.26229508] ; [ 14.26229508 101.73770492],0
a6,1,0.776299,0.080739,[3 4] ; [45 75],[2.64566929 4.35433071] ; [45.35433071 74.64566929],0
d2,1,0.778026,0.079463,[3 4] ; [58 62],[3.36220472 3.63779528] ; [57.63779528 62.36220472],0
b1,1,0.778026,0.079463,[3 4] ; [58 62],[3.36220472 3.63779528] ; [57.63779528 62.36220472],0
p7,1,0.77973,0.078216,[6 1] ; [97 22],[5.72222222 1.27777778] ; [97.27777778 21.72222222],0
p5,1,0.827091,0.047713,[1 6] ; [21 99],[1.21259843 5.78740157] ; [20.78740157 99.21259843],0
v2,1,0.830682,0.045722,[4 3] ; [62 55],[3.72580645 3.27419355] ; [62.27419355 54.72580645],0
u2,1,0.868012,0.027617,[3 2] ; [23 18],[2.82608696 2.17391304] ; [23.17391304 17.82608696],0
s8,1,0.94592,0.004601,[4 3] ; [67 53],[3.91338583 3.08661417] ; [67.08661417 52.91338583],0
u3,1,0.949971,0.003937,[2 3] ; [17 24],[2.06521739 2.93478261] ; [16.93478261 24.06521739],0
s3,1,0.965089,0.001916,[4 3] ; [69 50],[4.05555556 2.94444444] ; [68.94444444 50.05555556],0
v3,1,1.0,0.0,[3 4] ; [51 68],[3. 4.] ; [51. 68.],0
