Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,63.869616,[110   8] ; [13 27],[91.86075949 26.13924051] ; [31.13924051  8.86075949],1
s7,1,1.1e-05,19.364787,[55 54] ; [ 4 35],[43.4527027 65.5472973] ; [15.5472973 23.4527027],1
p11,1,0.000192,13.910948,[99 19] ; [22 18],[90.36708861 27.63291139] ; [30.63291139  9.36708861],1
n5,1,0.000203,13.799304,[94 23] ; [20 20],[84.95541401 32.04458599] ; [29.04458599 10.95541401],1
a7,1,0.00148,10.102966,[80 37] ; [16 24],[71.54140127 45.45859873] ; [24.45859873 15.54140127],0
s6,1,0.001786,9.756922,[75 39] ; [15 25],[66.62337662 47.37662338] ; [23.37662338 16.62337662],0
s8,1,0.004641,8.014105,[50 68] ; [ 7 33],[42.56962025 75.43037975] ; [14.43037975 25.56962025],0
a5,1,0.010188,6.601692,[69 49] ; [14 26],[61.98734177 56.01265823] ; [21.01265823 18.98734177],0
s2,1,0.011667,6.360792,[50 66] ; [ 8 31],[43.40645161 72.59354839] ; [14.59354839 24.40645161],0
a6,1,0.023765,5.111716,[77 41] ; [18 22],[70.94936709 47.05063291] ; [24.05063291 15.94936709],0
v2,1,0.02652,4.921811,[57 54] ; [12 27],[51.06 59.94] ; [17.94 21.06],0
p8,1,0.02825,4.812745,[61 55] ; [13 27],[55.02564103 60.97435897] ; [18.97435897 21.02564103],0
s5,1,0.037314,4.336032,[30 84] ; [ 4 35],[25.33333333 88.66666667] ; [ 8.66666667 30.33333333],0
a8,1,0.046605,3.959584,[10 99] ; [ 8 29],[13.43835616 95.56164384] ; [ 4.56164384 32.43835616],0
a3,1,0.054985,3.682547,[62 56] ; [14 26],[56.75949367 61.24050633] ; [19.24050633 20.75949367],0
n6,1,0.055769,3.658957,[99 19] ; [28 12],[94.84810127 23.15189873] ; [32.15189873  7.84810127],0
v1,1,0.068924,3.308463,[56 58] ; [13 27],[51.07792208 62.92207792] ; [17.92207792 22.07792208],0
n4,1,0.069135,3.303435,[86 32] ; [23 17],[81.40506329 36.59493671] ; [27.59493671 12.40506329],0
r2,1,0.076729,3.132853,[108   9] ; [33  7],[105.07643312  11.92356688] ; [35.92356688  4.07643312],0
s1,1,0.093631,2.810811,[  4 113] ; [ 4 35],[  6. 111.] ; [ 2. 37.],0
p2,1,0.116519,2.463496,[94 24] ; [27 13],[90.36708861 27.63291139] ; [30.63291139  9.36708861],0
b1,1,0.156974,2.003133,[44 74] ; [20 20],[47.79746835 70.20253165] ; [16.20253165 23.79746835],0
n1,1,0.162587,1.95,[10 14] ; [ 3 12],[ 8. 16.] ; [ 5. 10.],0
v3,1,0.195438,1.67614,[40 77] ; [ 9 30],[36.75 80.25] ; [12.25 26.75],0
d5,1,0.217736,1.519228,[60 57] ; [16 24],[56.63694268 60.36305732] ; [19.36305732 20.63694268],0
p4,1,0.231137,1.433849,[66 52] ; [18 22],[62.73417722 55.26582278] ; [21.26582278 18.73417722],0
b5,1,0.232639,1.42465,[67 51] ; [27 13],[70.20253165 47.79746835] ; [23.79746835 16.20253165],0
n2,1,0.237256,1.396825,[22  3] ; [11  4],[20.625  4.375] ; [12.375  2.625],0
u2,1,0.248222,1.333284,[27 29] ; [ 9 17],[24.58536585 31.41463415] ; [11.41463415 14.58536585],0
r1,1,0.270682,1.21329,[84 33] ; [25 15],[81.22929936 35.77070064] ; [27.77070064 12.22929936],0
p1,1,0.308576,1.036761,[ 16 102] ; [ 3 37],[ 14.18987342 103.81012658] ; [ 4.81012658 35.18987342],0
s3,1,0.309137,1.034358,[62 55] ; [17 22],[59.25 57.75] ; [19.75 19.25],0
p12,1,0.312859,1.018566,[  8 110] ; [ 1 39],[  6.72151899 111.27848101] ; [ 2.27848101 37.72151899],0
p3,1,0.339931,0.910693,[57 60] ; [16 24],[54.40127389 62.59872611] ; [18.59872611 21.40127389],0
p7,1,0.375408,0.785686,[73 43] ; [22 18],[70.64102564 45.35897436] ; [24.35897436 15.64102564],0
s4,1,0.382485,0.762701,[25 92] ; [ 6 34],[23.10191083 93.89808917] ; [ 7.89808917 32.10191083],0
r4,1,0.405983,0.690533,[106  12] ; [34  6],[104.55696203  13.44303797] ; [35.44303797  4.55696203],0
a1,1,0.41913,0.652754,[  1 117] ; [ 1 39],[  1.49367089 116.50632911] ; [ 0.50632911 39.49367089],0
b4,1,0.464265,0.535593,[57 61] ; [22 18],[59. 59.] ; [20. 20.],0
d2,1,0.480513,0.4977,[26 92] ; [11 29],[27.63291139 90.36708861] ; [ 9.36708861 30.63291139],0
b2,1,0.483451,0.491068,[16 52] ; [ 4 20],[14.7826087 53.2173913] ; [ 5.2173913 18.7826087],0
b3,1,0.483451,0.491068,[16 52] ; [ 4 20],[14.7826087 53.2173913] ; [ 5.2173913 18.7826087],0
d1,1,0.492359,0.471368,[  6 112] ; [ 1 39],[  5.2278481 112.7721519] ; [ 1.7721519 38.2278481],0
p5,1,0.618658,0.247759,[ 12 106] ; [ 3 37],[ 11.20253165 106.79746835] ; [ 3.79746835 36.20253165],0
