Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,8.1e-05,15.539229,[23 84] ; [11  5],[29.57723577 77.42276423] ; [ 4.42276423 11.57723577],1
s6,1,0.00031,13.008888,[37 72] ; [13  3],[43.6 65.4] ; [6.4 9.6],1
p8,1,0.002237,9.343799,[18 90] ; [8 8],[22.64516129 85.35483871] ; [ 3.35483871 12.64516129],0
p3,1,0.002627,9.050062,[23 86] ; [9 7],[27.904 81.096] ; [ 4.096 11.904],0
s2,1,0.002864,8.892298,[23 85] ; [9 7],[27.87096774 80.12903226] ; [ 4.12903226 11.87096774],0
p4,1,0.011336,6.411922,[22 84] ; [8 8],[26.06557377 79.93442623] ; [ 3.93442623 12.06557377],0
s7,1,0.021851,5.257626,[23 78] ; [8 8],[26.76068376 74.23931624] ; [ 4.23931624 11.76068376],0
s4,1,0.025196,5.01037,[16 93] ; [ 6 10],[19.184 89.816] ; [ 2.816 13.184],0
p12,1,0.030662,4.671771,[  5 104] ; [ 3 13],[  6.976 102.024] ; [ 1.024 14.976],0
s8,1,0.120806,2.406842,[22 87] ; [ 6 10],[24.416 84.584] ; [ 3.584 12.416],0
s3,1,0.129452,2.299065,[33 74] ; [8 8],[35.66666667 71.33333333] ; [ 5.33333333 10.66666667],0
s5,1,0.136175,2.220657,[18 87] ; [ 5 10],[20.125 84.875] ; [ 2.875 12.125],0
a5,1,0.155359,2.018826,[68 41] ; [7 9],[65.4 43.6] ; [9.6 6.4],0
n3,1,0.166403,1.915052,[23 20] ; [5 1],[24.57142857 18.42857143] ; [3.42857143 2.57142857],0
v2,1,0.167412,1.905962,[39 64] ; [8 6],[41.37606838 61.62393162] ; [5.62393162 8.37606838],0
r4,1,0.178073,1.813631,[70 39] ; [13  3],[72.376 36.624] ; [10.624  5.376],0
v4,1,0.19852,1.65323,[79 30] ; [14  2],[81.096 27.904] ; [11.904  4.096],0
d2,1,0.198645,1.652311,[48 58] ; [10  6],[50.39344262 55.60655738] ; [7.60655738 8.39344262],0
a2,1,0.20172,1.629879,[21 88] ; [ 1 15],[19.184 89.816] ; [ 2.816 13.184],0
n2,1,0.222154,1.490401,[27 20] ; [5 1],[28.37735849 18.62264151] ; [3.62264151 2.37735849],0
p9,1,0.223197,1.4837,[48 56] ; [10  6],[50.26666667 53.73333333] ; [7.73333333 8.26666667],0
