Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,4.2e-05,16.766161,[40 30] ; [14 49],[28.42105263 41.57894737] ; [25.57894737 37.42105263],1
a3,1,0.005696,7.643934,[55 15] ; [36 28],[47.53731343 22.46268657] ; [43.46268657 20.53731343],0
a8,1,0.022861,5.179021,[ 8 58] ; [ 1 59],[ 4.71428571 61.28571429] ; [ 4.28571429 55.71428571],0
a5,1,0.026783,4.904738,[54 16] ; [38 26],[48.05970149 21.94029851] ; [43.94029851 20.05970149],0
p11,1,0.02791,4.833593,[46 24] ; [30 34],[39.70149254 30.29850746] ; [36.29850746 27.70149254],0
d2,1,0.034849,4.452544,[39 31] ; [24 40],[32.91044776 37.08955224] ; [30.08955224 33.91044776],0
p2,1,0.070512,3.271068,[52 16] ; [39 24],[47.23664122 20.76335878] ; [43.76335878 19.23664122],0
p7,1,0.075367,3.162084,[38 29] ; [25 36],[32.9765625 34.0234375] ; [30.0234375 30.9765625],0
s2,1,0.111524,2.532491,[22 47] ; [29 35],[26.45864662 42.54135338] ; [24.54135338 39.45864662],0
n2,1,0.131302,2.27704,[18  6] ; [13 11],[15.5  8.5] ; [15.5  8.5],0
v4,1,0.176921,1.823303,[57 12] ; [58  6],[59.66165414  9.33834586] ; [55.33834586  8.66165414],0
p8,1,0.224378,1.476147,[23 45] ; [27 34],[26.35658915 41.64341085] ; [23.64341085 37.35658915],0
b1,1,0.23992,1.381066,[41 29] ; [31 33],[37.6119403 32.3880597] ; [34.3880597 29.6119403],0
a4,1,0.24121,1.37351,[31 39] ; [22 42],[27.68656716 42.31343284] ; [25.31343284 38.68656716],0
s6,1,0.257042,1.284617,[32 38] ; [35 28],[35.26315789 34.73684211] ; [31.73684211 31.26315789],0
a1,1,0.296447,1.090109,[ 5 65] ; [ 2 62],[ 3.65671642 66.34328358] ; [ 3.34328358 60.65671642],0
a6,1,0.301371,1.068118,[48 22] ; [49 15],[50.67164179 19.32835821] ; [46.32835821 17.67164179],0
a7,1,0.301371,1.068118,[48 22] ; [49 15],[50.67164179 19.32835821] ; [46.32835821 17.67164179],0
b5,1,0.341988,0.902965,[45 25] ; [36 28],[42.31343284 27.68656716] ; [38.68656716 25.31343284],0
u3,1,0.344471,0.893722,[9 6] ; [20  7],[10.35714286  4.64285714] ; [18.64285714  8.35714286],0
p12,1,0.348332,0.879523,[ 3 64] ; [ 1 61],[ 2.07751938 64.92248062] ; [ 1.92248062 60.07751938],0
s4,1,0.355398,0.85409,[10 60] ; [13 51],[12.01492537 57.98507463] ; [10.98507463 53.01492537],0
s8,1,0.361572,0.832424,[20 50] ; [23 41],[22.46268657 47.53731343] ; [20.53731343 43.46268657],0
b3,1,0.361966,0.831061,[ 9 30] ; [12 25],[10.77631579 28.22368421] ; [10.22368421 26.77631579],0
b2,1,0.361966,0.831061,[ 9 30] ; [12 25],[10.77631579 28.22368421] ; [10.22368421 26.77631579],0
s5,1,0.380915,0.767746,[13 53] ; [16 45],[15.07086614 50.92913386] ; [13.92913386 47.07086614],0
p1,1,0.434311,0.611268,[ 4 65] ; [ 6 58],[ 5.18796992 63.81203008] ; [ 4.81203008 59.18796992],0
r3,1,0.438429,0.600392,[59 11] ; [56  7],[60.52631579  9.47368421] ; [54.47368421  8.52631579],0
v2,1,0.442506,0.589774,[33 33] ; [33 25],[35.12903226 30.87096774] ; [30.87096774 27.12903226],0
v1,1,0.456813,0.553692,[32 35] ; [26 37],[29.89230769 37.10769231] ; [28.10769231 34.89230769],0
n3,1,0.474481,0.511522,[13 10] ; [16  8],[14.19148936  8.80851064] ; [14.80851064  9.19148936],0
u2,1,0.496429,0.462561,[12  3] ; [19  8],[11.07142857  3.92857143] ; [19.92857143  7.07142857],0
r4,1,0.499196,0.456646,[50 20] ; [49 15],[51.71641791 18.28358209] ; [47.28358209 16.71641791],0
a2,1,0.535186,0.384536,[15 55] ; [11 53],[13.58208955 56.41791045] ; [12.41791045 51.58208955],0
r1,1,0.575186,0.314082,[53 17] ; [45 18],[51.57894737 18.42105263] ; [46.42105263 16.57894737],0
p5,1,0.592953,0.285756,[ 3 66] ; [ 4 58],[ 3.6870229 65.3129771] ; [ 3.3129771 58.6870229],0
