Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,1e-06,24.187194,[62  1] ; [6 5],[57.89189189  5.10810811] ; [10.10810811  0.89189189],1
r3,1,1e-06,23.194296,[61  2] ; [6 6],[56.28  6.72] ; [10.72  1.28],1
v4,1,2.2e-05,17.976845,[62  1] ; [7 4],[58.74324324  4.25675676] ; [10.25675676  0.74324324],1
r1,1,0.000328,12.902793,[52 11] ; [4 8],[47.04 15.96] ; [8.96 3.04],1
a6,1,0.001885,9.657911,[41 22] ; [ 2 10],[36.12 26.88] ; [6.88 5.12],0
p9,1,0.003919,8.321073,[57  6] ; [7 5],[53.76  9.24] ; [10.24  1.76],0
s6,1,0.004133,8.224523,[51 12] ; [5 7],[47.04 15.96] ; [8.96 3.04],0
a7,1,0.01104,6.458847,[45 18] ; [4 8],[41.16 21.84] ; [7.84 4.16],0
s4,1,0.013604,6.088815,[11 52] ; [6 6],[14.28 48.72] ; [2.72 9.28],0
p7,1,0.016574,5.740962,[46 17] ; [4 7],[42.56756757 20.43243243] ; [7.43243243 3.56756757],0
p3,1,0.017765,5.619149,[34 29] ; [ 2 10],[30.24 32.76] ; [5.76 6.24],0
v2,1,0.026329,4.934266,[31 29] ; [ 2 10],[27.5 32.5] ; [5.5 6.5],0
v3,1,0.026878,4.898659,[26 36] ; [ 1 11],[22.62162162 39.37837838] ; [4.37837838 7.62162162],0
s5,1,0.037573,4.324271,[26 36] ; [ 1 10],[22.93150685 39.06849315] ; [4.06849315 6.93150685],0
v1,1,0.067123,3.352019,[36 27] ; [3 8],[33.2027027 29.7972973] ; [5.7972973 5.2027027],0
s3,1,0.06952,3.294322,[47 15] ; [6 6],[44.40540541 17.59459459] ; [8.59459459 3.40540541],0
u2,1,0.076225,3.143601,[15  6] ; [1 3],[13.44  7.56] ; [2.56 1.44],0
p11,1,0.117939,2.444479,[50 13] ; [7 5],[47.88 15.12] ; [9.12 2.88],0
d3,1,0.122638,2.383301,[31 32] ; [3 9],[28.56 34.44] ; [5.44 6.56],0
s1,1,0.129714,2.295918,[ 3 60] ; [ 2 10],[ 4.2 58.8] ; [ 0.8 11.2],0
p6,1,0.135734,2.225663,[30 32] ; [3 9],[27.64864865 34.35135135] ; [5.35135135 6.64864865],0
d2,1,0.139576,2.182633,[18 45] ; [ 1 11],[15.96 47.04] ; [3.04 8.96],0
p10,1,0.154822,2.024088,[53 10] ; [8 4],[51.24 11.76] ; [9.76 2.24],0
n6,1,0.20994,1.571839,[55  8] ; [8 3],[53.63513514  9.36486486] ; [9.36486486 1.63513514],0
a5,1,0.223313,1.482956,[43 20] ; [6 6],[41.16 21.84] ; [7.84 4.16],0
p4,1,0.231215,1.433373,[38 25] ; [5 7],[36.12 26.88] ; [6.88 5.12],0
p2,1,0.269596,1.218801,[55  8] ; [9 3],[53.76  9.24] ; [10.24  1.76],0
u3,1,0.28497,1.143235,[16  5] ; [2 2],[15.12  5.88] ; [2.88 1.12],0
a4,1,0.31617,1.004726,[13 50] ; [ 1 11],[11.76 51.24] ; [2.24 9.76],0
s8,1,0.322273,0.9797,[41 22] ; [6 6],[39.48 23.52] ; [7.52 4.48],0
p5,1,0.358437,0.843361,[12 50] ; [ 1 11],[10.89189189 51.10810811] ; [2.10810811 9.89189189],0
n5,1,0.368843,0.807559,[51 12] ; [11  1],[52.08 10.92] ; [9.92 2.08],0
b2,1,0.3998,0.708927,[20 21] ; [3 6],[18.86 22.14] ; [4.14 4.86],0
b3,1,0.3998,0.708927,[20 21] ; [3 6],[18.86 22.14] ; [4.14 4.86],0
n4,1,0.408809,0.682261,[49 14] ; [8 4],[47.88 15.12] ; [9.12 2.88],0
b4,1,0.43436,0.611137,[34 29] ; [5 7],[32.76 30.24] ; [6.24 5.76],0
n3,1,0.494125,0.467532,[8 3] ; [4 3],[7.33333333 3.66666667] ; [4.66666667 2.33333333],0
s2,1,0.578254,0.309066,[42 21] ; [7 5],[41.16 21.84] ; [7.84 4.16],0
p8,1,0.578254,0.309066,[42 21] ; [7 5],[41.16 21.84] ; [7.84 4.16],0
n2,1,0.605242,0.267161,[9 2] ; [5 2],[8.55555556 2.44444444] ; [5.44444444 1.55555556],0
n1,1,0.628745,0.233766,[6 5] ; [3 4],[5.5 5.5] ; [3.5 3.5],0
b1,1,0.647773,0.20872,[27 36] ; [6 6],[27.72 35.28] ; [5.28 6.72],0
p1,1,0.666789,0.185381,[14 49] ; [ 2 10],[13.44 49.56] ; [2.56 9.44],0
d4,1,0.858984,0.031566,[35 28] ; [7 5],[35.28 27.72] ; [6.72 5.28],0
b5,1,0.939086,0.00584,[36 27] ; [7 5],[36.12 26.88] ; [6.88 5.12],0
a3,1,1.0,0.0,[42 21] ; [8 4],[42. 21.] ; [8. 4.],0
