Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,2e-05,18.166273,[ 1 14] ; [48 24],[8.44827586 6.55172414] ; [40.55172414 31.44827586],1
d3,1,0.000177,14.061577,[ 4 11] ; [55 17],[10.17241379  4.82758621] ; [48.82758621 23.17241379],1
d4,1,0.000285,13.165147,[7 8] ; [63  9],[12.06896552  2.93103448] ; [57.93103448 14.06896552],1
a5,1,0.001252,10.412176,[ 3 12] ; [47 25],[8.62068966 6.37931034] ; [41.37931034 30.62068966],0
b4,1,0.008328,6.961648,[ 5 10] ; [50 22],[9.48275862 5.51724138] ; [45.51724138 26.48275862],0
a4,1,0.012721,6.207442,[ 1 14] ; [29 43],[5.17241379 9.82758621] ; [24.82758621 47.17241379],0
v3,1,0.023473,5.133141,[ 3 12] ; [37 34],[6.97674419 8.02325581] ; [33.02325581 37.97674419],0
p6,1,0.044399,4.04131,[ 3 12] ; [32 34],[6.48148148 8.51851852] ; [28.51851852 37.48148148],0
d2,1,0.052376,3.76373,[ 3 12] ; [34 38],[6.37931034 8.62068966] ; [30.62068966 41.37931034],0
s5,1,0.05319,3.737933,[ 1 13] ; [21 43],[ 3.94871795 10.05128205] ; [18.05128205 45.94871795],0
a6,1,0.061545,3.495259,[ 5 10] ; [43 29],[8.27586207 6.72413793] ; [39.72413793 32.27586207],0
a7,1,0.067957,3.331701,[6 9] ; [47 25],[9.13793103 5.86206897] ; [43.86206897 28.13793103],0
b1,1,0.077163,3.12367,[10  5] ; [30 42],[6.89655172 8.10344828] ; [33.10344828 38.89655172],0
r4,1,0.107485,2.590809,[6 9] ; [45 27],[8.79310345 6.20689655] ; [42.20689655 29.79310345],0
r2,1,0.121402,2.399135,[9 5] ; [57 12],[11.13253012  2.86746988] ; [54.86746988 14.13253012],0
a3,1,0.228528,1.45,[8 7] ; [50 22],[10.  5.] ; [48. 24.],0
s2,1,0.239441,1.383881,[ 5 10] ; [36 36],[7.06896552 7.93103448] ; [33.93103448 38.06896552],0
p3,1,0.240559,1.377315,[ 5 10] ; [35 35],[7.05882353 7.94117647] ; [32.94117647 37.05882353],0
p4,1,0.282469,1.155173,[10  5] ; [36 34],[8.11764706 6.88235294] ; [37.88235294 32.11764706],0
n5,1,0.309898,1.031111,[12  3] ; [48 24],[10.34482759  4.65517241] ; [49.65517241 22.34482759],0
s7,1,0.323021,0.976674,[4 9] ; [31 37],[5.61728395 7.38271605] ; [29.38271605 38.61728395],0
v4,1,0.362695,0.828541,[13  1] ; [60 12],[11.88372093  2.11627907] ; [61.11627907 10.88372093],0
b5,1,0.382809,0.761662,[8 7] ; [47 25],[9.48275862 5.51724138] ; [45.51724138 26.48275862],0
s3,1,0.393935,0.726761,[6 9] ; [37 34],[7.5 7.5] ; [35.5 35.5],0
s6,1,0.433603,0.613153,[8 7] ; [43 24],[9.32926829 5.67073171] ; [41.67073171 25.32926829],0
n4,1,0.505546,0.443274,[10  5] ; [54 18],[11.03448276  3.96551724] ; [52.96551724 19.03448276],0
n6,1,0.529888,0.394605,[11  4] ; [58 14],[11.89655172  3.10344828] ; [57.10344828 14.89655172],0
n2,1,0.568855,0.324601,[5 1] ; [18  7],[4.4516129 1.5483871] ; [18.5483871  6.4516129],0
p9,1,0.638421,0.220813,[11  4] ; [56 15],[11.68604651  3.31395349] ; [55.31395349 15.68604651],0
s1,1,0.683308,0.166426,[ 1 14] ; [ 3 68],[ 0.69767442 14.30232558] ; [ 3.30232558 67.69767442],0
n3,1,0.699638,0.148849,[5 1] ; [19  6],[4.64516129 1.35483871] ; [19.35483871  5.64516129],0
r3,1,0.709472,0.138805,[14  1] ; [65  7],[13.62068966  1.37931034] ; [65.37931034  6.62068966],0
p10,1,0.713384,0.134921,[10  5] ; [50 20],[10.58823529  4.41176471] ; [49.41176471 20.58823529],0
n1,1,0.723582,0.125086,[2 4] ; [ 6 17],[1.65517241 4.34482759] ; [ 6.34482759 16.65517241],0
u3,1,0.741854,0.108503,[3 4] ; [11 11],[3.37931034 3.62068966] ; [10.62068966 11.37931034],0
v1,1,0.751795,0.100029,[10  5] ; [43 26],[9.46428571 5.53571429] ; [43.53571429 25.46428571],0
s4,1,0.755867,0.096667,[ 3 12] ; [12 60],[ 2.5862069 12.4137931] ; [12.4137931 59.5862069],0
s8,1,0.776299,0.080739,[6 9] ; [26 46],[5.51724138 9.48275862] ; [26.48275862 45.51724138],0
p11,1,0.801364,0.063294,[11  4] ; [55 17],[11.37931034  3.62068966] ; [54.62068966 17.37931034],0
p5,1,0.806086,0.06026,[ 2 13] ; [ 8 64],[ 1.72413793 13.27586207] ; [ 8.27586207 63.72413793],0
a8,1,0.826264,0.048178,[ 1 13] ; [ 6 61],[ 1.20987654 12.79012346] ; [ 5.79012346 61.20987654],0
u2,1,0.84313,0.039161,[3 3] ; [10 12],[2.78571429 3.21428571] ; [10.21428571 11.78571429],0
p8,1,0.857328,0.03232,[7 8] ; [30 38],[6.68674699 8.31325301] ; [30.31325301 37.68674699],0
p2,1,0.915564,0.011241,[11  4] ; [53 18],[11.1627907  3.8372093] ; [52.8372093 18.1627907],0
p7,1,0.967655,0.001644,[9 6] ; [43 28],[9.06976744 5.93023256] ; [42.93023256 28.06976744],0
