Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,8.6e-05,15.418516,[14  5] ; [16 49],[ 6.78571429 12.21428571] ; [23.21428571 41.78571429],1
p3,1,0.000999,10.828894,[12  7] ; [15 50],[ 6.10714286 12.89285714] ; [20.89285714 44.10714286],1
p2,1,0.001749,9.796275,[17  2] ; [32 33],[11.08333333  7.91666667] ; [37.91666667 27.08333333],0
p9,1,0.004455,8.088422,[17  2] ; [33 29],[11.72839506  7.27160494] ; [38.27160494 23.72839506],0
d5,1,0.004865,7.928977,[18  1] ; [40 26],[12.96470588  6.03529412] ; [45.03529412 20.96470588],0
v2,1,0.007161,7.232223,[12  5] ; [22 42],[7.13580247 9.86419753] ; [26.86419753 37.13580247],0
s2,1,0.015955,5.807867,[10  7] ; [18 47],[ 5.80487805 11.19512195] ; [22.19512195 42.80487805],0
p7,1,0.016473,5.751681,[11  7] ; [19 44],[ 6.66666667 11.33333333] ; [23.33333333 39.66666667],0
s8,1,0.020401,5.377273,[ 8 10] ; [12 54],[ 4.28571429 13.71428571] ; [15.71428571 50.28571429],0
b5,1,0.030012,4.708595,[14  5] ; [30 36],[9.83529412 9.16470588] ; [34.16470588 31.83529412],0
s7,1,0.038306,4.291377,[9 5] ; [22 42],[5.56410256 8.43589744] ; [25.43589744 38.56410256],0
a4,1,0.04208,4.131984,[12  7] ; [24 41],[ 8.14285714 10.85714286] ; [27.85714286 37.14285714],0
r3,1,0.044943,4.020787,[13  4] ; [31 32],[9.35 7.65] ; [34.65 28.35],0
u1,1,0.048599,3.889165,[ 4 15] ; [ 4 62],[ 1.78823529 17.21176471] ; [ 6.21176471 59.78823529],0
n6,1,0.049159,3.869916,[16  3] ; [37 25],[12.43209877  6.56790123] ; [40.56790123 21.43209877],0
p11,1,0.067297,3.347749,[14  5] ; [33 33],[10.50588235  8.49411765] ; [36.49411765 29.50588235],0
a2,1,0.083112,3.002961,[ 5 14] ; [ 7 59],[ 2.68235294 16.31764706] ; [ 9.31764706 56.68235294],0
a5,1,0.090214,2.87055,[15  4] ; [38 28],[11.84705882  7.15294118] ; [41.15294118 24.84705882],0
v4,1,0.094429,2.797195,[13  4] ; [34 29],[9.9875 7.0125] ; [37.0125 25.9875],0
s6,1,0.10271,2.662945,[10  7] ; [24 41],[7.04878049 9.95121951] ; [26.95121951 38.04878049],0
r2,1,0.148068,2.092043,[12  4] ; [33 27],[9.47368421 6.52631579] ; [35.52631579 24.47368421],0
a6,1,0.19154,1.705735,[13  6] ; [34 32],[10.50588235  8.49411765] ; [36.49411765 29.50588235],0
v3,1,0.216741,1.525821,[ 7 11] ; [16 50],[ 4.92857143 13.07142857] ; [18.07142857 47.92857143],0
s3,1,0.238428,1.389862,[9 8] ; [23 39],[ 6.88607595 10.11392405] ; [25.11392405 36.88607595],0
p10,1,0.255251,1.294332,[12  6] ; [33 31],[9.87804878 8.12195122] ; [35.12195122 28.87804878],0
a3,1,0.276877,1.182356,[14  5] ; [39 26],[11.98809524  7.01190476] ; [41.01190476 23.98809524],0
p5,1,0.290201,1.118687,[ 3 16] ; [ 5 60],[ 1.80952381 17.19047619] ; [ 6.19047619 58.80952381],0
u2,1,0.317311,1.0,[3 2] ; [ 9 16],[2. 3.] ; [10. 15.],0
p8,1,0.344244,0.894561,[ 7 12] ; [17 49],[ 5.36470588 13.63529412] ; [18.63529412 47.36470588],0
p12,1,0.348867,0.877575,[ 1 18] ; [ 1 64],[ 0.45238095 18.54761905] ; [ 1.54761905 63.45238095],0
d1,1,0.3638,0.824732,[10  9] ; [27 39],[ 8.27058824 10.72941176] ; [28.72941176 37.27058824],0
n5,1,0.446699,0.579015,[16  2] ; [52 12],[14.92682927  3.07317073] ; [53.07317073 10.92682927],0
v1,1,0.465566,0.53248,[ 7 10] ; [20 43],[ 5.7375 11.2625] ; [21.2625 41.7375],0
b1,1,0.469736,0.522598,[11  8] ; [32 34],[9.61176471 9.38823529] ; [33.38823529 32.61176471],0
s4,1,0.475533,0.509091,[ 4 14] ; [10 56],[ 3. 15.] ; [11. 55.],0
n3,1,0.493459,0.468975,[4 2] ; [17 16],[3.23076923 2.76923077] ; [17.76923077 15.23076923],0
a1,1,0.512301,0.429365,[ 2 17] ; [11 55],[ 2.90588235 16.09411765] ; [10.09411765 55.90588235],0
n1,1,0.581787,0.303354,[2 4] ; [15 18],[2.61538462 3.38461538] ; [14.38461538 18.61538462],0
b4,1,0.615592,0.252112,[10  9] ; [39 27],[10.95294118  8.04705882] ; [38.04705882 27.95294118],0
s5,1,0.644235,0.213246,[ 3 12] ; [10 56],[ 2.40740741 12.59259259] ; [10.59259259 55.40740741],0
d2,1,0.659237,0.194452,[10  9] ; [30 34],[9.15662651 9.84337349] ; [30.84337349 33.15662651],0
r1,1,0.713851,0.134461,[ 5 13] ; [21 44],[ 5.63855422 12.36144578] ; [20.36144578 44.63855422],0
p1,1,0.721925,0.126656,[ 2 17] ; [ 9 57],[ 2.45882353 16.54117647] ; [ 8.54117647 57.45882353],0
d3,1,0.750052,0.101487,[10  9] ; [32 34],[9.38823529 9.61176471] ; [32.61176471 33.38823529],0
d4,1,0.85369,0.034008,[13  6] ; [43 22],[12.66666667  6.33333333] ; [43.33333333 21.66666667],0
a7,1,0.925601,0.00872,[ 9 10] ; [30 35],[ 8.82142857 10.17857143] ; [30.17857143 34.82142857],0
b2,1,0.990413,0.000144,[4 7] ; [17 30],[3.98275862 7.01724138] ; [17.01724138 29.98275862],0
b3,1,0.990413,0.000144,[4 7] ; [17 30],[3.98275862 7.01724138] ; [17.01724138 29.98275862],0
n2,1,1.0,0.0,[4 2] ; [22 11],[4. 2.] ; [22. 11.],0
