Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,81.941146,[ 2 75] ; [179 117],[37.36461126 39.63538874] ; [143.63538874 152.36461126],1
d3,1,0.0,51.780781,[19 56] ; [209  87],[46.0916442 28.9083558] ; [181.9083558 114.0916442],1
d5,1,0.0,47.831571,[34 42] ; [246  50],[57.20430108 18.79569892] ; [222.79569892  73.20430108],1
a3,1,0.0,31.753665,[31 46] ; [218  76],[51.67924528 25.32075472] ; [197.32075472  96.67924528],1
d2,1,0.0,28.895777,[11 66] ; [142 153],[31.66935484 45.33064516] ; [121.33064516 173.66935484],1
a5,1,2.5e-05,17.756246,[34 43] ; [207  89],[49.75067024 27.24932976] ; [191.24932976 104.75067024],1
a4,1,5.5e-05,16.278053,[14 63] ; [128 168],[29.31367292 47.68632708] ; [112.68632708 183.31367292],1
a2,1,0.002322,9.275519,[ 5 72] ; [ 64 232],[14.24396783 62.75603217] ; [ 54.75603217 241.24396783],0
v2,1,0.010062,6.623914,[27 42] ; [159 123],[36.56410256 32.43589744] ; [149.43589744 132.56410256],0
a7,1,0.011758,6.347056,[43 33] ; [212  84],[52.09677419 23.90322581] ; [202.90322581  93.09677419],0
r1,1,0.015147,5.899253,[49 27] ; [230  65],[57.15363881 18.84636119] ; [221.84636119  73.15363881],0
b2,1,0.018902,5.510516,[ 8 32] ; [65 98],[14.38423645 25.61576355] ; [ 58.61576355 104.38423645],0
b3,1,0.018902,5.510516,[ 8 32] ; [65 98],[14.38423645 25.61576355] ; [ 58.61576355 104.38423645],0
n3,1,0.020781,5.345034,[20  2] ; [60 31],[15.57522124  6.42477876] ; [64.42477876 26.57522124],0
u1,1,0.027933,4.832211,[ 4 73] ; [ 43 253],[ 9.70241287 67.29758713] ; [ 37.29758713 258.70241287],0
r2,1,0.038937,4.263601,[68  9] ; [276  15],[71.97826087  5.02173913] ; [272.02173913  18.97826087],0
s5,1,0.058125,3.590106,[13 62] ; [ 79 202],[19.38202247 55.61797753] ; [ 72.61797753 208.38202247],0
v3,1,0.066934,3.356652,[18 55] ; [103 183],[24.60445682 48.39554318] ; [ 96.39554318 189.60445682],0
a6,1,0.079707,3.070868,[44 33] ; [200  95],[50.50537634 26.49462366] ; [193.49462366 101.50537634],0
p8,1,0.081221,3.040305,[32 43] ; [ 93 198],[25.6147541 49.3852459] ; [ 99.3852459 191.6147541],0
v1,1,0.163818,1.938627,[27 47] ; [131 157],[32.29834254 41.70165746] ; [125.70165746 162.29834254],0
n1,1,0.176262,1.828859,[ 5 18] ; [33 57],[ 7.73451327 15.26548673] ; [30.26548673 59.73451327],0
s7,1,0.189355,1.722625,[23 51] ; [113 174],[27.87811634 46.12188366] ; [108.12188366 178.87811634],0
b4,1,0.194076,1.686403,[40 37] ; [178 118],[45.00268097 31.99731903] ; [172.99731903 123.00268097],0
v4,1,0.21886,1.511829,[72  3] ; [271  24],[69.52702703  5.47297297] ; [273.47297297  21.52702703],0
s4,1,0.2222,1.490106,[16 61] ; [ 44 249],[12.48648649 64.51351351] ; [ 47.51351351 245.48648649],0
a1,1,0.240252,1.379113,[ 1 76] ; [ 12 284],[ 2.68364611 74.31635389] ; [ 10.31635389 285.68364611],0
p11,1,0.240573,1.377232,[61 16] ; [215  81],[56.97587131 20.02412869] ; [219.02412869  76.97587131],0
s1,1,0.257422,1.282566,[ 4 71] ; [  8 285],[ 2.44565217 72.55434783] ; [  9.55434783 283.44565217],0
n2,1,0.28832,1.127451,[19  4] ; [66 26],[17.  6.] ; [68. 24.],0
u2,1,0.303233,1.059923,[21 25] ; [42 34],[23.75409836 22.24590164] ; [39.24590164 36.75409836],0
s8,1,0.319594,0.990609,[23 54] ; [106 189],[26.7016129 50.2983871] ; [102.2983871 192.7016129],0
n4,1,0.365519,0.818842,[48 29] ; [200  95],[51.33333333 25.66666667] ; [196.66666667  98.33333333],0
s2,1,0.368879,0.807439,[29 47] ; [129 165],[32.45405405 43.54594595] ; [125.54594595 168.45405405],0
n5,1,0.419519,0.651661,[51 26] ; [180 114],[47.94339623 29.05660377] ; [183.05660377 110.94339623],0
p1,1,0.43585,0.607183,[ 5 71] ; [ 13 281],[ 3.6972973 72.3027027] ; [ 14.3027027 279.6972973],0
s6,1,0.603641,0.269539,[41 36] ; [164 126],[43.01089918 33.98910082] ; [161.98910082 128.01089918],0
p7,1,0.614545,0.25361,[37 36] ; [136 151],[35.08055556 37.91944444] ; [137.91944444 149.08055556],0
p2,1,0.615522,0.252211,[53 23] ; [215  81],[54.75268817 21.24731183] ; [213.24731183  82.75268817],0
p3,1,0.621544,0.243703,[19 58] ; [ 65 230],[17.38709677 59.61290323] ; [ 66.61290323 228.38709677],0
p10,1,0.677233,0.173258,[52 22] ; [213  80],[53.43324251 20.56675749] ; [211.56675749  81.43324251],0
a8,1,0.702948,0.145423,[ 9 62] ; [ 40 237],[ 9.99712644 61.00287356] ; [ 39.00287356 237.99712644],0
b5,1,0.7338,0.115651,[50 27] ; [186 110],[48.71849866 28.28150134] ; [187.28150134 108.71849866],0
p12,1,0.749747,0.101744,[ 3 73] ; [ 14 277],[ 3.52043597 72.47956403] ; [ 13.47956403 277.52043597],0
p6,1,0.837233,0.042203,[14 61] ; [ 51 238],[13.39285714 61.60714286] ; [ 51.60714286 237.39285714],0
b1,1,0.840833,0.040332,[28 49] ; [104 192],[27.24932976 49.75067024] ; [104.75067024 191.24932976],0
