Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,9e-06,19.626923,[17  4] ; [31 74],[ 8. 13.] ; [40. 65.],1
p8,1,0.000985,10.855885,[11 10] ; [20 87],[ 5.0859375 15.9140625] ; [25.9140625 81.0859375],1
p2,1,0.012155,6.288131,[16  5] ; [50 58],[10.74418605 10.25581395] ; [55.25581395 52.74418605],0
n3,1,0.0238,5.109126,[8 1] ; [21 23],[4.9245283 4.0754717] ; [24.0754717 19.9245283],0
p11,1,0.028866,4.775604,[15  6] ; [49 59],[10.41860465 10.58139535] ; [53.58139535 54.41860465],0
p4,1,0.031952,4.601092,[10 11] ; [26 80],[ 5.95275591 15.04724409] ; [30.04724409 75.95275591],0
u3,1,0.039519,4.238432,[3 9] ; [23 16],[6.11764706 5.88235294] ; [19.88235294 19.11764706],0
a3,1,0.063253,3.449966,[ 9 12] ; [69 38],[12.796875  8.203125] ; [65.203125 41.796875],0
r4,1,0.070386,3.273986,[17  4] ; [65 43],[13.34883721  7.65116279] ; [68.65116279 39.34883721],0
a8,1,0.083261,3.000072,[ 4 15] ; [ 8 92],[ 1.91596639 17.08403361] ; [10.08403361 89.91596639],0
a5,1,0.088035,2.909951,[ 8 13] ; [63 45],[11.55813953  9.44186047] ; [59.44186047 48.55813953],0
d5,1,0.088507,2.901314,[11 10] ; [77 31],[14.3255814  6.6744186] ; [73.6744186 34.3255814],0
r3,1,0.095938,2.771796,[19  2] ; [78 28],[16.03937008  4.96062992] ; [80.96062992 25.03937008],0
p1,1,0.096137,2.768491,[ 3 18] ; [  5 102],[ 1.3125 19.6875] ; [  6.6875 100.3125],0
d1,1,0.09892,2.722866,[ 6 15] ; [52 56],[ 9.44186047 11.55813953] ; [48.55813953 59.44186047],0
a4,1,0.100122,2.703594,[ 4 16] ; [42 65],[ 7.24409449 12.75590551] ; [38.75590551 68.24409449],0
a2,1,0.101658,2.679345,[ 1 20] ; [21 87],[ 3.58139535 17.41860465] ; [18.41860465 89.58139535],0
v4,1,0.125201,2.35102,[19  2] ; [79 26],[16.33333333  4.66666667] ; [81.66666667 23.33333333],0
a6,1,0.14179,2.158427,[ 9 12] ; [65 43],[12.04651163  8.95348837] ; [61.95348837 46.04651163],0
s3,1,0.145977,2.113791,[11 10] ; [38 69],[ 8.0390625 12.9609375] ; [40.9609375 66.0390625],0
n2,1,0.156644,2.006324,[7 2] ; [24 22],[5.07272727 3.92727273] ; [25.92727273 20.07272727],0
s7,1,0.16186,1.956766,[ 8 12] ; [25 76],[ 5.45454545 14.54545455] ; [27.54545455 73.45454545],0
s2,1,0.190614,1.712866,[ 8 13] ; [26 81],[ 5.578125 15.421875] ; [28.421875 78.578125],0
p5,1,0.196008,1.671873,[ 1 20] ; [  1 106],[ 0.328125 20.671875] ; [  1.671875 105.328125],0
s8,1,0.198564,1.652908,[ 6 14] ; [19 89],[ 3.90625 16.09375] ; [21.09375 86.90625],0
s6,1,0.312496,1.020098,[10 10] ; [41 67],[ 7.96875 12.03125] ; [43.03125 64.96875],0
s4,1,0.337562,0.919668,[ 1 18] ; [14 94],[ 2.24409449 16.75590551] ; [12.75590551 95.24409449],0
n1,1,0.365053,0.820433,[4 4] ; [15 30],[2.86792453 5.13207547] ; [16.13207547 28.86792453],0
v1,1,0.391207,0.735189,[ 8 13] ; [31 77],[ 6.34883721 14.65116279] ; [32.65116279 75.34883721],0
v3,1,0.40204,0.702215,[ 4 17] ; [29 75],[ 5.544 15.456] ; [27.456 76.544],0
b4,1,0.407611,0.685757,[11 10] ; [67 41],[12.69767442  8.30232558] ; [65.30232558 42.69767442],0
d2,1,0.449594,0.571676,[ 9 12] ; [55 51],[10.58267717 10.41732283] ; [53.41732283 52.58267717],0
b3,1,0.466934,0.529222,[5 8] ; [19 48],[3.9 9.1] ; [20.1 46.9],0
b2,1,0.466934,0.529222,[5 8] ; [19 48],[3.9 9.1] ; [20.1 46.9],0
d4,1,0.476077,0.507837,[13  8] ; [74 32],[14.38582677  6.61417323] ; [72.61417323 33.38582677],0
u1,1,0.588441,0.292786,[ 2 19] ; [15 93],[ 2.76744186 18.23255814] ; [14.23255814 93.76744186],0
d3,1,0.591177,0.28851,[13  8] ; [60 48],[11.88372093  9.11627907] ; [61.11627907 46.88372093],0
n6,1,0.609909,0.260308,[14  7] ; [65 42],[12.9609375  8.0390625] ; [66.0390625 40.9609375],0
