Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,32.536718,[70 10] ; [107 103],[48.82758621 31.17241379] ; [128.17241379  81.82758621],1
s7,1,3e-06,21.877672,[54 24] ; [ 77 125],[36.49285714 41.50714286] ; [ 94.50714286 107.49285714],1
p5,1,0.000473,12.21843,[15 68] ; [ 11 200],[ 7.34013605 75.65986395] ; [ 18.65986395 192.34013605],1
p4,1,0.000908,11.00581,[55 27] ; [ 96 115],[42.25938567 39.74061433] ; [108.74061433 102.25938567],1
s2,1,0.000909,11.00448,[50 33] ; [ 82 129],[37.26530612 45.73469388] ; [ 94.73469388 116.26530612],1
p3,1,0.001825,9.717697,[46 37] ; [ 75 136],[34.15986395 48.84013605] ; [ 86.84013605 124.15986395],0
p6,1,0.002454,9.174344,[35 48] ; [ 51 159],[24.36177474 58.63822526] ; [ 61.63822526 148.36177474],0
n6,1,0.002841,8.90697,[79  4] ; [172  39],[70.86054422 12.13945578] ; [180.13945578  30.86054422],0
r1,1,0.005617,7.669117,[70 13] ; [145  67],[60.49152542 22.50847458] ; [154.50847458  57.49152542],0
p2,1,0.006399,7.434355,[71 12] ; [148  63],[61.82653061 21.17346939] ; [157.17346939  53.82653061],0
s4,1,0.007098,7.248032,[21 60] ; [ 27 183],[13.36082474 67.63917526] ; [ 34.63917526 175.36082474],0
r2,1,0.009228,6.778113,[80  3] ; [180  30],[73.65187713  9.34812287] ; [186.34812287  23.65187713],0
r4,1,0.010445,6.557438,[75  8] ; [164  48],[67.2440678 15.7559322] ; [171.7559322  40.2440678],0
p9,1,0.018718,5.527708,[69 11] ; [153  56],[61.4532872 18.5467128] ; [160.5467128  48.4532872],0
n4,1,0.025241,5.007274,[77  6] ; [175  37],[70.90169492 12.09830508] ; [181.09830508  30.90169492],0
p10,1,0.025613,4.981924,[68 14] ; [148  63],[60.45051195 21.54948805] ; [155.54948805  55.45051195],0
p1,1,0.029641,4.729991,[12 70] ; [ 14 198],[ 7.25170068 74.74829932] ; [ 18.74829932 193.25170068],0
p7,1,0.031679,4.615772,[52 28] ; [107 103],[43.86206897 36.13793103] ; [115.13793103  94.86206897],0
s8,1,0.036286,4.383617,[37 45] ; [ 68 144],[29.28571429 52.71428571] ; [ 75.71428571 136.28571429],0
n2,1,0.037025,4.349253,[17  2] ; [46 25],[13.3  5.7] ; [49.7 21.3],0
