Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,8.8e-05,15.38263,[16 14] ; [16 77],[ 7.80487805 22.19512195] ; [24.19512195 68.80487805],1
s6,1,0.002502,9.139266,[19 11] ; [30 63],[11.95121951 18.04878049] ; [37.04878049 55.95121951],0
p8,1,0.007703,7.101294,[11 18] ; [14 79],[ 5.94262295 23.05737705] ; [19.05737705 73.94262295],0
v2,1,0.010101,6.617063,[17 11] ; [29 58],[11.2 16.8] ; [34.8 52.2],0
p6,1,0.011336,6.411922,[ 8 22] ; [ 8 84],[ 3.93442623 26.06557377] ; [12.06557377 79.93442623],0
s2,1,0.014188,6.014602,[13 17] ; [19 73],[ 7.86885246 22.13114754] ; [24.13114754 67.86885246],0
p7,1,0.027104,4.884151,[13 17] ; [21 72],[ 8.29268293 21.70731707] ; [25.70731707 67.29268293],0
r3,1,0.034791,4.45539,[27  3] ; [66 27],[22.68292683  7.31707317] ; [70.31707317 22.68292683],0
s5,1,0.048527,3.891632,[ 9 20] ; [13 76],[ 5.40677966 23.59322034] ; [16.59322034 72.40677966],0
p5,1,0.051972,3.776657,[ 3 26] ; [ 2 91],[ 1.18852459 27.81147541] ; [ 3.81147541 89.18852459],0
r4,1,0.060229,3.53108,[24  6] ; [57 36],[19.75609756 10.24390244] ; [61.24390244 31.75609756],0
n3,1,0.078476,3.09618,[10  3] ; [17 18],[7.3125 5.6875] ; [19.6875 15.3125],0
a5,1,0.090147,2.871744,[22  8] ; [52 41],[18.04878049 11.95121951] ; [55.95121951 37.04878049],0
s1,1,0.092044,2.838253,[ 5 25] ; [ 6 86],[ 2.70491803 27.29508197] ; [ 8.29508197 83.70491803],0
v4,1,0.148518,2.087406,[25  5] ; [65 28],[21.95121951  8.04878049] ; [68.04878049 24.95121951],0
p11,1,0.158883,1.984823,[17 13] ; [39 54],[13.65853659 16.34146341] ; [42.34146341 50.65853659],0
s3,1,0.167715,1.903248,[13 17] ; [27 64],[ 9.91735537 20.08264463] ; [30.08264463 60.91735537],0
b2,1,0.188798,1.726974,[ 4 15] ; [21 35],[ 6.33333333 12.66666667] ; [18.66666667 37.33333333],0
b3,1,0.188798,1.726974,[ 4 15] ; [21 35],[ 6.33333333 12.66666667] ; [18.66666667 37.33333333],0
u2,1,0.201241,1.633347,[7 4] ; [15 21],[5.14893617 5.85106383] ; [16.85106383 19.14893617],0
v3,1,0.217112,1.523359,[10 18] ; [21 67],[ 7.48275862 20.51724138] ; [23.51724138 64.48275862],0
d5,1,0.242917,1.363585,[23  7] ; [60 32],[20.40983607  9.59016393] ; [62.59016393 29.40983607],0
a8,1,0.27439,1.194667,[ 1 28] ; [ 9 82],[ 2.41666667 26.58333333] ; [ 7.58333333 83.41666667],0
s8,1,0.277046,1.181522,[ 9 21] ; [19 74],[ 6.82926829 23.17073171] ; [21.17073171 71.82926829],0
u1,1,0.294587,1.098539,[ 5 25] ; [ 9 84],[ 3.41463415 26.58536585] ; [10.58536585 82.41463415],0
d2,1,0.398025,0.714286,[16 14] ; [40 50],[14. 16.] ; [42. 48.],0
r1,1,0.402677,0.700318,[20 10] ; [54 39],[18.04878049 11.95121951] ; [55.95121951 37.04878049],0
n2,1,0.414575,0.665643,[9 4] ; [22 17],[7.75 5.25] ; [23.25 15.75],0
n4,1,0.439743,0.596954,[17 13] ; [60 33],[18.7804878 11.2195122] ; [58.2195122 34.7804878],0
a7,1,0.440388,0.59527,[16 14] ; [57 36],[17.80487805 12.19512195] ; [55.19512195 37.80487805],0
a2,1,0.454267,0.559984,[ 4 26] ; [18 75],[ 5.36585366 24.63414634] ; [16.63414634 76.36585366],0
b5,1,0.498692,0.457719,[14 16] ; [50 43],[15.6097561 14.3902439] ; [48.3902439 44.6097561],0
r2,1,0.502386,0.449893,[26  4] ; [74 17],[24.79338843  5.20661157] ; [75.20661157 15.79338843],0
n5,1,0.506702,0.440873,[17 13] ; [59 34],[18.53658537 11.46341463] ; [57.46341463 35.53658537],0
a1,1,0.511922,0.430137,[ 2 28] ; [10 83],[ 2.92682927 27.07317073] ; [ 9.07317073 83.92682927],0
p12,1,0.51637,0.421138,[ 3 27] ; [ 6 87],[ 2.19512195 27.80487805] ; [ 6.80487805 86.19512195],0
d3,1,0.600307,0.274533,[14 16] ; [48 44],[15.24590164 14.75409836] ; [46.75409836 45.24590164],0
a6,1,0.606031,0.265995,[16 14] ; [54 38],[17.21311475 12.78688525] ; [52.78688525 39.21311475],0
a4,1,0.606524,0.265267,[13 17] ; [35 57],[11.80327869 18.19672131] ; [36.19672131 55.80327869],0
d4,1,0.675228,0.175547,[21  9] ; [68 24],[21.8852459  8.1147541] ; [67.1147541 24.8852459],0
u4,1,0.714973,0.13336,[ 1 29] ; [ 2 91],[ 0.73170732 29.26829268] ; [ 2.26829268 90.73170732],0
s4,1,0.728265,0.120711,[ 6 24] ; [16 77],[ 5.36585366 24.63414634] ; [16.63414634 76.36585366],0
p1,1,0.735897,0.113765,[ 2 28] ; [ 8 85],[ 2.43902439 27.56097561] ; [ 7.56097561 85.43902439],0
d1,1,0.797743,0.065674,[15 15] ; [44 49],[14.3902439 15.6097561] ; [44.6097561 48.3902439],0
p9,1,0.835266,0.043244,[14 16] ; [43 45],[14.49152542 15.50847458] ; [42.50847458 45.49152542],0
n6,1,0.838895,0.041334,[19 10] ; [59 34],[18.54098361 10.45901639] ; [59.45901639 33.54098361],0
a3,1,0.848351,0.036566,[18 12] ; [57 35],[18.44262295 11.55737705] ; [56.55737705 35.44262295],0
u3,1,0.864691,0.029038,[5 7] ; [14 22],[4.75 7.25] ; [14.25 21.75],0
p10,1,0.872717,0.025667,[14 16] ; [44 47],[14.38016529 15.61983471] ; [43.61983471 47.38016529],0
s7,1,0.890272,0.019033,[ 7 20] ; [24 64],[ 7.27826087 19.72173913] ; [23.72173913 64.27826087],0
b4,1,0.892796,0.018162,[17 13] ; [54 39],[17.31707317 12.68292683] ; [53.68292683 39.31707317],0
n1,1,0.906366,0.013835,[5 7] ; [17 22],[5.17647059 6.82352941] ; [16.82352941 22.17647059],0
b1,1,0.967233,0.001688,[16 14] ; [50 43],[16.09756098 13.90243902] ; [49.90243902 43.09756098],0
