Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,53.359684,[64  2] ; [26 43],[44. 22.] ; [46. 23.],1
d3,1,0.0,47.44829,[57  9] ; [19 50],[37.15555556 28.84444444] ; [38.84444444 30.15555556],1
d2,1,0.0,44.795702,[53 12] ; [16 52],[33.72180451 31.27819549] ; [35.27819549 32.72180451],1
d4,1,0.0,41.772143,[65  1] ; [34 35],[48.4 17.6] ; [50.6 18.4],1
a4,1,0.0,33.719137,[47 18] ; [15 53],[30.30075188 34.69924812] ; [31.69924812 36.30075188],1
a2,1,1e-06,23.509459,[27 39] ; [ 4 65],[15.15555556 50.84444444] ; [15.84444444 53.15555556],1
u1,1,4e-06,21.379982,[20 46] ; [ 1 68],[10.26666667 55.73333333] ; [10.73333333 58.26666667],1
a5,1,7.3e-05,15.741881,[54 12] ; [34 35],[43.02222222 22.97777778] ; [44.97777778 24.02222222],1
a3,1,7.9e-05,15.584067,[54 12] ; [33 34],[43.17293233 22.82706767] ; [43.82706767 23.17293233],1
a7,1,0.003415,8.571382,[47 19] ; [32 37],[38.62222222 27.37777778] ; [40.37777778 28.62222222],0
s7,1,0.003726,8.412846,[27 33] ; [14 53],[19.37007874 40.62992126] ; [21.62992126 45.37007874],0
s8,1,0.008444,6.936759,[26 40] ; [13 56],[19.06666667 46.93333333] ; [19.93333333 49.06666667],0
n2,1,0.013328,6.125032,[18 18] ; [21  5],[22.64516129 13.35483871] ; [16.35483871  9.64516129],0
s3,1,0.021292,5.302706,[30 36] ; [17 48],[23.67938931 42.32061069] ; [23.32061069 41.67938931],0
a8,1,0.037646,4.320957,[ 1 61] ; [ 7 60],[ 3.84496124 58.15503876] ; [ 4.15503876 62.84496124],0
r2,1,0.078482,3.096052,[58  6] ; [55 14],[54.37593985  9.62406015] ; [58.62406015 10.37593985],0
s2,1,0.083911,2.987482,[26 40] ; [17 50],[21.33834586 44.66165414] ; [21.66165414 45.33834586],0
r3,1,0.097732,2.742174,[54 12] ; [48 21],[49.86666667 16.13333333] ; [52.13333333 16.86666667],0
a6,1,0.126053,2.340457,[43 23] ; [36 33],[38.62222222 27.37777778] ; [40.37777778 28.62222222],0
s1,1,0.128003,2.316563,[ 3 63] ; [ 8 60],[ 5.41791045 60.58208955] ; [ 5.58208955 62.41791045],0
v2,1,0.128074,2.315691,[27 33] ; [21 45],[22.85714286 37.14285714] ; [25.14285714 40.85714286],0
b2,1,0.162776,1.948246,[18 30] ; [19 17],[21.14285714 26.85714286] ; [15.85714286 20.14285714],0
b3,1,0.162776,1.948246,[18 30] ; [19 17],[21.14285714 26.85714286] ; [15.85714286 20.14285714],0
u3,1,0.182422,1.777778,[8 4] ; [16 20],[6. 6.] ; [18. 18.],0
p3,1,0.21831,1.515445,[17 48] ; [12 57],[14.06716418 50.93283582] ; [14.93283582 54.06716418],0
r1,1,0.219415,1.508196,[45 21] ; [40 29],[41.55555556 24.44444444] ; [43.44444444 25.55555556],0
p4,1,0.263055,1.252608,[18 48] ; [13 55],[15.26865672 50.73134328] ; [15.73134328 52.26865672],0
n6,1,0.273203,1.200593,[47 19] ; [43 26],[44. 22.] ; [46. 23.],0
v4,1,0.392726,0.730486,[52 14] ; [50 19],[49.86666667 16.13333333] ; [52.13333333 16.86666667],0
p1,1,0.465099,0.533597,[ 6 60] ; [ 9 60],[ 7.33333333 58.66666667] ; [ 7.66666667 61.33333333],0
p5,1,0.469989,0.522002,[ 2 61] ; [ 4 65],[ 2.86363636 60.13636364] ; [ 3.13636364 65.86363636],0
v3,1,0.489015,0.478692,[18 41] ; [24 42],[19.824 39.176] ; [22.176 43.824],0
s4,1,0.51474,0.42442,[14 50] ; [12 57],[12.5112782 51.4887218] ; [13.4887218 55.5112782],0
s6,1,0.554602,0.349137,[32 33] ; [30 38],[30.30075188 34.69924812] ; [31.69924812 36.30075188],0
p9,1,0.58747,0.294312,[35 28] ; [33 32],[33.46875 29.53125] ; [34.53125 30.46875],0
n3,1,0.614272,0.254001,[19 15] ; [15  9],[19.93103448 14.06896552] ; [14.06896552  9.93103448],0
p8,1,0.661397,0.191831,[ 7 59] ; [ 9 60],[ 7.82222222 58.17777778] ; [ 8.17777778 60.82222222],0
r4,1,0.714933,0.133399,[45 21] ; [45 24],[44. 22.] ; [46. 23.],0
b4,1,0.755438,0.097018,[40 26] ; [40 29],[39.11111111 26.88888889] ; [40.88888889 28.11111111],0
p11,1,0.794723,0.067695,[32 34] ; [35 34],[32.75555556 33.24444444] ; [34.24444444 34.75555556],0
p10,1,0.795656,0.067067,[32 33] ; [31 35],[31.25954198 33.74045802] ; [31.74045802 34.25954198],0
p12,1,0.800641,0.063765,[ 4 61] ; [ 5 64],[ 4.36567164 60.63432836] ; [ 4.63432836 64.36567164],0
b1,1,0.806301,0.060124,[32 34] ; [32 37],[31.28888889 34.71111111] ; [32.71111111 36.28888889],0
n5,1,0.832988,0.044466,[39 27] ; [42 27],[39.6 26.4] ; [41.4 27.6],0
a1,1,0.855097,0.03335,[ 7 59] ; [ 8 61],[ 7.33333333 58.66666667] ; [ 7.66666667 61.33333333],0
n4,1,0.874092,0.02511,[42 24] ; [43 26],[41.55555556 24.44444444] ; [43.44444444 25.55555556],0
b5,1,0.914401,0.011554,[36 30] ; [37 32],[35.68888889 30.31111111] ; [37.31111111 31.68888889],0
v1,1,0.915176,0.011345,[20 43] ; [21 47],[19.71755725 43.28244275] ; [21.28244275 46.71755725],0
s5,1,0.924116,0.009073,[14 48] ; [14 50],[13.77777778 48.22222222] ; [14.22222222 49.77777778],0
p6,1,0.934693,0.006714,[ 6 59] ; [ 6 62],[ 5.86466165 59.13533835] ; [ 6.13533835 61.86466165],0
n1,1,0.952297,0.003579,[17 19] ; [12 13],[17.1147541 18.8852459] ; [11.8852459 13.1147541],0
u2,1,1.0,0.0,[6 6] ; [18 18],[6. 6.] ; [18. 18.],0
