Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,2e-06,22.691343,[ 7 25] ; [41 14],[17.65517241 14.34482759] ; [30.34482759 24.65517241],1
a5,1,0.000509,12.081011,[ 8 24] ; [35 20],[15.81609195 16.18390805] ; [27.18390805 27.81609195],1
a6,1,0.032218,4.586839,[11 21] ; [32 23],[15.81609195 16.18390805] ; [27.18390805 27.81609195],0
a3,1,0.046403,3.966921,[12 19] ; [33 21],[16.41176471 14.58823529] ; [28.58823529 25.41176471],0
d2,1,0.051352,3.796745,[ 7 25] ; [23 31],[11.1627907 20.8372093] ; [18.8372093 35.1627907],0
s7,1,0.0609,3.512705,[ 5 24] ; [20 34],[ 8.73493976 20.26506024] ; [16.26506024 37.73493976],0
a1,1,0.06192,3.4852,[ 1 31] ; [ 9 46],[ 3.67816092 28.32183908] ; [ 6.32183908 48.67816092],0
n6,1,0.077113,3.124713,[13 19] ; [32 21],[16.94117647 15.05882353] ; [28.05882353 24.94117647],0
d4,1,0.079038,3.084573,[23  9] ; [29 26],[19.12643678 12.87356322] ; [32.87356322 22.12643678],0
p7,1,0.091818,2.842202,[14 16] ; [15 38],[10.48192771 19.51807229] ; [18.51807229 34.48192771],0
a7,1,0.102239,2.670269,[18 14] ; [21 34],[14.34482759 17.65517241] ; [24.65517241 30.34482759],0
u3,1,0.118002,2.443636,[ 8 12] ; [ 4 18],[ 5.71428571 14.28571429] ; [ 6.28571429 15.71428571],0
s6,1,0.15696,2.003273,[ 5 27] ; [16 39],[ 7.72413793 24.27586207] ; [13.27586207 41.72413793],0
n2,1,0.19043,1.714286,[5 9] ; [16 12],[7. 7.] ; [14. 14.],0
p5,1,0.195209,1.677862,[ 1 30] ; [ 6 47],[ 2.58333333 28.41666667] ; [ 4.41666667 48.58333333],0
p3,1,0.218424,1.514694,[11 21] ; [12 42],[ 8.55813953 23.44186047] ; [14.44186047 39.55813953],0
v1,1,0.221267,1.496134,[10 21] ; [11 43],[ 7.65882353 23.34117647] ; [13.34117647 40.65882353],0
p2,1,0.22661,1.462015,[20 11] ; [27 26],[17.3452381 13.6547619] ; [29.6547619 23.3452381],0
u2,1,0.230555,1.437433,[10 10] ; [ 7 15],[ 8.0952381 11.9047619] ; [ 8.9047619 13.0952381],0
b3,1,0.246829,1.341161,[ 4 14] ; [14 23],[ 5.89090909 12.10909091] ; [12.10909091 24.89090909],0
b2,1,0.246829,1.341161,[ 4 14] ; [14 23],[ 5.89090909 12.10909091] ; [12.10909091 24.89090909],0
r2,1,0.25474,1.297119,[15 16] ; [33 21],[17.50588235 13.49411765] ; [30.49411765 23.50588235],0
b5,1,0.256234,1.288994,[18 14] ; [24 31],[15.44827586 16.55172414] ; [26.55172414 28.44827586],0
p8,1,0.258622,1.276116,[12 20] ; [14 40],[ 9.6744186 22.3255814] ; [16.3255814 37.6744186],0
n1,1,0.26638,1.235294,[ 4 10] ; [13 15],[5.66666667 8.33333333] ; [11.33333333 16.66666667],0
p4,1,0.271118,1.21108,[13 19] ; [16 39],[10.66666667 21.33333333] ; [18.33333333 36.66666667],0
p9,1,0.297763,1.084184,[15 17] ; [31 22],[17.31764706 14.68235294] ; [28.68235294 24.31764706],0
s5,1,0.323055,0.976539,[ 6 26] ; [ 6 48],[ 4.46511628 27.53488372] ; [ 7.53488372 46.46511628],0
s2,1,0.329072,0.952548,[10 22] ; [12 43],[ 8.09195402 23.90804598] ; [13.90804598 41.09195402],0
v4,1,0.353151,0.862101,[19 12] ; [28 27],[16.94186047 14.05813953] ; [30.05813953 24.94186047],0
p1,1,0.361316,0.833313,[ 2 29] ; [ 7 48],[ 3.24418605 27.75581395] ; [ 5.75581395 49.24418605],0
r3,1,0.369372,0.805776,[15 17] ; [20 34],[13.02325581 18.97674419] ; [21.97674419 32.02325581],0
a4,1,0.416017,0.661538,[ 8 24] ; [18 36],[ 9.6744186 22.3255814] ; [16.3255814 37.6744186],0
b1,1,0.444849,0.583742,[19 13] ; [28 27],[17.28735632 14.71264368] ; [29.71264368 25.28735632],0
b4,1,0.444849,0.583742,[19 13] ; [28 27],[17.28735632 14.71264368] ; [29.71264368 25.28735632],0
a2,1,0.468329,0.525917,[ 2 30] ; [ 6 49],[ 2.94252874 29.05747126] ; [ 5.05747126 49.94252874],0
p11,1,0.469263,0.52371,[12 20] ; [25 30],[13.6091954 18.3908046] ; [23.3908046 31.6091954],0
a8,1,0.469819,0.522402,[ 1 28] ; [ 4 50],[ 1.74698795 27.25301205] ; [ 3.25301205 50.74698795],0
s4,1,0.482357,0.493529,[ 5 27] ; [12 43],[ 6.25287356 25.74712644] ; [10.74712644 44.25287356],0
s8,1,0.486761,0.483677,[ 4 28] ; [10 45],[ 5.14942529 26.85057471] ; [ 8.85057471 46.14942529],0
d3,1,0.504791,0.444849,[16 16] ; [23 31],[14.51162791 17.48837209] ; [24.48837209 29.51162791],0
n3,1,0.508332,0.4375,[7 7] ; [11 17],[6. 8.] ; [12. 16.],0
p10,1,0.583,0.301409,[15 16] ; [30 25],[16.22093023 14.77906977] ; [28.77906977 26.22093023],0
r1,1,0.642307,0.215737,[ 9 23] ; [13 42],[ 8.09195402 23.90804598] ; [13.90804598 41.09195402],0
d1,1,0.680574,0.169481,[ 8 24] ; [16 39],[ 8.82758621 23.17241379] ; [15.17241379 39.82758621],0
s1,1,0.728122,0.120843,[ 3 29] ; [ 4 51],[ 2.57471264 29.42528736] ; [ 4.42528736 50.57471264],0
d5,1,0.806086,0.06026,[16 16] ; [29 26],[16.55172414 15.44827586] ; [28.44827586 26.55172414],0
v3,1,0.832866,0.044533,[ 4 27] ; [ 8 47],[ 4.3255814 26.6744186] ; [ 7.6744186 47.3255814],0
p6,1,0.924982,0.008866,[ 4 28] ; [ 7 46],[ 4.14117647 27.85882353] ; [ 6.85882353 46.14117647],0
s3,1,0.977872,0.000769,[11 19] ; [20 35],[10.94117647 19.05882353] ; [20.05882353 34.94117647],0
