Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,3e-06,21.528746,[296  15] ; [6 4],[292.59190031  18.40809969] ; [9.40809969 0.59190031],1
p7,1,0.008685,6.886532,[221  81] ; [3 6],[217.51768489  84.48231511] ; [6.48231511 2.51768489],0
n1,1,0.028367,4.805649,[27 37] ; [6 1],[29.74647887 34.25352113] ; [3.25352113 3.74647887],0
s6,1,0.029664,4.728683,[261  45] ; [6 4],[258.55063291  47.44936709] ; [8.44936709 1.55063291],0
v2,1,0.030444,4.684071,[191 109] ; [3 7],[187.74193548 112.25806452] ; [6.25806452 3.74193548],0
p10,1,0.051169,3.802733,[276  32] ; [7 3],[274.10062893  33.89937107] ; [8.89937107 1.10062893],0
p11,1,0.051223,3.800952,[260  51] ; [6 4],[257.71339564  53.28660436] ; [8.28660436 1.71339564],0
d4,1,0.071839,3.240497,[275  35] ; [7 3],[273.1875  36.8125] ; [8.8125 1.1875],0
p9,1,0.096611,2.760614,[289  20] ; [8 2],[287.68965517  21.31034483] ; [9.31034483 0.68965517],0
v1,1,0.099536,2.71297,[196 104] ; [4 6],[193.5483871 106.4516129] ; [6.4516129 3.5483871],0
r1,1,0.109676,2.558891,[270  39] ; [7 3],[268.31661442  40.68338558] ; [8.68338558 1.31661442],0
p3,1,0.165286,1.925183,[192 119] ; [4 6],[189.894081 121.105919] ; [6.105919 3.894081],0
p2,1,0.177119,1.821632,[265  45] ; [7 3],[263.5  46.5] ; [8.5 1.5],0
p5,1,0.180939,1.789897,[ 45 263] ; [3 7],[ 46.49056604 261.50943396] ; [1.50943396 8.49056604],0
s1,1,0.210896,1.565265,[  9 296] ; [1 9],[  9.68253968 295.31746032] ; [0.31746032 9.68253968],0
s3,1,0.220711,1.499744,[222  84] ; [9 1],[223.68987342  82.31012658] ; [7.31012658 2.68987342],0
n3,1,0.240938,1.375095,[48 18] ; [3 3],[46.75 19.25] ; [4.25 1.75],0
d1,1,0.324891,0.969155,[230  81] ; [6 4],[228.64797508  82.35202492] ; [7.35202492 2.64797508],0
s5,1,0.364688,0.821683,[145 153] ; [3 6],[143.66123779 154.33876221] ; [4.33876221 4.66123779],0
d5,1,0.373629,0.791559,[276  34] ; [8 2],[275.125  34.875] ; [8.875 1.125],0
b4,1,0.467751,0.527285,[182 129] ; [7 3],[183.11214953 127.88785047] ; [5.88785047 4.11214953],0
a6,1,0.495717,0.464094,[217  93] ; [8 2],[217.96875  92.03125] ; [7.03125 2.96875],0
b5,1,0.50443,0.445604,[185 126] ; [7 3],[186.01869159 124.98130841] ; [5.98130841 4.01869159],0
u3,1,0.507878,0.438436,[33 13] ; [1 1],[32.58333333 13.41666667] ; [1.41666667 0.58333333],0
p4,1,0.513453,0.427023,[216  94] ; [6 4],[215.0625  94.9375] ; [6.9375 3.0625],0
v3,1,0.575708,0.313224,[146 152] ; [4 6],[145.12987013 152.87012987] ; [4.87012987 5.12987013],0
p8,1,0.583323,0.300894,[179 126] ; [5 5],[178.15873016 126.84126984] ; [5.84126984 4.15873016],0
u1,1,0.607685,0.26356,[ 85 226] ; [2 8],[ 84.28971963 226.71028037] ; [2.71028037 7.28971963],0
p6,1,0.608585,0.262241,[149 160] ; [4 6],[148.20376176 160.79623824] ; [4.79623824 5.20376176],0
a3,1,0.629675,0.232501,[265  45] ; [8 2],[264.46875  45.53125] ; [8.53125 1.46875],0
b3,1,0.633184,0.227768,[104 114] ; [4 6],[103.26315789 114.73684211] ; [4.73684211 5.26315789],0
b2,1,0.633184,0.227768,[104 114] ; [4 6],[103.26315789 114.73684211] ; [4.73684211 5.26315789],0
u2,1,0.709147,0.13913,[29 17] ; [1 1],[28.75 17.25] ; [1.25 0.75],0
d2,1,0.741643,0.108688,[202 109] ; [7 3],[202.48909657 108.51090343] ; [6.51090343 3.48909657],0
a4,1,0.755254,0.097169,[171 140] ; [5 5],[170.51713396 140.48286604] ; [5.48286604 4.51713396],0
a2,1,0.788386,0.072043,[106 205] ; [3 7],[105.60436137 205.39563863] ; [3.39563863 6.60436137],0
p12,1,0.846854,0.037301,[ 37 271] ; [1 9],[ 36.80503145 271.19496855] ; [1.19496855 8.80503145],0
s4,1,0.858105,0.031965,[ 55 254] ; [2 8],[ 55.21316614 253.78683386] ; [1.78683386 8.21316614],0
p1,1,0.859263,0.03144,[ 26 283] ; [1 9],[ 26.15360502 282.84639498] ; [0.84639498 9.15360502],0
s2,1,0.867265,0.027934,[223  85] ; [7 3],[222.7672956  85.2327044] ; [7.2327044 2.7672956],0
s7,1,0.876274,0.024241,[233  66] ; [8 2],[233.20064725  65.79935275] ; [7.79935275 2.20064725],0
n6,1,0.917713,0.010674,[274  34] ; [9 1],[274.10062893  33.89937107] ; [8.89937107 1.10062893],0
d3,1,0.924175,0.009059,[222  89] ; [7 3],[221.86604361  89.13395639] ; [7.13395639 2.86604361],0
b1,1,0.973976,0.001064,[126 185] ; [4 6],[125.95015576 185.04984424] ; [4.04984424 5.95015576],0
a7,1,0.994768,4.3e-05,[218  93] ; [7 3],[217.99065421  93.00934579] ; [7.00934579 2.99065421],0
