Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u2,1,0.003,8.807619,[2 8] ; [48 22],[6.25 3.75] ; [43.75 26.25],0
s5,1,0.005094,7.845823,[36 21] ; [116 155],[26.41463415 30.58536585] ; [125.58536585 145.41463415],0
a8,1,0.007045,7.261504,[ 2 52] ; [ 46 203],[ 8.55445545 45.44554455] ; [ 39.44554455 209.55445545],0
n4,1,0.011266,6.422817,[41 18] ; [231  45],[47.90447761 11.09552239] ; [224.09552239  51.90447761],0
v3,1,0.019179,5.485136,[21 37] ; [143 126],[29.08868502 28.91131498] ; [134.91131498 134.08868502],0
v2,1,0.01984,5.425889,[32 26] ; [190  78],[39.49693252 18.50306748] ; [182.50306748  85.49693252],0
s2,1,0.029056,4.764289,[46 12] ; [178  98],[38.89820359 19.10179641] ; [185.10179641  90.89820359],0
r4,1,0.06475,3.411324,[58  1] ; [254  24],[54.6231454  4.3768546] ; [257.3768546  20.6231454],0
s3,1,0.100306,2.70067,[45 13] ; [181  91],[39.72121212 18.27878788] ; [186.27878788  85.72121212],0
p12,1,0.107598,2.589145,[ 3 56] ; [ 34 242],[ 6.51641791 52.48358209] ; [ 30.48358209 245.51641791],0
n1,1,0.119904,2.418577,[ 4 10] ; [28 26],[6.58823529 7.41176471] ; [25.41176471 28.58823529],0
n3,1,0.124146,2.364218,[7 7] ; [38 15],[9.40298507 4.59701493] ; [35.59701493 17.40298507],0
a3,1,0.168891,1.892756,[49 10] ; [206  70],[44.91044776 14.08955224] ; [210.08955224  65.91044776],0
d5,1,0.233814,1.41751,[53  6] ; [231  45],[50.01791045  8.98208955] ; [233.98208955  42.01791045],0
d1,1,0.24907,1.328515,[41 18] ; [171 107],[37.115727 21.884273] ; [174.884273 103.115727],0
u1,1,0.262588,1.255064,[16 43] ; [ 57 221],[12.78041543 46.21958457] ; [ 60.21958457 217.78041543],0
s8,1,0.282601,1.154537,[39 20] ; [161 114],[35.32934132 23.67065868] ; [164.67065868 110.32934132],0
p2,1,0.297232,1.086572,[48 11] ; [239  37],[50.54626866  8.45373134] ; [236.45373134  39.54626866],0
p7,1,0.31312,1.01747,[42 14] ; [182  85],[38.83591331 17.16408669] ; [185.16408669  81.83591331],0
d2,1,0.3277,0.957967,[33 26] ; [135 141],[29.5880597 29.4119403] ; [138.4119403 137.5880597],0
r2,1,0.33417,0.93267,[58  1] ; [262  12],[56.6966967  2.3033033] ; [263.3033033  10.6966967],0
