Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.000465,12.251131,[ 5 29] ; [15 11],[11.33333333 22.66666667] ; [ 8.66666667 17.33333333],1
p8,1,0.007736,7.093619,[18 15] ; [ 5 20],[13.0862069 19.9137931] ; [ 9.9137931 15.0862069],0
d2,1,0.015744,5.831259,[ 8 26] ; [14 12],[12.46666667 21.53333333] ; [ 9.53333333 16.46666667],0
p9,1,0.03558,4.417111,[29  5] ; [14  9],[25.64912281  8.35087719] ; [17.35087719  5.64912281],0
n5,1,0.070591,3.269231,[17 17] ; [ 7 19],[13.6 20.4] ; [10.4 15.6],0
p1,1,0.110479,2.547353,[ 2 32] ; [ 5 21],[ 3.96666667 30.03333333] ; [ 3.03333333 22.96666667],0
p7,1,0.135479,2.228576,[21 10] ; [12 13],[18.26785714 12.73214286] ; [14.73214286 10.26785714],0
p6,1,0.205835,1.600478,[15 19] ; [ 7 18],[12.6779661 21.3220339] ; [ 9.3220339 15.6779661],0
v3,1,0.207452,1.589122,[10 23] ; [ 4 21],[ 7.96551724 25.03448276] ; [ 6.03448276 18.96551724],0
s6,1,0.209991,1.571487,[29  5] ; [18  7],[27.08474576  6.91525424] ; [19.91525424  5.08474576],0
a4,1,0.211034,1.564318,[ 8 26] ; [10 16],[10.2 23.8] ; [ 7.8 18.2],0
p2,1,0.223397,1.482415,[27  7] ; [17  9],[24.93333333  9.06666667] ; [19.06666667  6.93333333],0
d5,1,0.23146,1.431866,[24 10] ; [21  4],[25.93220339  8.06779661] ; [19.06779661  5.93220339],0
a3,1,0.233384,1.420118,[17 17] ; [17  9],[19.26666667 14.73333333] ; [14.73333333 11.26666667],0
p10,1,0.274944,1.191914,[27  7] ; [16  8],[25.20689655  8.79310345] ; [17.79310345  6.20689655],0
n2,1,0.275017,1.19155,[10  2] ; [9 5],[8.76923077 3.23076923] ; [10.23076923  3.76923077],0
d1,1,0.329662,0.950226,[14 20] ; [14 12],[15.86666667 18.13333333] ; [12.13333333 13.86666667],0
s7,1,0.358082,0.844609,[19 15] ; [10 13],[17.29824561 16.70175439] ; [11.70175439 11.29824561],0
n6,1,0.382434,0.762863,[25  8] ; [17  9],[23.49152542  9.50847458] ; [18.50847458  7.49152542],0
b2,1,0.398025,0.714286,[ 7 13] ; [2 8],[ 6. 14.] ; [3. 7.],0
b3,1,0.398025,0.714286,[ 7 13] ; [2 8],[ 6. 14.] ; [3. 7.],0
r3,1,0.40442,0.695146,[32  2] ; [22  3],[31.11864407  2.88135593] ; [22.88135593  2.11864407],0
d4,1,0.406313,0.689563,[29  5] ; [20  6],[27.76666667  6.23333333] ; [21.23333333  4.76666667],0
v2,1,0.409269,0.680923,[15 17] ; [ 9 16],[13.47368421 18.52631579] ; [10.52631579 14.47368421],0
u1,1,0.432153,0.61703,[ 2 32] ; [ 3 23],[ 2.83333333 31.16666667] ; [ 2.16666667 23.83333333],0
a2,1,0.432153,0.61703,[ 2 32] ; [ 3 23],[ 2.83333333 31.16666667] ; [ 2.16666667 23.83333333],0
r4,1,0.434464,0.61086,[26  8] ; [22  4],[27.2  6.8] ; [20.8  5.2],0
n3,1,0.484118,0.489574,[7 5] ; [10  4],[7.84615385 4.15384615] ; [9.15384615 4.84615385],0
u3,1,0.49205,0.472041,[11  6] ; [7 2],[11.76923077  5.23076923] ; [6.23076923 2.76923077],0
a6,1,0.496012,0.463458,[20 14] ; [13 13],[18.7 15.3] ; [14.3 11.7],0
s3,1,0.623011,0.241659,[23 11] ; [16 10],[22.1 11.9] ; [16.9  9.1],0
b5,1,0.623011,0.241659,[23 11] ; [16 10],[22.1 11.9] ; [16.9  9.1],0
s2,1,0.623011,0.241659,[23 11] ; [16 10],[22.1 11.9] ; [16.9  9.1],0
a7,1,0.643071,0.214749,[25  9] ; [17  8],[24.20338983  9.79661017] ; [17.79661017  7.20338983],0
s5,1,0.652577,0.202667,[16 16] ; [11 14],[15.15789474 16.84210526] ; [11.84210526 13.15789474],0
u2,1,0.68017,0.169935,[9 8] ; [4 5],[8.5 8.5] ; [4.5 4.5],0
d3,1,0.69676,0.151865,[26  8] ; [18  7],[25.3559322  8.6440678] ; [18.6440678  6.3559322],0
p4,1,0.713938,0.134375,[16 18] ; [11 15],[15.3 18.7] ; [11.7 14.3],0
a5,1,0.713938,0.134375,[18 16] ; [15 11],[18.7 15.3] ; [14.3 11.7],0
r2,1,0.719886,0.128602,[32  2] ; [25  1],[32.3  1.7] ; [24.7  1.3],0
v4,1,0.728316,0.120664,[31  3] ; [23  3],[30.6  3.4] ; [23.4  2.6],0
s8,1,0.773091,0.083137,[13 21] ; [ 9 17],[12.46666667 21.53333333] ; [ 9.53333333 16.46666667],0
r1,1,0.831547,0.045249,[20 14] ; [16 10],[20.4 13.6] ; [15.6 10.4],0
v1,1,0.889258,0.019389,[12 21] ; [ 9 17],[11.74576271 21.25423729] ; [ 9.25423729 16.74576271],0
n1,1,0.898768,0.016184,[4 8] ; [5 9],[4.15384615 7.84615385] ; [4.84615385 9.15384615],0
p3,1,0.95644,0.002983,[12 22] ; [ 9 17],[11.9 22.1] ; [ 9.1 16.9],0
b4,1,0.985749,0.000319,[21 13] ; [16 10],[20.96666667 13.03333333] ; [16.03333333  9.96666667],0
