Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2e-06,22.320862,[24 33] ; [205  72],[39.08083832 17.91916168] ; [189.91916168  87.08083832],1
n4,1,6e-06,20.411387,[28 30] ; [216  63],[41.99406528 16.00593472] ; [202.00593472  76.99406528],1
v4,1,0.004164,8.210886,[49  9] ; [263  14],[54.01791045  3.98208955] ; [257.98208955  19.01791045],0
r4,1,0.004311,8.148009,[44 14] ; [250  29],[50.59940653  7.40059347] ; [243.40059347  35.59940653],0
p2,1,0.006135,7.510169,[40 17] ; [237  41],[47.13134328  9.86865672] ; [229.86865672  48.13134328],0
p10,1,0.008558,6.912787,[44 14] ; [246  31],[50.20895522  7.79104478] ; [239.79104478  37.20895522],0
s5,1,0.008631,6.897728,[ 8 46] ; [ 88 181],[16.0495356 37.9504644] ; [ 79.9504644 189.0495356],0
s6,1,0.011492,6.387681,[28 30] ; [180  93],[36.44712991 21.55287009] ; [171.55287009 101.44712991],0
s8,1,0.016111,5.790699,[14 44] ; [114 164],[22.0952381 35.9047619] ; [105.9047619 172.0952381],0
p11,1,0.019984,5.413271,[39 19] ; [226  53],[45.60830861 12.39169139] ; [219.39169139  59.60830861],0
a5,1,0.031971,4.600038,[34 24] ; [203  76],[40.78931751 17.21068249] ; [196.21068249  82.78931751],0
p6,1,0.045533,3.998786,[12 45] ; [ 96 181],[18.43113772 38.56886228] ; [ 89.56886228 187.43113772],0
r3,1,0.064801,3.41004,[52  6] ; [265  12],[54.88358209  3.11641791] ; [262.11641791  14.88358209],0
p8,1,0.066391,3.370073,[21 36] ; [139 138],[27.30538922 29.69461078] ; [132.69461078 144.30538922],0
b5,1,0.066771,3.360677,[39 19] ; [151 128],[32.70029674 25.29970326] ; [157.29970326 121.70029674],0
b3,1,0.068696,3.313909,[ 6 27] ; [51 97],[10.39226519 22.60773481] ; [ 46.60773481 101.39226519],0
b2,1,0.068696,3.313909,[ 6 27] ; [51 97],[10.39226519 22.60773481] ; [ 46.60773481 101.39226519],0
s7,1,0.069201,3.301868,[19 35] ; [131 138],[25.07739938 28.92260062] ; [124.92260062 144.07739938],0
b1,1,0.085105,2.964618,[26 32] ; [ 92 187],[20.30860534 37.69139466] ; [ 97.69139466 181.30860534],0
d5,1,0.090486,2.865708,[39 18] ; [219  59],[43.89850746 13.10149254] ; [214.10149254  63.89850746],0
d2,1,0.106367,2.607388,[20 37] ; [130 148],[25.52238806 31.47761194] ; [124.47761194 153.52238806],0
s2,1,0.121361,2.39967,[22 36] ; [136 141],[27.35522388 30.64477612] ; [130.64477612 146.35522388],0
a3,1,0.139318,2.18548,[35 23] ; [196  83],[39.75667656 18.24332344] ; [191.24332344  87.75667656],0
u1,1,0.143279,2.142389,[ 5 53] ; [ 45 234],[ 8.60534125 49.39465875] ; [ 41.39465875 237.60534125],0
b4,1,0.171379,1.870842,[28 30] ; [162 117],[32.70029674 25.29970326] ; [157.29970326 121.70029674],0
s1,1,0.193129,1.693585,[ 4 54] ; [  9 267],[ 2.25748503 55.74251497] ; [ 10.74251497 265.25748503],0
p3,1,0.193491,1.690833,[21 37] ; [127 152],[25.47181009 32.52818991] ; [122.52818991 156.47181009],0
u2,1,0.196098,1.671196,[15  8] ; [41 41],[12.26666667 10.73333333] ; [43.73333333 38.26666667],0
d1,1,0.265455,1.240084,[28 30] ; [157 122],[31.83976261 26.16023739] ; [153.16023739 125.83976261],0
r2,1,0.268972,1.221981,[51  7] ; [254  21],[53.12312312  4.87687688] ; [251.87687688  23.12312312],0
n2,1,0.269902,1.217244,[15  3] ; [55 23],[13.125  4.875] ; [56.875 21.125],0
p5,1,0.270085,1.216315,[ 3 55] ; [ 27 251],[ 5.17857143 52.82142857] ; [ 24.82142857 253.17857143],0
v3,1,0.332506,0.939111,[12 42] ; [ 78 194],[14.90797546 39.09202454] ; [ 75.09202454 196.90797546],0
n1,1,0.33665,0.923147,[ 8 10] ; [25 52],[ 6.25263158 11.74736842] ; [26.74736842 50.25263158],0
p4,1,0.338258,0.917023,[27 30] ; [151 127],[30.28656716 26.71343284] ; [147.71343284 130.28656716],0
r1,1,0.339146,0.913656,[39 18] ; [208  71],[41.90178571 15.09821429] ; [205.09821429  73.90178571],0
a2,1,0.369105,0.806675,[10 48] ; [ 63 216],[12.56379822 45.43620178] ; [ 60.43620178 218.56379822],0
u3,1,0.399654,0.709366,[12 10] ; [36 45],[10.25242718 11.74757282] ; [37.74757282 43.25242718],0
a4,1,0.44579,0.581333,[22 36] ; [121 158],[24.61127596 33.38872404] ; [118.38872404 160.61127596],0
u4,1,0.457416,0.552211,[ 1 57] ; [  2 277],[ 0.51632047 57.48367953] ; [  2.48367953 276.51632047],0
p1,1,0.469304,0.523613,[ 3 55] ; [ 22 256],[ 4.31547619 53.68452381] ; [ 20.68452381 257.31547619],0
v2,1,0.551241,0.355099,[21 33] ; [116 152],[22.97515528 31.02484472] ; [114.02484472 153.97515528],0
a6,1,0.605474,0.266819,[41 16] ; [191  88],[39.35714286 17.64285714] ; [192.64285714  86.35714286],0
a7,1,0.615568,0.252146,[43 15] ; [197  81],[41.42857143 16.57142857] ; [198.57142857  79.42857143],0
s3,1,0.6845,0.165105,[31 27] ; [155 120],[32.3963964 25.6036036] ; [153.6036036 121.3963964],0
n3,1,0.762697,0.091168,[13  5] ; [59 19],[13.5  4.5] ; [58.5 19.5],0
d3,1,0.806359,0.060087,[40 16] ; [194  84],[39.23353293 16.76646707] ; [194.76646707  83.23353293],0
a8,1,0.810271,0.057637,[ 6 49] ; [ 31 226],[ 6.5224359 48.4775641] ; [ 30.4775641 226.5224359],0
d4,1,0.915567,0.01124,[45 12] ; [222  57],[45.29464286 11.70535714] ; [221.70535714  57.29464286],0
a1,1,0.959455,0.002585,[ 2 56] ; [ 10 269],[ 2.0652819 55.9347181] ; [  9.9347181 269.0652819],0
s4,1,0.984693,0.000368,[12 46] ; [ 57 220],[11.94626866 46.05373134] ; [ 57.05373134 219.94626866],0
p7,1,1.0,0.0,[33 22] ; [165 110],[33. 22.] ; [165. 110.],0
