Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1.3e-05,19.068884,[14  3] ; [23 63],[ 6.10679612 10.89320388] ; [30.89320388 55.10679612],1
p5,1,0.006819,7.32001,[ 3 14] ; [ 2 85],[ 0.81730769 16.18269231] ; [ 4.18269231 82.81730769],0
r1,1,0.015131,5.901176,[15  3] ; [46 42],[10.35849057  7.64150943] ; [50.64150943 37.35849057],0
d4,1,0.041361,4.161152,[16  2] ; [56 31],[12.34285714  5.65714286] ; [59.65714286 27.34285714],0
p10,1,0.060248,3.530543,[13  4] ; [45 42],[9.48076923 7.51923077] ; [48.51923077 38.48076923],0
v1,1,0.062239,3.476685,[9 9] ; [24 63],[ 5.65714286 12.34285714] ; [27.34285714 59.65714286],0
a3,1,0.062984,3.457012,[14  4] ; [47 40],[10.45714286  7.54285714] ; [50.54285714 36.45714286],0
s4,1,0.109138,2.56666,[ 4 14] ; [ 8 80],[ 2.03773585 15.96226415] ; [ 9.96226415 78.03773585],0
n3,1,0.142822,2.147283,[2 4] ; [24 13],[3.62790698 2.37209302] ; [22.37209302 14.62790698],0
p6,1,0.14383,2.136497,[ 1 16] ; [18 68],[ 3.13592233 13.86407767] ; [15.86407767 70.13592233],0
b3,1,0.153189,2.040204,[5 6] ; [11 35],[3.0877193 7.9122807] ; [12.9122807 33.0877193],0
b2,1,0.153189,2.040204,[5 6] ; [11 35],[3.0877193 7.9122807] ; [12.9122807 33.0877193],0
b5,1,0.155181,2.020569,[ 8 10] ; [55 33],[10.69811321  7.30188679] ; [52.30188679 35.69811321],0
r4,1,0.159469,1.979251,[14  4] ; [53 35],[11.37735849  6.62264151] ; [55.62264151 32.37735849],0
s3,1,0.171259,1.871887,[ 2 16] ; [23 65],[ 4.24528302 13.75471698] ; [20.75471698 67.24528302],0
p2,1,0.225528,1.468844,[9 8] ; [60 28],[11.17142857  5.82857143] ; [57.82857143 30.17142857],0
r2,1,0.231705,1.430367,[16  2] ; [67 21],[14.09433962  3.90566038] ; [68.90566038 19.09433962],0
v4,1,0.244899,1.352171,[17  1] ; [73 14],[15.42857143  2.57142857] ; [74.57142857 12.42857143],0
n6,1,0.253298,1.305021,[ 8 10] ; [52 36],[10.18867925  7.81132075] ; [49.81132075 38.18867925],0
d5,1,0.281612,1.159292,[13  5] ; [51 36],[10.97142857  7.02857143] ; [53.02857143 33.97142857],0
b1,1,0.30225,1.06424,[ 6 12] ; [41 47],[ 7.98113208 10.01886792] ; [39.01886792 48.98113208],0
d3,1,0.305982,1.047941,[12  6] ; [46 40],[10.03846154  7.96153846] ; [47.96153846 38.03846154],0
a7,1,0.32205,0.980603,[13  5] ; [52 35],[11.14285714  6.85714286] ; [53.85714286 33.14285714],0
a5,1,0.336582,0.923408,[10  8] ; [38 50],[8.1509434 9.8490566] ; [39.8490566 48.1509434],0
