Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,2.9e-05,17.465588,[23 30] ; [ 1 34],[14.45454545 38.54545455] ; [ 9.54545455 25.45454545],1
d5,1,0.000298,13.085109,[36 17] ; [10 25],[27.70454545 25.29545455] ; [18.29545455 16.70454545],1
d3,1,0.005823,7.604283,[30 23] ; [ 9 25],[23.75862069 29.24137931] ; [15.24137931 18.75862069],0
p3,1,0.022774,5.185685,[19 33] ; [ 5 30],[14.34482759 37.65517241] ; [ 9.65517241 25.34482759],0
a3,1,0.03439,4.475219,[32 20] ; [13 21],[27.20930233 24.79069767] ; [17.79069767 16.20930233],0
a5,1,0.049966,3.842588,[31 22] ; [13 22],[26.5 26.5] ; [17.5 17.5],0
n5,1,0.079038,3.084573,[29 23] ; [26  9],[32.87356322 19.12643678] ; [22.12643678 12.87356322],0
s7,1,0.09816,2.735186,[18 31] ; [ 7 28],[14.58333333 34.41666667] ; [10.41666667 24.58333333],0
u3,1,0.118002,2.443636,[ 8 12] ; [ 4 18],[ 5.71428571 14.28571429] ; [ 6.28571429 15.71428571],0
s8,1,0.126186,2.338815,[11 42] ; [ 3 32],[ 8.43181818 44.56818182] ; [ 5.56818182 29.43181818],0
r3,1,0.170946,1.874625,[25 28] ; [11 23],[21.93103448 31.06896552] ; [14.06896552 19.93103448],0
p4,1,0.177933,1.814801,[21 32] ; [ 9 26],[18.06818182 34.93181818] ; [11.93181818 23.06818182],0
v1,1,0.193227,1.69284,[15 36] ; [ 6 29],[12.45348837 38.54651163] ; [ 8.54651163 26.45348837],0
p10,1,0.217832,1.518596,[30 22] ; [15 19],[27.20930233 24.79069767] ; [17.79069767 16.20930233],0
a4,1,0.240051,1.380296,[18 34] ; [ 8 27],[15.54022989 36.45977011] ; [10.45977011 24.54022989],0
p9,1,0.252783,1.307855,[31 21] ; [16 18],[28.41860465 23.58139535] ; [18.58139535 15.41860465],0
a6,1,0.276141,1.185984,[29 24] ; [15 20],[26.5 26.5] ; [17.5 17.5],0
p1,1,0.284708,1.144476,[ 4 49] ; [ 5 29],[ 5.48275862 47.51724138] ; [ 3.51724138 30.48275862],0
u2,1,0.289457,1.122147,[10 11] ; [ 7 15],[ 8.30232558 12.69767442] ; [ 8.69767442 13.30232558],0
s3,1,0.300104,1.07373,[21 31] ; [10 24],[18.74418605 33.25581395] ; [12.25581395 21.74418605],0
a8,1,0.328097,0.956393,[ 2 49] ; [ 3 30],[ 3.03571429 47.96428571] ; [ 1.96428571 31.03571429],0
d2,1,0.341251,0.905726,[20 32] ; [10 25],[17.93103448 34.06896552] ; [12.06896552 22.93103448],0
a2,1,0.370578,0.801725,[ 6 47] ; [ 2 33],[ 4.81818182 48.18181818] ; [ 3.18181818 31.81818182],0
n3,1,0.372456,0.795455,[ 8 14] ; [10 10],[ 9.42857143 12.57142857] ; [ 8.57142857 11.42857143],0
r1,1,0.378723,0.774843,[15 38] ; [ 7 28],[13.25 39.75] ; [ 8.75 26.25],0
b3,1,0.390889,0.736174,[ 9 23] ; [ 9 14],[10.47272727 21.52727273] ; [ 7.52727273 15.47272727],0
b2,1,0.390889,0.736174,[ 9 23] ; [ 9 14],[10.47272727 21.52727273] ; [ 7.52727273 15.47272727],0
a7,1,0.403673,0.697358,[26 27] ; [14 21],[24.09090909 28.90909091] ; [15.90909091 19.09090909],0
p6,1,0.4241,0.638926,[ 6 46] ; [ 6 28],[ 7.25581395 44.74418605] ; [ 4.74418605 29.25581395],0
v4,1,0.437159,0.603728,[31 22] ; [17 17],[29.24137931 23.75862069] ; [18.75862069 15.24137931],0
b1,1,0.459731,0.54655,[30 23] ; [17 18],[28.30681818 24.69318182] ; [18.69318182 16.30681818],0
a1,1,0.482752,0.492639,[ 5 48] ; [ 5 30],[ 6.02272727 46.97727273] ; [ 3.97727273 31.02272727],0
s4,1,0.494387,0.466965,[ 9 44] ; [ 8 27],[10.23863636 42.76136364] ; [ 6.76136364 28.23863636],0
n4,1,0.507548,0.439118,[28 25] ; [21 14],[29.51136364 23.48863636] ; [19.48863636 15.51136364],0
n2,1,0.536632,0.381818,[12 10] ; [ 9 11],[11. 11.] ; [10. 10.],0
r2,1,0.582931,0.30152,[27 23] ; [21 14],[28.23529412 21.76470588] ; [19.76470588 15.23529412],0
s5,1,0.599772,0.275341,[ 8 44] ; [ 4 31],[ 7.17241379 44.82758621] ; [ 4.82758621 30.17241379],0
p7,1,0.599895,0.275155,[16 33] ; [13 21],[17.12048193 31.87951807] ; [11.87951807 22.12048193],0
b5,1,0.631023,0.230675,[27 26] ; [16 19],[25.89772727 27.10227273] ; [17.10227273 17.89772727],0
s2,1,0.705987,0.142318,[14 39] ; [ 8 27],[13.25 39.75] ; [ 8.75 26.25],0
p2,1,0.720905,0.127628,[28 23] ; [20 14],[28.8 22.2] ; [19.2 14.8],0
n6,1,0.751048,0.100653,[28 23] ; [18 17],[27.27906977 23.72093023] ; [18.72093023 16.27906977],0
b4,1,0.762147,0.091604,[29 24] ; [18 17],[28.30681818 24.69318182] ; [18.69318182 16.30681818],0
p8,1,0.8314,0.045329,[16 37] ; [11 23],[16.44827586 36.55172414] ; [10.55172414 23.44827586],0
v3,1,0.843238,0.039107,[ 7 46] ; [ 5 29],[ 7.31034483 45.68965517] ; [ 4.68965517 29.31034483],0
s1,1,0.862028,0.030204,[ 4 49] ; [ 3 32],[ 4.21590909 48.78409091] ; [ 2.78409091 32.21590909],0
s6,1,0.89993,0.015813,[13 40] ; [ 9 26],[13.25 39.75] ; [ 8.75 26.25],0
n1,1,0.952198,0.003594,[ 9 13] ; [ 8 12],[ 8.9047619 13.0952381] ; [ 8.0952381 11.9047619],0
p11,1,0.960148,0.002497,[23 30] ; [15 20],[22.88636364 30.11363636] ; [15.11363636 19.88636364],0
