Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1e-06,24.323841,[13 78] ; [21 16],[24.171875 66.828125] ; [ 9.828125 27.171875],1
s6,1,0.001029,10.774856,[34 55] ; [26 11],[42.38095238 46.61904762] ; [17.61904762 19.38095238],0
s3,1,0.001166,10.542809,[32 57] ; [25 12],[40.26190476 48.73809524] ; [16.73809524 20.26190476],0
s2,1,0.004111,8.234274,[27 64] ; [21 16],[34.125 56.875] ; [13.875 23.125],0
s5,1,0.004991,7.882827,[16 71] ; [15 20],[22.10655738 64.89344262] ; [ 8.89344262 26.10655738],0
u2,1,0.019932,5.41782,[23 27] ; [10  2],[26.61290323 23.38709677] ; [6.38709677 5.61290323],0
s4,1,0.035995,4.397358,[11 81] ; [10 27],[14.97674419 77.02325581] ; [ 6.02325581 30.97674419],0
a8,1,0.038562,4.280048,[ 5 83] ; [ 6 28],[ 7.93442623 80.06557377] ; [ 3.06557377 30.93442623],0
u3,1,0.039966,4.219309,[22 27] ; [10  3],[25.29032258 23.70967742] ; [6.70967742 6.29032258],0
a3,1,0.042126,4.130138,[41 50] ; [24 13],[46.2109375 44.7890625] ; [18.7890625 18.2109375],0
d5,1,0.042126,4.130138,[41 50] ; [24 13],[46.2109375 44.7890625] ; [18.7890625 18.2109375],0
p2,1,0.056029,3.651193,[61 30] ; [31  6],[65.40625 25.59375] ; [26.59375 10.40625],0
v1,1,0.058048,3.592289,[30 60] ; [19 18],[34.72440945 55.27559055] ; [14.27559055 22.72440945],0
d3,1,0.058559,3.577732,[35 56] ; [21 16],[39.8125 51.1875] ; [16.1875 20.8125],0
r4,1,0.076228,3.143546,[66 26] ; [32  5],[69.89147287 22.10852713] ; [28.10852713  8.89147287],0
p10,1,0.077605,3.114352,[47 43] ; [25 11],[51.42857143 38.57142857] ; [20.57142857 15.42857143],0
p3,1,0.094561,2.794964,[28 64] ; [17 20],[32.09302326 59.90697674] ; [12.90697674 24.09302326],0
a7,1,0.101704,2.678619,[55 36] ; [28  9],[59.0078125 31.9921875] ; [23.9921875 13.0078125],0
n1,1,0.105826,2.615473,[ 5 23] ; [4 5],[ 6.81081081 21.18918919] ; [2.18918919 6.81081081],0
a5,1,0.111082,2.53876,[38 54] ; [21 16],[42.07751938 49.92248062] ; [16.92248062 20.07751938],0
b2,1,0.130379,2.287984,[10 38] ; [ 9 15],[12.66666667 35.33333333] ; [ 6.33333333 17.66666667],0
b3,1,0.130379,2.287984,[10 38] ; [ 9 15],[12.66666667 35.33333333] ; [ 6.33333333 17.66666667],0
u1,1,0.141054,2.166422,[ 1 91] ; [ 2 35],[ 2.13953488 89.86046512] ; [ 0.86046512 36.13953488],0
r1,1,0.159143,1.982354,[55 37] ; [27 10],[58.48062016 33.51937984] ; [23.51937984 13.48062016],0
p7,1,0.194601,1.682436,[44 47] ; [22 14],[47.29133858 43.70866142] ; [18.70866142 17.29133858],0
v4,1,0.209482,1.575,[78 12] ; [34  2],[80. 10.] ; [32.  4.],0
