Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1e-05,19.581997,[15 47] ; [183 151],[31. 31.] ; [167. 167.],1
n5,1,0.000173,14.10241,[41 25] ; [276  58],[52.305 13.695] ; [264.695  69.305],1
p8,1,0.000772,11.307916,[33 32] ; [241  94],[44.525 20.475] ; [229.475 105.525],1
d3,1,0.001265,10.392974,[37 30] ; [251  85],[47.8808933 19.1191067] ; [240.1191067  95.8808933],0
p10,1,0.001299,10.344646,[49 16] ; [300  34],[56.85463659  8.14536341] ; [292.14536341  41.85463659],0
n6,1,0.001537,10.033984,[50 16] ; [301  34],[57.77057357  8.22942643] ; [293.22942643  41.77057357],0
p5,1,0.002664,9.024719,[ 4 63] ; [ 73 262],[12.83333333 54.16666667] ; [ 64.16666667 270.83333333],0
n4,1,0.00489,7.919697,[47 19] ; [287  49],[54.8358209 11.1641791] ; [279.1641791  56.8358209],0
d1,1,0.006777,7.331235,[33 34] ; [224 112],[42.72704715 24.27295285] ; [214.27295285 121.72704715],0
s2,1,0.009043,6.814373,[27 40] ; [191 140],[36.69849246 30.30150754] ; [181.30150754 149.69849246],0
a7,1,0.013399,6.115647,[41 26] ; [254  81],[49.16666667 17.83333333] ; [245.83333333  89.16666667],0
s6,1,0.014508,5.975208,[39 26] ; [244  82],[47.04603581 17.95396419] ; [235.95396419  90.04603581],0
s7,1,0.052748,3.75189,[31 34] ; [190 123],[38.0026455 26.9973545] ; [182.9973545 130.0026455],0
p9,1,0.062134,3.479484,[55 10] ; [308  27],[58.9875  6.0125] ; [304.0125  30.9875],0
p12,1,0.065253,3.398565,[ 3 62] ; [ 42 294],[ 7.29426434 57.70573566] ; [ 37.70573566 298.29426434],0
s5,1,0.085871,2.950116,[20 44] ; [137 183],[26.16666667 37.83333333] ; [130.83333333 189.16666667],0
s4,1,0.09231,2.833624,[ 7 60] ; [ 63 268],[11.7839196 55.2160804] ; [ 58.2160804 272.7839196],0
n2,1,0.13906,2.188329,[9 1] ; [34 17],[7.04918033 2.95081967] ; [35.95081967 15.04918033],0
d2,1,0.146903,2.104113,[30 37] ; [183 153],[35.41191067 31.58808933] ; [177.58808933 158.41191067],0
r3,1,0.153082,2.041266,[62  5] ; [321  12],[64.1525  2.8475] ; [318.8475  14.1525],0
r1,1,0.167805,1.902444,[50 16] ; [277  57],[53.955 12.045] ; [273.045  60.955],0
s3,1,0.18134,1.78661,[35 32] ; [202 129],[39.89698492 27.10301508] ; [197.10301508 133.89698492],0
p11,1,0.186846,1.742315,[52 15] ; [283  53],[55.69478908 11.30521092] ; [279.30521092  56.69478908],0
b3,1,0.195391,1.676491,[21 22] ; [ 83 134],[17.2 25.8] ; [ 86.8 130.2],0
b2,1,0.195391,1.676491,[21 22] ; [ 83 134],[17.2 25.8] ; [ 86.8 130.2],0
d5,1,0.204229,1.611868,[54 13] ; [290  45],[57.33333333  9.66666667] ; [286.66666667  48.33333333],0
a4,1,0.283848,1.148571,[28 39] ; [164 171],[32. 35.] ; [160. 175.],0
n3,1,0.286827,1.134457,[9 1] ; [38 13],[7.70491803 2.29508197] ; [39.29508197 11.70491803],0
d4,1,0.290556,1.117042,[54 13] ; [287  48],[56.83333333 10.16666667] ; [284.16666667  50.83333333],0
b1,1,0.291746,1.111546,[33 34] ; [142 194],[29.0942928 37.9057072] ; [145.9057072 190.0942928],0
u1,1,0.293518,1.103415,[12 55] ; [ 80 256],[15.29528536 51.70471464] ; [ 76.70471464 259.29528536],0
b4,1,0.333725,0.934391,[35 32] ; [197 139],[38.5707196 28.4292804] ; [193.4292804 142.5707196],0
b5,1,0.353226,0.861833,[42 25] ; [190 146],[38.5707196 28.4292804] ; [193.4292804 142.5707196],0
a6,1,0.357564,0.846432,[43 23] ; [238  98],[46.13432836 19.86567164] ; [234.86567164 101.13432836],0
a2,1,0.380386,0.769453,[16 51] ; [ 98 238],[18.9528536 48.0471464] ; [ 95.0471464 240.9528536],0
a3,1,0.403779,0.697045,[53 13] ; [253  82],[50.36408978 15.63591022] ; [255.63591022  79.36408978],0
r4,1,0.405789,0.691106,[60  7] ; [311  25],[61.67990074  5.32009926] ; [309.32009926  26.67990074],0
a5,1,0.409545,0.680121,[50 17] ; [266  70],[52.53598015 14.46401985] ; [263.46401985  72.53598015],0
u3,1,0.455273,0.557491,[10  4] ; [50 32],[8.75 5.25] ; [51.25 30.75],0
