Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,2e-06,22.875911,[124  11] ; [30 18],[113.60655738  21.39344262] ; [40.39344262  7.60655738],1
p10,1,1.7e-05,18.543805,[120  14] ; [29 18],[110.30939227  23.69060773] ; [38.69060773  8.30939227],1
b1,1,7e-05,15.82249,[ 35 101] ; [28 21],[46.31351351 89.68648649] ; [16.68648649 32.31351351],1
p8,1,0.00027,13.269289,[79 53] ; [14 34],[68.2 63.8] ; [24.8 23.2],1
a6,1,0.007474,7.155434,[98 38] ; [25 24],[90.42162162 45.57837838] ; [32.57837838 16.42162162],0
s2,1,0.009852,6.661538,[ 25 110] ; [18 31],[ 31.54891304 103.45108696] ; [11.45108696 37.54891304],0
n5,1,0.010274,6.586742,[107  28] ; [29 19],[100.32786885  34.67213115] ; [35.67213115 12.32786885],0
p2,1,0.011588,6.372902,[114  22] ; [32 16],[107.91304348  28.08695652] ; [38.08695652  9.91304348],0
a4,1,0.01311,6.154157,[47 88] ; [27 22],[54.29347826 80.70652174] ; [19.70652174 29.29347826],0
r4,1,0.019757,5.433253,[125  11] ; [39 10],[120.56216216  15.43783784] ; [43.43783784  5.56216216],0
r3,1,0.020422,5.375474,[130   6] ; [42  7],[126.44324324   9.55675676] ; [45.55675676  3.44324324],0
p6,1,0.052481,3.760369,[58 77] ; [13 35],[52.37704918 82.62295082] ; [18.62295082 29.37704918],0
p4,1,0.061516,3.496038,[94 42] ; [26 22],[88.69565217 47.30434783] ; [31.30434783 16.69565217],0
n4,1,0.063373,3.446827,[107  29] ; [32 17],[102.18378378  33.81621622] ; [36.81621622 12.18378378],0
n6,1,0.069324,3.298951,[120  16] ; [38 11],[116.15135135  19.84864865] ; [41.84864865  7.15135135],0
p12,1,0.091138,2.854165,[ 13 122] ; [ 1 47],[ 10.32786885 124.67213115] ; [ 3.67213115 44.32786885],0
v3,1,0.093247,2.817402,[44 89] ; [22 25],[48.76666667 84.23333333] ; [17.23333333 29.76666667],0
p7,1,0.128491,2.310647,[88 46] ; [25 22],[83.65745856 50.34254144] ; [29.34254144 17.65745856],0
v4,1,0.217818,1.51869,[129   7] ; [44  5],[127.17837838   8.82162162] ; [45.82162162  3.17837838],0
v1,1,0.237421,1.395839,[82 53] ; [25 24],[78.50543478 56.49456522] ; [28.49456522 20.50543478],0
d1,1,0.243755,1.358743,[77 59] ; [23 26],[73.51351351 62.48648649] ; [26.48648649 22.51351351],0
s1,1,0.274493,1.194157,[  2 133] ; [ 2 46],[  2.95081967 132.04918033] ; [ 1.04918033 46.95081967],0
d4,1,0.285991,1.138397,[107  29] ; [42  7],[109.53513514  26.46486486] ; [39.46486486  9.53513514],0
u2,1,0.300463,1.072137,[31 17] ; [8 8],[29.25 18.75] ; [9.75 6.25],0
r2,1,0.307683,1.040596,[119  15] ; [46  3],[120.81967213  13.18032787] ; [44.18032787  4.81967213],0
a1,1,0.310207,1.029793,[  8 128] ; [ 5 44],[  9.55675676 126.44324324] ; [ 3.44324324 45.55675676],0
s4,1,0.327023,0.960652,[ 19 113] ; [10 39],[ 21.14917127 110.85082873] ; [ 7.85082873 41.14917127],0
