Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,5.8e-05,16.153846,[ 5 60] ; [16 24],[13. 52.] ; [ 8. 32.],1
s3,1,0.000556,11.917634,[21 43] ; [27 13],[29.53846154 34.46153846] ; [18.46153846 21.53846154],1
s2,1,0.001301,10.340909,[13 52] ; [20 20],[20.42857143 44.57142857] ; [12.57142857 27.42857143],0
s7,1,0.001324,10.309276,[ 9 49] ; [18 22],[15.97959184 42.02040816] ; [11.02040816 28.97959184],0
p7,1,0.001588,9.973631,[22 41] ; [25 12],[29.61 33.39] ; [17.39 19.61],0
v4,1,0.001704,9.844193,[44 20] ; [37  2],[50.33009709 13.66990291] ; [30.66990291  8.33009709],0
s5,1,0.001976,9.571986,[ 4 59] ; [11 27],[ 9.35643564 53.64356436] ; [ 5.64356436 32.35643564],0
r3,1,0.002513,9.130937,[43 22] ; [36  3],[49.375 15.625] ; [29.625  9.375],0
p8,1,0.002676,9.015928,[15 49] ; [20 18],[21.96078431 42.03921569] ; [13.03921569 24.96078431],0
p2,1,0.006764,7.334582,[35 30] ; [32  8],[41.47619048 23.52380952] ; [25.52380952 14.47619048],0
p9,1,0.018781,5.521805,[32 32] ; [28 10],[37.64705882 26.35294118] ; [22.35294118 15.64705882],0
a4,1,0.022397,5.214708,[21 44] ; [ 5 35],[16.0952381 48.9047619] ; [ 9.9047619 30.0952381],0
p4,1,0.028998,4.767729,[17 47] ; [19 21],[22.15384615 41.84615385] ; [13.84615385 26.15384615],0
p3,1,0.041996,4.135385,[14 51] ; [16 24],[18.57142857 46.42857143] ; [11.42857143 28.57142857],0
r4,1,0.043373,4.080823,[36 29] ; [30 10],[40.85714286 24.14285714] ; [25.14285714 14.85714286],0
u3,1,0.104597,2.634014,[13 15] ; [14  6],[15.75 12.25] ; [11.25  8.75],0
a8,1,0.124956,2.354075,[ 6 56] ; [ 8 31],[ 8.59405941 53.40594059] ; [ 5.40594059 33.59405941],0
a6,1,0.136023,2.222385,[36 29] ; [28 12],[39.61904762 25.38095238] ; [24.38095238 15.61904762],0
v1,1,0.149184,2.080574,[22 42] ; [19 20],[25.47572816 38.52427184] ; [15.52427184 23.47572816],0
n2,1,0.164043,1.936552,[16  8] ; [13  2],[17.84615385  6.15384615] ; [11.15384615  3.84615385],0
s4,1,0.168557,1.895728,[ 8 57] ; [ 9 31],[10.52380952 54.47619048] ; [ 6.47619048 33.52380952],0
r1,1,0.18025,1.795562,[37 28] ; [28 12],[40.23809524 24.76190476] ; [24.76190476 15.23809524],0
p11,1,0.185016,1.756864,[32 33] ; [25 15],[35.28571429 29.71428571] ; [21.71428571 18.28571429],0
u2,1,0.25119,1.316671,[15 13] ; [14  6],[16.91666667 11.08333333] ; [12.08333333  7.91666667],0
v2,1,0.269149,1.221077,[19 43] ; [15 21],[21.51020408 40.48979592] ; [12.48979592 23.51020408],0
a3,1,0.304737,1.053348,[37 27] ; [19 21],[34.46153846 29.53846154] ; [21.53846154 18.46153846],0
d2,1,0.32205,0.980603,[13 52] ; [ 5 35],[11.14285714 53.85714286] ; [ 6.85714286 33.14285714],0
p10,1,0.331072,0.9447,[29 35] ; [21 17],[31.37254902 32.62745098] ; [18.62745098 19.37254902],0
b2,1,0.357525,0.846568,[10 23] ; [ 4 17],[ 8.55555556 24.44444444] ; [ 5.44444444 15.55555556],0
b3,1,0.357525,0.846568,[10 23] ; [ 4 17],[ 8.55555556 24.44444444] ; [ 5.44444444 15.55555556],0
n5,1,0.400612,0.70649,[29 35] ; [21 18],[31.06796117 32.93203883] ; [18.93203883 20.06796117],0
d3,1,0.405033,0.693333,[22 42] ; [17 23],[24. 40.] ; [15. 25.],0
n1,1,0.531725,0.391094,[10 13] ; [ 5 10],[ 9.07894737 13.92105263] ; [5.92105263 9.07894737],0
a2,1,0.536306,0.38243,[ 3 62] ; [ 3 37],[ 3.71428571 61.28571429] ; [ 2.28571429 37.71428571],0
b4,1,0.565695,0.32994,[33 32] ; [18 22],[31.57142857 33.42857143] ; [19.42857143 20.57142857],0
r2,1,0.630701,0.231111,[49 16] ; [31  8],[50. 15.] ; [30.  9.],0
