Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.002057,9.498398,[24  4] ; [4 7],[20.1025641  7.8974359] ; [7.8974359 3.1025641],0
n4,1,0.009568,6.713659,[24  4] ; [5 6],[20.82051282  7.17948718] ; [8.17948718 2.82051282],0
n6,1,0.037621,4.322078,[24  4] ; [6 5],[21.53846154  6.46153846] ; [8.46153846 2.53846154],0
a5,1,0.113556,2.504028,[18 10] ; [4 7],[15.79487179 12.20512821] ; [6.20512821 4.79487179],0
r1,1,0.124409,2.360913,[24  4] ; [7 4],[22.25641026  5.74358974] ; [8.74358974 2.25641026],0
d2,1,0.242696,1.364867,[16 12] ; [4 7],[14.35897436 13.64102564] ; [5.64102564 5.35897436],0
v3,1,0.274895,1.192157,[14 14] ; [3 7],[12.52631579 15.47368421] ; [4.47368421 5.52631579],0
d3,1,0.281984,1.157503,[18 10] ; [5 6],[16.51282051 11.48717949] ; [6.48717949 4.51282051],0
r4,1,0.306535,1.045547,[26  2] ; [9 2],[25.12820513  2.87179487] ; [9.87179487 1.12820513],0
d5,1,0.341591,0.904453,[24  4] ; [8 3],[22.97435897  5.02564103] ; [9.02564103 1.97435897],0
s7,1,0.353235,0.861801,[18  9] ; [5 5],[16.78378378 10.21621622] ; [6.21621622 3.78378378],0
u1,1,0.366273,0.816269,[ 6 22] ; [ 1 10],[ 5.02564103 22.97435897] ; [1.97435897 9.02564103],0
v1,1,0.368005,0.81039,[12 16] ; [3 8],[10.76923077 17.23076923] ; [4.23076923 6.76923077],0
s4,1,0.368955,0.807181,[ 4 23] ; [3 8],[ 4.97368421 22.02631579] ; [2.02631579 8.97368421],0
a4,1,0.383281,0.760151,[ 9 19] ; [2 9],[ 7.8974359 20.1025641] ; [3.1025641 7.8974359],0
p10,1,0.387145,0.74789,[11 17] ; [6 5],[12.20512821 15.79487179] ; [4.79487179 6.20512821],0
a3,1,0.435484,0.608154,[19  9] ; [6 5],[17.94871795 10.05128205] ; [7.05128205 3.94871795],0
p4,1,0.442068,0.590909,[14 14] ; [7 4],[15.07692308 12.92307692] ; [5.92307692 5.07692308],0
p2,1,0.477916,0.503616,[21  7] ; [7 4],[20.1025641  7.8974359] ; [7.8974359 3.1025641],0
a2,1,0.494739,0.466204,[ 5 23] ; [ 1 10],[ 4.30769231 23.69230769] ; [1.69230769 9.30769231],0
v2,1,0.507591,0.439031,[14 13] ; [7 4],[14.92105263 12.07894737] ; [6.07894737 4.92105263],0
d1,1,0.509966,0.434137,[16 12] ; [5 6],[15.07692308 12.92307692] ; [5.92307692 5.07692308],0
p11,1,0.573683,0.316558,[18 10] ; [6 5],[17.23076923 10.76923077] ; [6.76923077 4.23076923],0
a6,1,0.573683,0.316558,[18 10] ; [6 5],[17.23076923 10.76923077] ; [6.76923077 4.23076923],0
a7,1,0.573683,0.316558,[18 10] ; [6 5],[17.23076923 10.76923077] ; [6.76923077 4.23076923],0
s3,1,0.68547,0.164033,[19  8] ; [7 4],[18.47368421  8.52631579] ; [7.52631579 3.47368421],0
s6,1,0.696681,0.151948,[22  6] ; [8 3],[21.53846154  6.46153846] ; [8.46153846 2.53846154],0
p8,1,0.710644,0.137634,[12 16] ; [4 7],[11.48717949 16.51282051] ; [4.51282051 6.48717949],0
b1,1,0.766822,0.087933,[19  9] ; [8 3],[19.38461538  8.61538462] ; [7.61538462 3.38461538],0
s5,1,0.831573,0.045234,[ 8 18] ; [3 8],[ 7.72972973 18.27027027] ; [3.27027027 7.72972973],0
a1,1,0.837224,0.042208,[ 2 26] ; [ 1 10],[ 2.15384615 25.84615385] ; [ 0.84615385 10.15384615],0
s2,1,0.858273,0.031888,[18  9] ; [7 4],[17.76315789  9.23684211] ; [7.23684211 3.76315789],0
s1,1,0.861443,0.030463,[ 2 25] ; [ 1 10],[ 2.13157895 24.86842105] ; [ 0.86842105 10.13157895],0
b3,1,0.871524,0.026154,[ 5 15] ; [2 7],[ 4.82758621 15.17241379] ; [2.17241379 6.82758621],0
b2,1,0.871524,0.026154,[ 5 15] ; [2 7],[ 4.82758621 15.17241379] ; [2.17241379 6.82758621],0
p7,1,0.88012,0.022746,[14 13] ; [6 5],[14.21052632 12.78947368] ; [5.78947368 5.21052632],0
d4,1,0.883708,0.021395,[21  7] ; [8 3],[20.82051282  7.17948718] ; [8.17948718 2.82051282],0
p6,1,0.884483,0.021109,[ 8 19] ; [3 8],[ 7.81578947 19.18421053] ; [3.18421053 7.81578947],0
u2,1,0.92265,0.009428,[7 2] ; [4 1],[7.07142857 1.92857143] ; [3.92857143 1.07142857],0
b5,1,0.956212,0.003015,[15 13] ; [6 5],[15.07692308 12.92307692] ; [5.92307692 5.07692308],0
p3,1,0.969655,0.001447,[10 18] ; [4 7],[10.05128205 17.94871795] ; [3.94871795 7.05128205],0
n1,1,1.0,0.0,[4 4] ; [1 1],[4. 4.] ; [1. 1.],0
