Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,6.4e-05,15.968225,[58  7] ; [29 22],[48.75 16.25] ; [38.25 12.75],1
r3,1,0.005215,7.803369,[54 10] ; [32 20],[47.44827586 16.55172414] ; [38.55172414 13.44827586],0
p11,1,0.008989,6.825,[37 28] ; [17 35],[30. 35.] ; [24. 28.],0
p7,1,0.021758,5.265,[31 34] ; [14 38],[25. 40.] ; [20. 32.],0
s1,1,0.023008,5.167903,[ 1 63] ; [ 6 45],[ 3.89565217 60.10434783] ; [ 3.10434783 47.89565217],0
n2,1,0.025865,4.96505,[17  6] ; [12 16],[13.07843137  9.92156863] ; [15.92156863 12.07843137],0
s7,1,0.028608,4.791061,[12 51] ; [ 2 42],[ 8.24299065 54.75700935] ; [ 5.75700935 38.24299065],0
p2,1,0.029781,4.72191,[43 22] ; [24 28],[37.22222222 27.77777778] ; [29.77777778 22.22222222],0
a1,1,0.036203,4.3875,[ 2 63] ; [ 7 45],[ 5. 60.] ; [ 4. 48.],0
r4,1,0.036514,4.37293,[46 19] ; [27 25],[40.55555556 24.44444444] ; [32.44444444 19.55555556],0
s8,1,0.040938,4.178571,[10 55] ; [ 2 50],[ 6.66666667 58.33333333] ; [ 5.33333333 46.66666667],0
v2,1,0.042242,4.125485,[27 37] ; [12 38],[21.89473684 42.10526316] ; [17.10526316 32.89473684],0
p8,1,0.062905,3.459082,[18 46] ; [ 7 44],[13.91304348 50.08695652] ; [11.08695652 39.91304348],0
p9,1,0.063847,3.434529,[23 39] ; [11 41],[18.49122807 43.50877193] ; [15.50877193 36.49122807],0
b5,1,0.067174,3.350769,[41 24] ; [24 28],[36.11111111 28.88888889] ; [28.88888889 23.11111111],0
p4,1,0.084594,2.974359,[20 44] ; [ 9 43],[16. 48.] ; [13. 39.],0
s3,1,0.117146,2.455075,[12 52] ; [16 35],[15.5826087 48.4173913] ; [12.4173913 38.5826087],0
p6,1,0.12414,2.36429,[16 46] ; [ 7 43],[12.73214286 49.26785714] ; [10.26785714 39.73214286],0
a3,1,0.128083,2.315581,[35 29] ; [35 16],[38.95652174 25.04347826] ; [31.04347826 19.95652174],0
n1,1,0.151127,2.060836,[ 5 18] ; [11 16],[ 7.36 15.64] ; [ 8.64 18.36],0
s4,1,0.162587,1.95,[ 3 62] ; [ 6 46],[ 5. 60.] ; [ 4. 48.],0
b1,1,0.185035,1.756716,[27 38] ; [28 24],[30.55555556 34.44444444] ; [24.44444444 27.55555556],0
d3,1,0.185035,1.756716,[38 27] ; [24 28],[34.44444444 30.55555556] ; [27.55555556 24.44444444],0
a4,1,0.186764,1.742959,[23 41] ; [25 27],[26.48275862 37.51724138] ; [21.51724138 30.48275862],0
d1,1,0.189522,1.721326,[29 36] ; [17 35],[25.55555556 39.44444444] ; [20.44444444 31.55555556],0
n5,1,0.199145,1.648636,[34 31] ; [21 31],[30.55555556 34.44444444] ; [24.44444444 27.55555556],0
p3,1,0.27549,1.189205,[17 48] ; [ 9 42],[14.56896552 50.43103448] ; [11.43103448 39.56896552],0
a8,1,0.318526,0.994991,[ 7 53] ; [ 3 46],[ 5.50458716 54.49541284] ; [ 4.49541284 44.50458716],0
a5,1,0.362179,0.830323,[32 33] ; [30 22],[34.44444444 30.55555556] ; [27.55555556 24.44444444],0
u2,1,0.398898,0.711646,[10 19] ; [8 9],[11.34782609 17.65217391] ; [ 6.65217391 10.34782609],0
r2,1,0.422048,0.644606,[52 11] ; [39 12],[50.28947368 12.71052632] ; [40.71052632 10.28947368],0
n4,1,0.423024,0.6419,[41 24] ; [29 23],[38.88888889 26.11111111] ; [31.11111111 20.88888889],0
r1,1,0.457536,0.551917,[35 29] ; [32 20],[36.96551724 27.03448276] ; [30.03448276 21.96551724],0
d5,1,0.473466,0.513875,[37 28] ; [33 19],[38.88888889 26.11111111] ; [31.11111111 20.88888889],0
u1,1,0.485045,0.4875,[ 6 59] ; [ 3 49],[ 5. 60.] ; [ 4. 48.],0
v3,1,0.513723,0.426477,[15 49] ; [ 9 40],[13.59292035 50.40707965] ; [10.40707965 38.59292035],0
a7,1,0.651468,0.204054,[33 31] ; [29 23],[34.20689655 29.79310345] ; [27.79310345 24.20689655],0
b4,1,0.677392,0.173077,[35 30] ; [30 22],[36.11111111 28.88888889] ; [28.88888889 23.11111111],0
s5,1,0.690163,0.158909,[ 5 58] ; [ 3 47],[ 4.46017699 58.53982301] ; [ 3.53982301 46.46017699],0
d2,1,0.697316,0.15128,[28 35] ; [25 27],[29.03478261 33.96521739] ; [23.96521739 28.03478261],0
a6,1,0.702145,0.14625,[39 26] ; [33 19],[40. 25.] ; [32. 20.],0
u3,1,0.708318,0.139963,[ 9 21] ; [ 6 11],[ 9.57446809 20.42553191] ; [ 5.42553191 11.57446809],0
p1,1,0.721553,0.12701,[ 4 61] ; [ 4 47],[ 4.48275862 60.51724138] ; [ 3.51724138 47.48275862],0
d4,1,0.74872,0.10261,[42 22] ; [32 19],[41.1826087 22.8173913] ; [32.8173913 18.1826087],0
a2,1,0.769287,0.086029,[10 55] ; [ 7 45],[ 9.44444444 55.55555556] ; [ 7.55555556 44.44444444],0
s2,1,0.816125,0.054071,[ 7 57] ; [ 5 47],[ 6.62068966 57.37931034] ; [ 5.37931034 46.62068966],0
n3,1,0.821331,0.051,[14  9] ; [15 11],[13.6122449  9.3877551] ; [15.3877551 10.6122449],0
v1,1,0.844362,0.03854,[18 45] ; [14 38],[17.53043478 45.46956522] ; [14.46956522 37.53043478],0
b2,1,0.848219,0.036631,[14 28] ; [11 20],[14.38356164 27.61643836] ; [10.61643836 20.38356164],0
b3,1,0.848219,0.036631,[14 28] ; [11 20],[14.38356164 27.61643836] ; [10.61643836 20.38356164],0
