Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.000675,11.556402,[17  8] ; [24 56],[ 9.76190476 15.23809524] ; [31.23809524 48.76190476],1
s8,1,0.00679,7.327773,[ 9 17] ; [10 75],[ 4.45045045 21.54954955] ; [14.54954955 70.45045045],0
p1,1,0.03958,4.235806,[ 5 21] ; [ 5 79],[ 2.36363636 23.63636364] ; [ 7.63636364 76.36363636],0
v1,1,0.045499,4.000035,[14 12] ; [27 57],[ 9.69090909 16.30909091] ; [31.30909091 52.69090909],0
p9,1,0.062296,3.47519,[19  7] ; [44 40],[14.89090909 11.10909091] ; [48.10909091 35.89090909],0
a5,1,0.085926,2.949087,[19  7] ; [46 39],[15.22522523 10.77477477] ; [49.77477477 35.22522523],0
p8,1,0.11636,2.465649,[12 13] ; [26 58],[ 8.71559633 16.28440367] ; [29.28440367 54.71559633],0
v4,1,0.137866,2.201615,[22  4] ; [58 25],[19.08256881  6.91743119] ; [60.91743119 22.08256881],0
p10,1,0.160953,1.965254,[15 10] ; [37 47],[11.9266055 13.0733945] ; [40.0733945 43.9266055],0
p5,1,0.216093,1.53013,[ 3 23] ; [ 4 80],[ 1.65454545 24.34545455] ; [ 5.34545455 78.65454545],0
b4,1,0.221909,1.491983,[17  9] ; [44 41],[14.28828829 11.71171171] ; [46.71171171 38.28828829],0
n1,1,0.243022,1.362981,[1 5] ; [15 21],[2.28571429 3.71428571] ; [13.71428571 22.28571429],0
a7,1,0.268719,1.223274,[19  7] ; [52 33],[16.63063063  9.36936937] ; [54.36936937 30.63063063],0
r4,1,0.29066,1.116563,[18  8] ; [49 36],[15.69369369 10.30630631] ; [51.30630631 33.69369369],0
r2,1,0.306604,1.045249,[22  4] ; [63 21],[20.09090909  5.90909091] ; [64.90909091 19.09090909],0
s7,1,0.337553,0.919703,[ 6 19] ; [12 65],[ 4.41176471 20.58823529] ; [13.58823529 63.41176471],0
p3,1,0.339868,0.910931,[ 9 16] ; [22 62],[ 7.11009174 17.88990826] ; [23.88990826 60.11009174],0
a2,1,0.388127,0.744802,[ 3 23] ; [16 69],[ 4.45045045 21.54954955] ; [14.54954955 70.45045045],0
u2,1,0.439387,0.597882,[7 3] ; [18 14],[5.95238095 4.04761905] ; [19.04761905 12.95238095],0
a6,1,0.456491,0.554484,[18  8] ; [52 33],[16.3963964  9.6036036] ; [53.6036036 31.3963964],0
r3,1,0.459348,0.547482,[20  6] ; [59 26],[18.5045045  7.4954955] ; [60.4954955 24.5045045],0
a8,1,0.459883,0.546181,[ 1 23] ; [ 7 73],[ 1.84615385 22.15384615] ; [ 6.15384615 73.84615385],0
p4,1,0.46642,0.530446,[10 15] ; [27 57],[ 8.48623853 16.51376147] ; [28.51376147 55.48623853],0
s5,1,0.474087,0.512435,[ 4 21] ; [ 9 75],[ 2.98165138 22.01834862] ; [10.01834862 73.98165138],0
n3,1,0.482096,0.494118,[5 2] ; [20 15],[4.16666667 2.83333333] ; [20.83333333 14.16666667],0
s1,1,0.523759,0.406486,[ 2 23] ; [ 4 81],[ 1.36363636 23.63636364] ; [ 4.63636364 80.36363636],0
d4,1,0.55123,0.355119,[16 10] ; [57 27],[17.25454545  8.74545455] ; [55.74545455 28.25454545],0
b1,1,0.561713,0.336746,[13 13] ; [48 37],[14.28828829 11.71171171] ; [46.71171171 38.28828829],0
