Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.023894,5.102302,[ 3 16] ; [112 154],[ 7.66666667 11.33333333] ; [107.33333333 158.66666667],0
a6,1,0.033063,4.542524,[ 8 11] ; [177  90],[12.29020979  6.70979021] ; [172.70979021  94.29020979],0
b3,1,0.051173,3.802604,[ 2 12] ; [64 93],[5.40350877 8.59649123] ; [60.59649123 96.40350877],0
b2,1,0.051173,3.802604,[ 2 12] ; [64 93],[5.40350877 8.59649123] ; [60.59649123 96.40350877],0
d1,1,0.116935,2.4579,[ 6 13] ; [134 133],[9.3006993 9.6993007] ; [130.6993007 136.3006993],0
n4,1,0.156153,2.011089,[10  9] ; [182  84],[12.8  6.2] ; [179.2  86.8],0
r1,1,0.18316,1.771794,[10  9] ; [179  86],[12.6443662  6.3556338] ; [176.3556338  88.6443662],0
d3,1,0.196787,1.666058,[14  5] ; [156 110],[11.33333333  7.66666667] ; [158.66666667 107.33333333],0
b4,1,0.220662,1.500059,[ 8 11] ; [151 116],[10.56293706  8.43706294] ; [148.43706294 118.56293706],0
d2,1,0.265669,1.238973,[ 6 13] ; [118 146],[ 8.32508834 10.67491166] ; [115.67491166 148.32508834],0
p11,1,0.284383,1.146024,[11  8] ; [186  81],[13.08741259  5.91258741] ; [183.91258741  83.08741259],0
r2,1,0.293453,1.10371,[14  4] ; [227  35],[15.49285714  2.50714286] ; [225.50714286  36.49285714],0
r4,1,0.313053,1.017751,[12  7] ; [197  70],[13.88461538  5.11538462] ; [195.11538462  71.88461538],0
a5,1,0.318653,0.994467,[10  9] ; [171  96],[12.02447552  6.97552448] ; [168.97552448  98.02447552],0
v4,1,0.33532,0.928242,[14  4] ; [228  37],[15.39222615  2.60777385] ; [226.60777385  38.39222615],0
p9,1,0.33551,0.927512,[11  8] ; [179  82],[12.89285714  6.10714286] ; [177.10714286  83.89285714],0
v2,1,0.354041,0.858922,[ 7 12] ; [122 133],[ 8.94525547 10.05474453] ; [120.05474453 134.94525547],0
p8,1,0.357022,0.848341,[ 6 13] ; [111 151],[ 7.91103203 11.08896797] ; [109.08896797 152.91103203],0
v3,1,0.362255,0.83006,[ 4 15] ; [ 80 178],[ 5.76173285 13.23826715] ; [ 78.23826715 179.76173285],0
b5,1,0.362926,0.827744,[ 9 10] ; [155 112],[10.8951049  8.1048951] ; [153.1048951 113.8951049],0
d5,1,0.372664,0.794764,[12  7] ; [194  73],[13.68531469  5.31468531] ; [192.31468531  74.68531469],0
a3,1,0.456585,0.554253,[11  8] ; [175  89],[12.48763251  6.51236749] ; [173.51236749  90.48763251],0
a7,1,0.514841,0.424216,[11  8] ; [173  92],[12.30985915  6.69014085] ; [171.69014085  93.30985915],0
r3,1,0.524927,0.404202,[15  4] ; [223  41],[15.97879859  3.02120141] ; [222.02120141  41.97879859],0
s3,1,0.557255,0.344479,[ 4 15] ; [ 42 222],[ 3.08833922 15.91166078] ; [ 42.91166078 221.08833922],0
p10,1,0.583708,0.300278,[13  6] ; [164 100],[11.88339223  7.11660777] ; [165.11660777  98.88339223],0
n3,1,0.611324,0.258251,[4 3] ; [50 25],[4.6097561 2.3902439] ; [49.3902439 25.6097561],0
u3,1,0.63267,0.228457,[4 4] ; [38 54],[3.36 4.64] ; [38.64 53.36],0
s7,1,0.646942,0.209778,[ 4 15] ; [ 42 206],[ 3.27340824 15.72659176] ; [ 42.72659176 205.27340824],0
s1,1,0.672455,0.178744,[ 1 18] ; [  9 255],[ 0.67137809 18.32862191] ; [  9.32862191 254.67137809],0
n1,1,0.680381,0.169697,[3 4] ; [27 50],[2.5 4.5] ; [27.5 49.5],0
p3,1,0.683357,0.166372,[ 6 13] ; [ 96 169],[ 6.82394366 12.17605634] ; [ 95.17605634 169.82394366],0
p2,1,0.696917,0.151699,[14  5] ; [184  81],[13.24647887  5.75352113] ; [184.75352113  80.24647887],0
d4,1,0.704801,0.143526,[13  6] ; [192  73],[13.71478873  5.28521127] ; [191.28521127  73.71478873],0
n6,1,0.732297,0.117013,[13  6] ; [191  74],[13.64788732  5.35211268] ; [190.35211268  74.64788732],0
s8,1,0.777142,0.080115,[ 3 16] ; [ 36 231],[ 2.59090909 16.40909091] ; [ 36.40909091 230.59090909],0
u2,1,0.787692,0.072527,[4 4] ; [41 50],[3.63636364 4.36363636] ; [41.36363636 49.63636364],0
n2,1,0.819184,0.052255,[4 3] ; [48 30],[4.28235294 2.71764706] ; [47.71764706 30.28235294],0
v1,1,0.841215,0.040136,[ 7 12] ; [103 160],[ 7.41134752 11.58865248] ; [102.58865248 160.41134752],0
p7,1,0.862217,0.030121,[ 9 10] ; [130 133],[9.36524823 9.63475177] ; [129.63475177 133.36524823],0
p6,1,0.892173,0.018375,[ 4 15] ; [ 58 201],[ 4.23741007 14.76258993] ; [ 57.76258993 201.23741007],0
b1,1,0.912603,0.012046,[ 8 11] ; [109 158],[ 7.77272727 11.22727273] ; [109.22727273 157.77272727],0
s5,1,0.913577,0.011778,[ 2 16] ; [ 27 235],[ 1.86428571 16.13571429] ; [ 27.13571429 234.86428571],0
p4,1,0.929066,0.007925,[ 8 11] ; [108 155],[ 7.81560284 11.18439716] ; [108.18439716 154.81560284],0
n5,1,0.980594,0.000592,[12  7] ; [166  98],[11.95053004  7.04946996] ; [166.04946996  97.95053004],0
