Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2e-06,22.861408,[42  7] ; [ 2 10],[35.3442623 13.6557377] ; [8.6557377 3.3442623],1
s4,1,0.003356,8.602786,[ 4 45] ; [5 7],[ 7.2295082 41.7704918] ; [ 1.7704918 10.2295082],0
r3,1,0.020612,5.359325,[45  4] ; [8 4],[42.57377049  6.42622951] ; [10.42622951  1.57377049],0
p6,1,0.032636,4.56475,[23 22] ; [ 2 10],[19.73684211 25.26315789] ; [5.26315789 6.73684211],0
d3,1,0.033787,4.505468,[29 20] ; [11  1],[32.13114754 16.86885246] ; [7.86885246 4.13114754],0
n6,1,0.042883,4.100006,[44  5] ; [8 4],[41.7704918  7.2295082] ; [10.2295082  1.7704918],0
n2,1,0.051927,3.778127,[11  3] ; [2 4],[9.1 4.9] ; [3.9 2.1],0
p11,1,0.056413,3.639829,[38 11] ; [6 6],[35.3442623 13.6557377] ; [8.6557377 3.3442623],0
u3,1,0.057398,3.611014,[ 3 10] ; [3 1],[4.58823529 8.41176471] ; [1.41176471 2.58823529],0
p9,1,0.087238,2.924608,[42  7] ; [7 4],[40.01666667  8.98333333] ; [8.98333333 2.01666667],0
r4,1,0.115614,2.475756,[36 13] ; [6 6],[33.73770492 15.26229508] ; [8.26229508 3.73770492],0
a7,1,0.118424,2.438046,[29 20] ; [10  2],[31.32786885 17.67213115] ; [7.67213115 4.32786885],0
p2,1,0.136037,2.222222,[38 10] ; [7 5],[36. 12.] ; [9. 3.],0
v2,1,0.170904,1.875,[34 14] ; [6 6],[32. 16.] ; [8. 4.],0
r2,1,0.173559,1.851933,[44  5] ; [9 3],[42.57377049  6.42622951] ; [10.42622951  1.57377049],0
a2,1,0.173559,1.851933,[ 5 44] ; [3 9],[ 6.42622951 42.57377049] ; [ 1.57377049 10.42622951],0
n3,1,0.201336,1.632653,[11  3] ; [3 3],[9.8 4.2] ; [4.2 1.8],0
s2,1,0.209062,1.577908,[22 27] ; [3 9],[20.08196721 28.91803279] ; [4.91803279 7.08196721],0
b5,1,0.256416,1.288007,[28 21] ; [9 3],[29.72131148 19.27868852] ; [7.27868852 4.72131148],0
s8,1,0.256416,1.288007,[21 28] ; [3 9],[19.27868852 29.72131148] ; [4.72131148 7.27868852],0
p4,1,0.332892,0.937615,[23 24] ; [4 8],[21.50847458 25.49152542] ; [5.49152542 6.50847458],0
v4,1,0.368904,0.807353,[42  7] ; [9 3],[40.96721311  8.03278689] ; [10.03278689  1.96721311],0
b4,1,0.373105,0.793296,[30 19] ; [9 3],[31.32786885 17.67213115] ; [7.67213115 4.32786885],0
d4,1,0.40008,0.708087,[40  9] ; [11  1],[40.96721311  8.03278689] ; [10.03278689  1.96721311],0
s6,1,0.434446,0.610909,[27 18] ; [8 3],[28.125 16.875] ; [6.875 4.125],0
p7,1,0.512691,0.428571,[29 19] ; [6 6],[28. 20.] ; [7. 5.],0
p10,1,0.559305,0.340909,[36 12] ; [8 4],[35.2 12.8] ; [8.8 3.2],0
p1,1,0.584055,0.299725,[ 7 42] ; [ 1 11],[ 6.42622951 42.57377049] ; [ 1.57377049 10.42622951],0
b3,1,0.617536,0.249346,[14 16] ; [4 3],[14.59459459 15.40540541] ; [3.40540541 3.59459459],0
b2,1,0.617536,0.249346,[14 16] ; [4 3],[14.59459459 15.40540541] ; [3.40540541 3.59459459],0
a3,1,0.637591,0.221907,[36 13] ; [8 4],[35.3442623 13.6557377] ; [8.6557377 3.3442623],0
v1,1,0.690415,0.158637,[29 19] ; [8 4],[29.6 18.4] ; [7.4 4.6],0
s3,1,0.697896,0.15067,[23 25] ; [5 7],[22.4 25.6] ; [5.6 6.4],0
s7,1,0.697896,0.15067,[23 25] ; [5 7],[22.4 25.6] ; [5.6 6.4],0
p3,1,0.697896,0.15067,[23 25] ; [5 7],[22.4 25.6] ; [5.6 6.4],0
d5,1,0.727739,0.121198,[39 10] ; [9 3],[38.55737705 10.44262295] ; [9.44262295 2.55737705],0
s5,1,0.733743,0.115702,[ 9 35] ; [3 9],[ 9.42857143 34.57142857] ; [2.57142857 9.42857143],0
a6,1,0.742553,0.107896,[26 23] ; [7 5],[26.50819672 22.49180328] ; [6.49180328 5.50819672],0
a5,1,0.750577,0.101047,[27 22] ; [6 6],[26.50819672 22.49180328] ; [6.49180328 5.50819672],0
d2,1,0.750577,0.101047,[22 27] ; [6 6],[22.49180328 26.50819672] ; [5.50819672 6.49180328],0
b1,1,0.825934,0.048364,[18 31] ; [4 8],[17.67213115 31.32786885] ; [4.32786885 7.67213115],0
d1,1,0.849062,0.03622,[26 23] ; [6 6],[25.70491803 23.29508197] ; [6.29508197 5.70491803],0
p8,1,0.893236,0.018012,[22 24] ; [6 6],[22.20689655 23.79310345] ; [5.79310345 6.20689655],0
a4,1,0.929157,0.007904,[17 32] ; [4 8],[16.86885246 32.13114754] ; [4.13114754 7.86885246],0
u2,1,1.0,0.0,[6 6] ; [2 2],[6. 6.] ; [2. 2.],0
