Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,3.1e-05,17.378433,[111  12] ; [34 19],[101.33522727  21.66477273] ; [43.66477273  9.33522727],1
p11,1,7.9e-05,15.591939,[93 31] ; [24 30],[81.50561798 42.49438202] ; [35.49438202 18.50561798],1
p6,1,0.000116,14.861915,[37 86] ; [ 2 51],[27.25568182 95.74431818] ; [11.74431818 41.25568182],1
n6,1,0.000386,12.599911,[88 35] ; [23 30],[77.57386364 45.42613636] ; [33.42613636 19.57386364],1
r4,1,0.00044,12.355835,[95 29] ; [27 27],[84.98876404 39.01123596] ; [37.01123596 16.98876404],1
p7,1,0.000491,12.148895,[68 54] ; [14 38],[57.49425287 64.50574713] ; [24.50574713 27.49425287],1
r3,1,0.000496,12.129249,[107  16] ; [34 19],[98.53977273 24.46022727] ; [42.46022727 10.53977273],1
p4,1,0.000663,11.591405,[57 67] ; [10 43],[46.93785311 77.06214689] ; [20.06214689 32.93785311],1
p8,1,0.000828,11.176335,[50 72] ; [ 8 45],[40.43428571 81.56571429] ; [17.56571429 35.43428571],1
p9,1,0.000835,11.161377,[89 35] ; [23 28],[79.36 44.64] ; [32.64 18.36],1
d3,1,0.00106,10.720444,[54 68] ; [10 44],[44.36363636 77.63636364] ; [19.63636364 34.36363636],0
s7,1,0.006265,7.472572,[30 85] ; [ 4 48],[23.41317365 91.58682635] ; [10.58682635 41.41317365],0
a7,1,0.007114,7.243934,[78 45] ; [22 31],[69.88636364 53.11363636] ; [30.11363636 22.88636364],0
p10,1,0.009416,6.742169,[81 43] ; [23 29],[73.27272727 50.72727273] ; [30.72727273 21.27272727],0
p3,1,0.009926,6.648165,[50 74] ; [11 43],[42.49438202 81.50561798] ; [18.50561798 35.49438202],0
d5,1,0.011507,6.385331,[64 59] ; [17 37],[56.28813559 66.71186441] ; [24.71186441 29.28813559],0
s1,1,0.011757,6.347206,[  4 120] ; [ 7 46],[  7.70621469 116.29378531] ; [ 3.29378531 49.70621469],0
a1,1,0.013129,6.151635,[  4 120] ; [ 7 47],[  7.66292135 116.33707865] ; [ 3.33707865 50.66292135],0
r1,1,0.029797,4.720972,[78 46] ; [24 29],[71.45762712 52.54237288] ; [30.54237288 22.45762712],0
s4,1,0.035738,4.409553,[ 18 106] ; [ 2 52],[ 13.93258427 110.06741573] ; [ 6.06741573 47.93258427],0
v1,1,0.036542,4.371625,[51 69] ; [14 40],[44.82758621 75.17241379] ; [20.17241379 33.82758621],0
v2,1,0.039202,4.252089,[51 68] ; [13 37],[45.06508876 73.93491124] ; [18.93491124 31.06508876],0
r2,1,0.044685,4.030499,[105  19] ; [38 15],[100.18079096  23.81920904] ; [42.81920904 10.18079096],0
d2,1,0.078907,3.087282,[ 17 107] ; [13 40],[ 21.01694915 102.98305085] ; [ 8.98305085 44.01694915],0
b5,1,0.086663,2.935294,[79 45] ; [27 27],[73.84269663 50.15730337] ; [32.15730337 21.84269663],0
s5,1,0.183618,1.768094,[ 12 110] ; [ 2 50],[  9.81609195 112.18390805] ; [ 4.18390805 47.81609195],0
n2,1,0.225672,1.467933,[21 11] ; [17  4],[22.94339623  9.05660377] ; [15.05660377  5.94339623],0
n3,1,0.246863,1.340972,[25  7] ; [12  7],[23.21568627  8.78431373] ; [13.78431373  5.21568627],0
s2,1,0.250253,1.321891,[25 99] ; [ 7 47],[ 22.29213483 101.70786517] ; [ 9.70786517 44.29213483],0
n1,1,0.26392,1.24808,[11 21] ; [10 10],[12.92307692 19.07692308] ; [ 8.07692308 11.92307692],0
a3,1,0.288913,1.124682,[71 52] ; [26 27],[67.78977273 55.21022727] ; [29.21022727 23.78977273],0
a6,1,0.356668,0.849592,[69 55] ; [26 28],[66.17977528 57.82022472] ; [28.82022472 25.17977528],0
d4,1,0.395193,0.722903,[66 58] ; [25 29],[63.39325843 60.60674157] ; [27.60674157 26.39325843],0
s8,1,0.406899,0.687844,[ 17 107] ; [ 5 49],[ 15.3258427 108.6741573] ; [ 6.6741573 47.3258427],0
n5,1,0.419342,0.652159,[73 51] ; [34 18],[75.38636364 48.61363636] ; [31.61363636 20.38636364],0
b3,1,0.461897,0.541295,[24 47] ; [14 20],[25.6952381 45.3047619] ; [12.3047619 21.6952381],0
b2,1,0.461897,0.541295,[24 47] ; [14 20],[25.6952381 45.3047619] ; [12.3047619 21.6952381],0
b4,1,0.469977,0.52203,[67 57] ; [26 28],[64.78651685 59.21348315] ; [28.21348315 25.78651685],0
n4,1,0.493629,0.468606,[77 47] ; [30 23],[74.96045198 49.03954802] ; [32.03954802 20.96045198],0
a5,1,0.51429,0.425329,[64 60] ; [25 29],[62. 62.] ; [27. 27.],0
b1,1,0.551908,0.35391,[56 68] ; [27 27],[57.82022472 66.17977528] ; [25.17977528 28.82022472],0
a8,1,0.589716,0.290789,[ 14 100] ; [ 5 48],[ 12.97005988 101.02994012] ; [ 6.02994012 46.97005988],0
p1,1,0.652185,0.203156,[ 11 112] ; [ 6 48],[ 11.81355932 111.18644068] ; [ 5.18644068 48.81355932],0
s3,1,0.668382,0.1835,[34 89] ; [13 40],[32.84659091 90.15340909] ; [14.15340909 38.84659091],0
u2,1,0.793935,0.068228,[23 30] ; [13 15],[23.55555556 29.44444444] ; [12.44444444 15.55555556],0
p12,1,0.803163,0.062128,[  3 119] ; [ 1 53],[  2.77272727 119.22727273] ; [ 1.22727273 52.77272727],0
u3,1,0.8464,0.037525,[22 31] ; [11 17],[21.59259259 31.40740741] ; [11.40740741 16.59259259],0
u1,1,0.917427,0.010749,[  5 119] ; [ 2 52],[  4.87640449 119.12359551] ; [ 2.12359551 51.87640449],0
a4,1,0.923853,0.009136,[33 91] ; [14 40],[32.74157303 91.25842697] ; [14.25842697 39.74157303],0
a2,1,0.980959,0.00057,[  7 117] ; [ 3 51],[  6.96629213 117.03370787] ; [ 3.03370787 50.96629213],0
v3,1,0.99117,0.000122,[31 91] ; [13 38],[31.02890173 90.97109827] ; [12.97109827 38.02890173],0
