Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1e-06,24.487884,[48 27] ; [ 2 24],[37.12871287 37.87128713] ; [12.87128713 13.12871287],1
d5,1,6e-06,20.396957,[65 10] ; [11 15],[56.43564356 18.56435644] ; [19.56435644  6.43564356],1
d3,1,3.9e-05,16.896758,[52 23] ; [ 6 20],[43.06930693 31.93069307] ; [14.93069307 11.06930693],1
v2,1,0.000936,10.949462,[33 41] ; [ 2 23],[26.16161616 47.83838384] ; [ 8.83838384 16.16161616],1
a7,1,0.003488,8.53261,[53 22] ; [10 16],[46.78217822 28.21782178] ; [16.21782178  9.78217822],0
d2,1,0.011772,6.344954,[44 30] ; [ 8 18],[38.48 35.52] ; [13.52 12.48],0
n5,1,0.019991,5.412646,[35 40] ; [19  7],[40.0990099 34.9009901] ; [13.9009901 12.0990099],0
a5,1,0.020409,5.376578,[51 24] ; [11 15],[46.03960396 28.96039604] ; [15.96039604 10.03960396],0
r3,1,0.024968,5.026095,[60 15] ; [15 11],[55.69306931 19.30693069] ; [19.30693069  6.69306931],0
s4,1,0.032278,4.583659,[ 9 64] ; [ 8 18],[12.53535354 60.46464646] ; [ 4.46464646 21.53535354],0
a2,1,0.033355,4.527461,[21 54] ; [ 2 24],[17.07920792 57.92079208] ; [ 5.92079208 20.07920792],0
a4,1,0.04143,4.158342,[37 37] ; [ 7 19],[32.56 41.44] ; [11.44 14.56],0
s1,1,0.106643,2.603272,[ 4 70] ; [ 4 22],[ 5.92 68.08] ; [ 2.08 23.92],0
a3,1,0.115582,2.47619,[52 23] ; [13 12],[48.75 26.25] ; [16.25  8.75],0
r4,1,0.166407,1.915018,[49 26] ; [13 13],[46.03960396 28.96039604] ; [15.96039604 10.03960396],0
n4,1,0.184973,1.757206,[47 28] ; [20  6],[49.75247525 25.24752475] ; [17.24752475  8.75247525],0
p4,1,0.201901,1.628568,[24 50] ; [ 5 21],[21.46 52.54] ; [ 7.54 18.46],0
v3,1,0.256169,1.289345,[23 49] ; [ 5 20],[20.78350515 51.21649485] ; [ 7.21649485 17.78350515],0
p1,1,0.28737,1.131901,[ 6 68] ; [ 4 22],[ 7.4 66.6] ; [ 2.6 23.4],0
v4,1,0.303626,1.058201,[56 19] ; [16  9],[54. 21.] ; [18.  7.],0
a6,1,0.359462,0.839771,[48 27] ; [14 12],[46.03960396 28.96039604] ; [15.96039604 10.03960396],0
b2,1,0.374572,0.788442,[19 29] ; [ 5 13],[17.45454545 30.54545455] ; [ 6.54545455 11.45454545],0
b3,1,0.374572,0.788442,[19 29] ; [ 5 13],[17.45454545 30.54545455] ; [ 6.54545455 11.45454545],0
s5,1,0.375098,0.786706,[14 59] ; [ 3 23],[12.53535354 60.46464646] ; [ 4.46464646 21.53535354],0
s6,1,0.377229,0.779714,[30 44] ; [ 8 18],[28.12 45.88] ; [ 9.88 16.12],0
p5,1,0.428061,0.628078,[ 1 74] ; [ 1 25],[ 1.48514851 73.51485149] ; [ 0.51485149 25.48514851],0
p11,1,0.428093,0.627992,[28 47] ; [12 14],[29.7029703 45.2970297] ; [10.2970297 15.7029703],0
r2,1,0.433451,0.613559,[62 12] ; [20  6],[60.68 13.32] ; [21.32  4.68],0
p8,1,0.443654,0.586815,[10 65] ; [ 2 24],[ 8.91089109 66.08910891] ; [ 3.08910891 22.91089109],0
a8,1,0.445763,0.581402,[ 3 67] ; [ 2 22],[ 3.72340426 66.27659574] ; [ 1.27659574 22.72340426],0
u2,1,0.452461,0.564479,[10 13] ; [4 9],[ 8.94444444 14.05555556] ; [5.05555556 7.94444444],0
b1,1,0.453846,0.56103,[41 34] ; [12 14],[39.35643564 35.64356436] ; [13.64356436 12.35643564],0
v1,1,0.461048,0.54335,[23 52] ; [ 6 20],[21.53465347 53.46534653] ; [ 7.46534653 18.53465347],0
b4,1,0.485897,0.485599,[49 26] ; [15 11],[47.52475248 27.47524752] ; [16.47524752  9.52475248],0
n6,1,0.502903,0.448805,[46 29] ; [14 12],[44.55445545 30.44554455] ; [15.44554455 10.55445545],0
r1,1,0.524694,0.404657,[54 21] ; [17  9],[52.72277228 22.27722772] ; [18.27722772  7.72277228],0
