Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.002138,9.427045,[10 21] ; [19  7],[15.77192982 15.22807018] ; [13.22807018 12.77192982],0
a4,1,0.003267,8.651946,[ 4 27] ; [13 14],[ 9.0862069 21.9137931] ; [ 7.9137931 19.0862069],0
a7,1,0.008902,6.842396,[10 21] ; [18  9],[14.96551724 16.03448276] ; [13.03448276 13.96551724],0
a6,1,0.008902,6.842396,[10 21] ; [18  9],[14.96551724 16.03448276] ; [13.03448276 13.96551724],0
p9,1,0.015007,5.915604,[11 19] ; [18  8],[15.53571429 14.46428571] ; [13.46428571 12.53571429],0
d1,1,0.036451,4.375903,[ 5 26] ; [11 16],[ 8.55172414 22.44827586] ; [ 7.44827586 19.55172414],0
p10,1,0.051033,3.807197,[ 9 21] ; [15 12],[12.63157895 17.36842105] ; [11.36842105 15.63157895],0
s4,1,0.064265,3.423755,[ 8 23] ; [ 2 25],[ 5.34482759 25.65517241] ; [ 4.65517241 22.34482759],0
d3,1,0.07019,3.278561,[11 20] ; [16 11],[14.43103448 16.56896552] ; [12.56896552 14.43103448],0
p11,1,0.100442,2.698511,[14 17] ; [18  9],[17.10344828 13.89655172] ; [14.89655172 12.10344828],0
d5,1,0.100442,2.698511,[14 17] ; [18  9],[17.10344828 13.89655172] ; [14.89655172 12.10344828],0
b3,1,0.107093,2.596603,[ 4 18] ; [6 8],[ 6.11111111 15.88888889] ; [ 3.88888889 10.11111111],0
b2,1,0.107093,2.596603,[ 4 18] ; [6 8],[ 6.11111111 15.88888889] ; [ 3.88888889 10.11111111],0
d4,1,0.128403,2.31171,[17 14] ; [20  7],[19.77586207 11.22413793] ; [17.22413793  9.77586207],0
p4,1,0.130713,2.284021,[10 21] ; [14 13],[12.82758621 18.17241379] ; [11.17241379 15.82758621],0
v1,1,0.135916,2.223603,[ 7 24] ; [11 16],[ 9.62068966 21.37931034] ; [ 8.37931034 18.62068966],0
v3,1,0.159385,1.980054,[ 2 29] ; [ 5 22],[ 3.74137931 27.25862069] ; [ 3.25862069 23.74137931],0
p8,1,0.191775,1.703926,[ 7 24] ; [10 16],[ 9.24561404 21.75438596] ; [ 7.75438596 18.24561404],0
b4,1,0.199512,1.645945,[19 12] ; [12 15],[16.56896552 14.43103448] ; [14.43103448 12.56896552],0
d2,1,0.227632,1.455595,[ 7 24] ; [10 17],[ 9.0862069 21.9137931] ; [ 7.9137931 19.0862069],0
p12,1,0.237151,1.397451,[ 1 30] ; [ 3 24],[ 2.13793103 28.86206897] ; [ 1.86206897 25.13793103],0
s1,1,0.237151,1.397451,[ 1 30] ; [ 3 24],[ 2.13793103 28.86206897] ; [ 1.86206897 25.13793103],0
n1,1,0.27976,1.168254,[ 2 12] ; [3 6],[ 3.04347826 10.95652174] ; [1.95652174 7.04347826],0
a1,1,0.296851,1.088288,[ 2 29] ; [ 4 23],[ 3.20689655 27.79310345] ; [ 2.79310345 24.20689655],0
n4,1,0.300473,1.072094,[18 13] ; [12 15],[16.03448276 14.96551724] ; [13.96551724 13.03448276],0
p5,1,0.301028,1.069634,[ 3 28] ; [ 5 21],[ 4.35087719 26.64912281] ; [ 3.64912281 22.35087719],0
b5,1,0.315436,1.007777,[19 12] ; [13 14],[17.10344828 13.89655172] ; [14.89655172 12.10344828],0
v4,1,0.328661,0.954166,[20 11] ; [14 13],[18.17241379 12.82758621] ; [15.82758621 11.17241379],0
v2,1,0.337744,0.918974,[ 9 21] ; [11 15],[10.71428571 19.28571429] ; [ 9.28571429 16.71428571],0
u2,1,0.344085,0.895153,[ 9 12] ; [5 3],[10.13793103 10.86206897] ; [3.86206897 4.13793103],0
r1,1,0.360758,0.835253,[ 7 24] ; [ 9 18],[ 8.55172414 22.44827586] ; [ 7.44827586 19.55172414],0
p6,1,0.389874,0.739334,[ 6 24] ; [ 3 23],[ 4.82142857 25.17857143] ; [ 4.17857143 21.82142857],0
p3,1,0.46903,0.524261,[ 8 23] ; [ 9 17],[ 9.24561404 21.75438596] ; [ 7.75438596 18.24561404],0
p2,1,0.469053,0.524207,[19 12] ; [14 13],[17.63793103 13.36206897] ; [15.36206897 11.63793103],0
p1,1,0.528265,0.397728,[ 2 29] ; [ 3 24],[ 2.67241379 28.32758621] ; [ 2.32758621 24.67241379],0
n3,1,0.551848,0.354016,[8 6] ; [4 5],[7.30434783 6.69565217] ; [4.69565217 4.30434783],0
s5,1,0.580398,0.305591,[ 5 26] ; [ 3 24],[ 4.27586207 26.72413793] ; [ 3.72413793 23.27586207],0
p7,1,0.635099,0.225209,[13 18] ; [13 14],[13.89655172 17.10344828] ; [12.10344828 14.89655172],0
b1,1,0.670862,0.180595,[19 12] ; [18  9],[19.77586207 11.22413793] ; [17.22413793  9.77586207],0
s3,1,0.697111,0.151495,[ 8 22] ; [ 6 21],[ 7.36842105 22.63157895] ; [ 6.63157895 20.36842105],0
s7,1,0.720962,0.127573,[ 4 25] ; [ 4 19],[ 4.46153846 24.53846154] ; [ 3.53846154 19.46153846],0
u3,1,0.723582,0.125086,[ 4 17] ; [2 6],[ 4.34482759 16.65517241] ; [1.65517241 6.34482759],0
a8,1,0.763944,0.090183,[ 4 24] ; [ 3 23],[ 3.62962963 24.37037037] ; [ 3.37037037 22.62962963],0
n2,1,0.794625,0.067761,[7 7] ; [5 4],[7.30434783 6.69565217] ; [4.69565217 4.30434783],0
n6,1,0.828794,0.046763,[17 14] ; [15 11],[17.40350877 13.59649123] ; [14.59649123 11.40350877],0
n5,1,0.895812,0.017149,[19 12] ; [17 10],[19.24137931 11.75862069] ; [16.75862069 10.24137931],0
s6,1,0.930645,0.007575,[10 21] ; [ 9 18],[10.15517241 20.84482759] ; [ 8.84482759 18.15517241],0
r4,1,0.973953,0.001066,[ 7 24] ; [ 6 21],[ 6.94827586 24.05172414] ; [ 6.05172414 20.94827586],0
