Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,159.748645,[194  84] ; [ 39 215],[121.7556391 156.2443609] ; [111.2443609 142.7556391],1
d3,1,0.0,146.164357,[247  31] ; [ 98 155],[180.62146893  97.37853107] ; [164.37853107  88.62146893],1
d5,1,0.0,140.136909,[273   5] ; [141 113],[216.33834586  61.66165414] ; [197.66165414  56.33834586],1
d4,1,0.0,130.936276,[273   5] ; [147 108],[219.0619137  58.9380863] ; [200.9380863  54.0619137],1
a5,1,0.0,69.36596,[235  43] ; [130 125],[190.37523452  87.62476548] ; [174.62476548  80.37523452],1
a2,1,0.0,66.210467,[ 96 182] ; [ 15 240],[ 57.89493433 220.10506567] ; [ 53.10506567 201.89493433],1
u1,1,0.0,60.206717,[ 73 205] ; [  6 249],[ 41.20450281 236.79549719] ; [ 37.79549719 217.20450281],1
a4,1,0.0,54.415913,[157 121] ; [ 63 190],[115.17890772 162.82109228] ; [104.82109228 148.17890772],1
a3,1,0.0,39.602901,[219  59] ; [134 119],[184.80979284  93.19020716] ; [168.19020716  84.80979284],1
r1,1,0.0,29.412763,[235  41] ; [164  89],[208.17391304  67.82608696] ; [190.82608696  62.17391304],1
a6,1,0.000265,13.306218,[205  73] ; [150 105],[185.15947467  92.84052533] ; [169.84052533  85.15947467],1
p4,1,0.000364,12.707078,[173 104] ; [119 134],[152.61132075 124.38867925] ; [139.38867925 113.61132075],1
s8,1,0.000375,12.651285,[124 154] ; [ 75 178],[104.18455744 173.81544256] ; [ 94.81544256 158.18455744],1
r2,1,0.00057,11.872223,[267   8] ; [227  26],[257.29166667  17.70833333] ; [236.70833333  16.29166667],1
a7,1,0.000812,11.213799,[216  62] ; [164  90],[198.57142857  79.42857143] ; [181.42857143  72.57142857],1
s2,1,0.001014,10.802127,[149 128] ; [100 153],[130.13773585 146.86226415] ; [118.86226415 134.13773585],0
r4,1,0.002635,9.044267,[255  23] ; [212  43],[243.57598499  34.42401501] ; [223.42401501  31.57598499],0
p3,1,0.004559,8.046387,[137 139] ; [ 95 159],[120.81509434 155.18490566] ; [111.18490566 142.81509434],0
p6,1,0.004673,8.001747,[112 163] ; [ 72 177],[ 96.5648855 178.4351145] ; [ 87.4351145 161.5648855],0
s7,1,0.006644,7.366768,[128 139] ; [ 88 156],[112.86105675 154.13894325] ; [103.13894325 140.86105675],0
n4,1,0.008175,6.994776,[208  69] ; [164  90],[194.05649718  82.94350282] ; [177.94350282  76.05649718],0
s6,1,0.016431,5.756197,[190  85] ; [147 102],[176.86068702  98.13931298] ; [160.13931298  88.86068702],0
s5,1,0.017816,5.614118,[ 95 171] ; [ 64 182],[ 82.60546875 183.39453125] ; [ 76.39453125 169.60546875],0
v2,1,0.038671,4.27526,[119 153] ; [ 85 159],[107.53488372 164.46511628] ; [ 96.46511628 147.53488372],0
n2,1,0.057092,3.619896,[50 24] ; [57 13],[54.98611111 19.01388889] ; [52.01388889 17.98611111],0
p10,1,0.066304,3.372224,[221  56] ; [181  67],[212.10285714  64.89714286] ; [189.89714286  58.10285714],0
n6,1,0.069611,3.29217,[233  44] ; [198  56],[224.83427495  52.16572505] ; [206.16572505  47.83427495],0
b2,1,0.089033,2.891778,[ 66 102] ; [42 98],[ 58.90909091 109.09090909] ; [49.09090909 90.90909091],0
b3,1,0.089033,2.891778,[ 66 102] ; [42 98],[ 58.90909091 109.09090909] ; [49.09090909 90.90909091],0
r3,1,0.098598,2.728077,[263  14] ; [232  22],[258.22033898  18.77966102] ; [236.77966102  17.22033898],0
p8,1,0.108491,2.576065,[144 133] ; [112 137],[134.81368821 142.18631179] ; [121.18631179 127.81368821],0
b4,1,0.159628,1.977743,[164 114] ; [135 120],[155.95121951 122.04878049] ; [143.04878049 111.95121951],0
u3,1,0.17429,1.845653,[39 20] ; [66 53],[34.80337079 24.19662921] ; [70.19662921 48.80337079],0
u4,1,0.210498,1.568,[  4 274] ; [  1 254],[  2.60787992 275.39212008] ; [  2.39212008 252.60787992],0
p9,1,0.223043,1.484682,[229  46] ; [197  52],[223.56870229  51.43129771] ; [202.43129771  46.56870229],0
s3,1,0.230712,1.436466,[154 124] ; [127 126],[147.11487759 130.88512241] ; [133.88512241 119.11487759],0
u2,1,0.232783,1.423776,[35 23] ; [61 59],[31.28089888 26.71910112] ; [64.71910112 55.28089888],0
a1,1,0.251604,1.314375,[  7 271] ; [ 11 244],[  9.38836773 268.61163227] ; [  8.61163227 246.38836773],0
n5,1,0.269427,1.219661,[197  79] ; [168  83],[191.15749526  84.84250474] ; [173.84250474  77.15749526],0
v1,1,0.313185,1.017196,[124 147] ; [103 146],[118.30192308 152.69807692] ; [108.69807692 140.30192308],0
b1,1,0.367024,0.813715,[106 172] ; [107 148],[111.0956848 166.9043152] ; [101.9043152 153.0956848],0
p2,1,0.394895,0.723815,[231  47] ; [203  50],[227.2165725  50.7834275] ; [206.7834275  46.2165725],0
p7,1,0.399029,0.71125,[168 104] ; [143 103],[163.30501931 108.69498069] ; [147.69498069  98.30501931],0
n3,1,0.432231,0.616822,[51 22] ; [53 17],[53.09090909 19.90909091] ; [50.90909091 19.09090909],0
n1,1,0.530444,0.39354,[31 44] ; [25 44],[29.16666667 45.83333333] ; [26.83333333 42.16666667],0
p11,1,0.590273,0.289918,[207  71] ; [195  60],[209.67354597  68.32645403] ; [192.32645403  62.67354597],0
p5,1,0.608926,0.261742,[ 23 254] ; [ 18 235],[ 21.42830189 255.57169811] ; [ 19.57169811 233.42830189],0
s1,1,0.667287,0.184792,[  8 267] ; [  9 243],[  8.87096774 266.12903226] ; [  8.12903226 243.87096774],0
b5,1,0.668347,0.183542,[174 104] ; [155 100],[171.59849906 106.40150094] ; [157.40150094  97.59849906],0
p12,1,0.71667,0.131706,[ 14 263] ; [ 11 240],[ 13.1155303 263.8844697] ; [ 11.8844697 239.1155303],0
s4,1,0.750663,0.100975,[ 57 216] ; [ 50 203],[ 55.53422053 217.46577947] ; [ 51.46577947 201.53422053],0
a8,1,0.798542,0.065145,[ 31 224] ; [ 31 209],[ 31.93939394 223.06060606] ; [ 30.06060606 209.93939394],0
p1,1,0.967744,0.001635,[ 19 259] ; [ 17 235],[ 18.88301887 259.11698113] ; [ 17.11698113 234.88301887],0
