Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,2.4e-05,17.872814,[30 23] ; [62  7],[39.96721311 13.03278689] ; [52.03278689 16.96721311],1
p9,1,5.2e-05,16.36837,[23 24] ; [58 11],[32.81896552 14.18103448] ; [48.18103448 20.81896552],1
p11,1,0.000296,13.096421,[22 31] ; [51 18],[31.71311475 21.28688525] ; [41.28688525 27.71311475],1
p7,1,0.000325,12.918494,[ 9 44] ; [32 34],[18.2605042 34.7394958] ; [22.7394958 43.2605042],1
p10,1,0.00079,11.264677,[22 29] ; [50 18],[30.85714286 20.14285714] ; [41.14285714 26.85714286],1
p1,1,0.002288,9.302765,[12 41] ; [ 3 66],[ 6.51639344 46.48360656] ; [ 8.48360656 60.51639344],0
r3,1,0.003606,8.47216,[33 20] ; [58 10],[39.85950413 13.14049587] ; [51.14049587 16.85950413],0
p8,1,0.010784,6.500602,[ 8 45] ; [24 43],[14.13333333 38.86666667] ; [17.86666667 49.13333333],0
s6,1,0.010921,6.478158,[14 39] ; [33 34],[20.75833333 32.24166667] ; [26.24166667 40.75833333],0
d2,1,0.022647,5.195386,[26 25] ; [21 48],[19.975 31.025] ; [27.025 41.975],0
a1,1,0.030833,4.662261,[ 7 46] ; [ 2 67],[ 3.90983607 49.09016393] ; [ 5.09016393 63.90983607],0
b2,1,0.033692,4.510264,[18 17] ; [ 9 25],[13.69565217 21.30434783] ; [13.30434783 20.69565217],0
b3,1,0.033692,4.510264,[18 17] ; [ 9 25],[13.69565217 21.30434783] ; [13.30434783 20.69565217],0
r4,1,0.039575,4.235998,[20 33] ; [39 30],[25.63114754 27.36885246] ; [33.36885246 35.63114754],0
n3,1,0.040844,4.182468,[10 12] ; [20  7],[13.46938776  8.53061224] ; [16.53061224 10.46938776],0
s2,1,0.043796,4.064391,[11 42] ; [26 43],[16.07377049 36.92622951] ; [20.92622951 48.07377049],0
r2,1,0.04782,3.916299,[34 16] ; [56 11],[38.46153846 11.53846154] ; [51.53846154 15.46153846],0
s3,1,0.050156,3.83623,[15 37] ; [32 37],[20.19834711 31.80165289] ; [26.80165289 42.19834711],0
s8,1,0.06231,3.4748,[ 6 47] ; [17 52],[ 9.99180328 43.00819672] ; [13.00819672 55.99180328],0
a5,1,0.086808,2.932599,[29 24] ; [27 42],[24.32786885 28.67213115] ; [31.67213115 37.32786885],0
b1,1,0.092014,2.838777,[24 29] ; [21 48],[19.54918033 33.45081967] ; [25.45081967 43.54918033],0
n6,1,0.112038,2.525239,[32 21] ; [51 18],[36.05737705 16.94262295] ; [46.94262295 22.05737705],0
a6,1,0.124806,2.355954,[32 21] ; [32 37],[27.80327869 25.19672131] ; [36.19672131 32.80327869],0
s4,1,0.169368,1.888529,[ 9 44] ; [19 50],[12.16393443 40.83606557] ; [15.83606557 53.16393443],0
u2,1,0.17393,1.848739,[ 6 15] ; [16 18],[ 8.4 12.6] ; [13.6 20.4],0
p6,1,0.178285,1.811858,[ 6 45] ; [14 52],[ 8.71794872 42.28205128] ; [11.28205128 54.71794872],0
n1,1,0.183224,1.771275,[ 8 14] ; [ 5 21],[ 5.95833333 16.04166667] ; [ 7.04166667 18.95833333],0
s1,1,0.200914,1.635719,[ 3 50] ; [ 1 67],[ 1.75206612 51.24793388] ; [ 2.24793388 65.75206612],0
v2,1,0.204491,1.610007,[13 36] ; [26 43],[16.19491525 32.80508475] ; [22.80508475 46.19491525],0
d1,1,0.217608,1.520076,[21 32] ; [20 49],[17.81147541 35.18852459] ; [23.18852459 45.81147541],0
a7,1,0.232871,1.423237,[27 26] ; [42 26],[30.2231405 22.7768595] ; [38.7768595 29.2231405],0
a3,1,0.255365,1.293711,[32 21] ; [34 34],[28.90909091 24.09090909] ; [37.09090909 30.90909091],0
n2,1,0.265948,1.23753,[13  9] ; [20  7],[14.81632653  7.18367347] ; [18.18367347  8.81632653],0
a2,1,0.273105,1.201086,[ 7 46] ; [ 5 64],[ 5.21311475 47.78688525] ; [ 6.78688525 62.21311475],0
s5,1,0.278048,1.176606,[ 7 44] ; [14 51],[ 9.23275862 41.76724138] ; [11.76724138 53.23275862],0
v1,1,0.299084,1.078275,[13 39] ; [22 43],[15.55555556 36.44444444] ; [19.44444444 45.55555556],0
u3,1,0.300994,1.069786,[ 5 16] ; [13 22],[ 6.75 14.25] ; [11.25 23.75],0
s7,1,0.401423,0.704059,[11 40] ; [19 48],[12.96610169 38.03389831] ; [17.03389831 49.96610169],0
p12,1,0.418913,0.653361,[ 2 51] ; [ 1 67],[ 1.31404959 51.68595041] ; [ 1.68595041 66.31404959],0
p3,1,0.428979,0.625585,[ 9 43] ; [16 53],[10.74380165 41.25619835] ; [14.25619835 54.74380165],0
p5,1,0.449266,0.572503,[ 1 52] ; [ 3 66],[ 1.73770492 51.26229508] ; [ 2.26229508 66.73770492],0
u1,1,0.451335,0.567297,[ 4 49] ; [ 3 66],[ 3.04098361 49.95901639] ; [ 3.95901639 65.04098361],0
a4,1,0.453432,0.562059,[16 36] ; [17 52],[14.18181818 37.81818182] ; [18.81818182 50.18181818],0
v3,1,0.504046,0.446408,[12 39] ; [20 49],[13.6 37.4] ; [18.4 50.6],0
d3,1,0.552036,0.353683,[24 29] ; [34 33],[25.61666667 27.38333333] ; [32.38333333 34.61666667],0
b5,1,0.552687,0.352525,[31 22] ; [44 25],[32.58196721 20.41803279] ; [42.41803279 26.58196721],0
n5,1,0.710867,0.137412,[34 19] ; [42 27],[33.01639344 19.98360656] ; [42.98360656 26.01639344],0
a8,1,0.760461,0.092949,[ 4 48] ; [ 4 60],[ 3.5862069 48.4137931] ; [ 4.4137931 59.5862069],0
d5,1,0.781765,0.07674,[33 20] ; [44 24],[33.72727273 19.27272727] ; [43.27272727 24.72727273],0
n4,1,0.788788,0.071763,[32 21] ; [40 29],[31.27868852 21.72131148] ; [40.72131148 28.27868852],0
u4,1,0.850376,0.035585,[ 1 52] ; [ 1 68],[ 0.86885246 52.13114754] ; [ 1.13114754 67.86885246],0
b4,1,0.917565,0.010712,[31 22] ; [41 28],[31.27868852 21.72131148] ; [40.72131148 28.27868852],0
d4,1,0.965184,0.001905,[34 19] ; [44 25],[33.8852459 19.1147541] ; [44.1147541 24.8852459],0
