Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,2.9e-05,17.46814,[130  35] ; [41 37],[116.11111111  48.88888889] ; [54.88888889 23.11111111],1
p10,1,6.4e-05,15.987064,[118  46] ; [36 43],[103.93415638  60.06584362] ; [50.06584362 28.93415638],1
p2,1,0.0002,13.826698,[134  30] ; [49 33],[122.  42.] ; [61. 21.],1
s4,1,0.003384,8.587959,[ 24 142] ; [25 58],[ 32.66666667 133.33333333] ; [16.33333333 66.66666667],0
p7,1,0.004354,8.129763,[97 66] ; [33 49],[86.48979592 76.51020408] ; [43.51020408 38.48979592],0
n4,1,0.004601,8.029832,[77 89] ; [23 60],[66.66666667 99.33333333] ; [33.33333333 49.66666667],0
b1,1,0.008842,6.854494,[ 50 116] ; [39 44],[ 59.33333333 106.66666667] ; [29.66666667 53.33333333],0
a8,1,0.012613,6.22265,[ 16 138] ; [ 1 76],[ 11.33333333 142.66666667] ; [ 5.66666667 71.33333333],0
r4,1,0.014301,6.000601,[149  17] ; [65 18],[142.66666667  23.33333333] ; [71.33333333 11.66666667],0
p8,1,0.01738,5.657628,[75 90] ; [24 57],[66.40243902 98.59756098] ; [32.59756098 48.40243902],0
d2,1,0.017995,5.596622,[ 60 106] ; [43 40],[68.66666667 97.33333333] ; [34.33333333 48.66666667],0
n6,1,0.020687,5.352934,[114  52] ; [44 38],[105.75806452  60.24193548] ; [52.24193548 29.75806452],0
b2,1,0.058661,3.574836,[35 65] ; [ 7 31],[30.43478261 69.56521739] ; [11.56521739 26.43478261],0
b3,1,0.058661,3.574836,[35 65] ; [ 7 31],[30.43478261 69.56521739] ; [11.56521739 26.43478261],0
p5,1,0.059615,3.548077,[ 11 153] ; [ 1 81],[  8. 156.] ; [ 4. 78.],0
a2,1,0.077769,3.110913,[ 20 146] ; [17 66],[ 24.66666667 141.33333333] ; [12.33333333 70.66666667],0
s2,1,0.091213,2.852832,[ 63 102] ; [41 42],[69.19354839 95.80645161] ; [34.80645161 48.19354839],0
p12,1,0.115235,2.480918,[  9 156] ; [ 1 80],[  6.70731707 158.29268293] ; [ 3.29268293 77.70731707],0
