Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,3.7e-05,17.015977,[138   8] ; [3 3],[135.43421053  10.56578947] ; [5.56578947 0.43421053],1
p4,1,0.004893,7.918715,[105  43] ; [1 5],[101.87012987  46.12987013] ; [4.12987013 1.87012987],0
d3,1,0.005718,7.637237,[104  44] ; [1 5],[100.90909091  47.09090909] ; [4.09090909 1.90909091],0
d1,1,0.014699,5.95214,[97 51] ; [1 5],[94.18181818 53.81818182] ; [3.81818182 2.18181818],0
r4,1,0.035114,4.43964,[136  12] ; [4 2],[134.54545455  13.45454545] ; [5.45454545 0.54545455],0
s2,1,0.077221,3.122449,[100  47] ; [2 4],[98. 49.] ; [4. 2.],0
s7,1,0.091222,2.85267,[106  37] ; [2 3],[104.35135135  38.64864865] ; [3.64864865 1.35135135],0
a4,1,0.124038,2.365574,[72 76] ; [1 5],[70.15584416 77.84415584] ; [2.84415584 3.15584416],0
a8,1,0.15947,1.979243,[ 18 120] ; [2 4],[ 19.16666667 118.83333333] ; [0.83333333 5.16666667],0
p10,1,0.177036,1.822331,[127  20] ; [4 2],[125.8627451  21.1372549] ; [5.1372549 0.8627451],0
a3,1,0.186325,1.746437,[110  38] ; [3 3],[108.5974026  39.4025974] ; [4.4025974 1.5974026],0
s3,1,0.190483,1.713879,[109  38] ; [3 3],[107.60784314  39.39215686] ; [4.39215686 1.60784314],0
b3,1,0.197824,1.658368,[42 57] ; [3 1],[43.25242718 55.74757282] ; [1.74757282 2.25242718],0
b2,1,0.197824,1.658368,[42 57] ; [3 1],[43.25242718 55.74757282] ; [1.74757282 2.25242718],0
b5,1,0.243102,1.362515,[85 63] ; [2 4],[83.61038961 64.38961039] ; [3.38961039 2.61038961],0
p2,1,0.272532,1.203959,[124  24] ; [4 2],[123.01298701  24.98701299] ; [4.98701299 1.01298701],0
p3,1,0.351885,0.866648,[78 70] ; [2 4],[76.88311688 71.11688312] ; [3.11688312 2.88311688],0
r1,1,0.359246,0.840526,[120  27] ; [4 2],[119.1372549  27.8627451] ; [4.8627451 1.1372549],0
d5,1,0.359246,0.840526,[120  27] ; [4 2],[119.1372549  27.8627451] ; [4.8627451 1.1372549],0
p7,1,0.412953,0.670282,[96 49] ; [3 3],[95.06622517 49.93377483] ; [3.93377483 2.06622517],0
n4,1,0.47473,0.510946,[116  31] ; [4 2],[115.29411765  31.70588235] ; [4.70588235 1.29411765],0
a7,1,0.478759,0.501689,[95 53] ; [3 3],[94.18181818 53.81818182] ; [3.81818182 2.18181818],0
n5,1,0.497745,0.459742,[116  32] ; [4 2],[115.32467532  32.67532468] ; [4.67532468 1.32467532],0
v3,1,0.524171,0.40568,[ 32 112] ; [2 4],[ 32.64 111.36] ; [1.36 4.64],0
p6,1,0.586052,0.296552,[66 82] ; [2 4],[65.35064935 82.64935065] ; [2.64935065 3.35064935],0
n2,1,0.58983,0.29061,[28 13] ; [1 1],[27.65116279 13.34883721] ; [1.34883721 0.65116279],0
a5,1,0.615814,0.251794,[112  36] ; [4 2],[111.48051948  36.51948052] ; [4.51948052 1.48051948],0
a6,1,0.619713,0.246271,[89 59] ; [3 3],[88.41558442 59.58441558] ; [3.58441558 2.41558442],0
s6,1,0.645348,0.211816,[128  19] ; [4 1],[127.65789474  19.34210526] ; [4.34210526 0.65789474],0
p9,1,0.653636,0.201347,[132  16] ; [5 1],[131.66233766  16.33766234] ; [5.33766234 0.66233766],0
p1,1,0.653636,0.201347,[ 16 132] ; [1 5],[ 16.33766234 131.66233766] ; [0.66233766 5.33766234],0
p8,1,0.676664,0.173905,[86 62] ; [4 2],[86.49350649 61.50649351] ; [3.50649351 2.49350649],0
s5,1,0.6888,0.160387,[59 83] ; [2 4],[58.52702703 83.47297297] ; [2.47297297 3.52702703],0
p11,1,0.771837,0.084084,[116  32] ; [5 1],[116.28571429  31.71428571] ; [4.71428571 1.28571429],0
b1,1,0.819573,0.052027,[67 81] ; [3 3],[67.27272727 80.72727273] ; [2.72727273 3.27272727],0
d4,1,0.853132,0.034271,[118  29] ; [5 1],[118.17647059  28.82352941] ; [4.82352941 1.17647059],0
d2,1,0.870839,0.026436,[79 69] ; [3 3],[78.80519481 69.19480519] ; [3.19480519 2.80519481],0
b4,1,0.92239,0.009491,[77 71] ; [3 3],[76.88311688 71.11688312] ; [3.11688312 2.88311688],0
n6,1,0.940569,0.005558,[125  23] ; [5 1],[124.93506494  23.06493506] ; [5.06493506 0.93506494],0
p5,1,0.957873,0.00279,[ 23 122] ; [1 5],[ 23.04635762 121.95364238] ; [0.95364238 5.04635762],0
n1,1,0.973124,0.001135,[20 21] ; [1 1],[20.02325581 20.97674419] ; [0.97674419 1.02325581],0
u3,1,0.975393,0.000951,[25 13] ; [2 1],[25.02439024 12.97560976] ; [1.97560976 1.02439024],0
u2,1,0.975393,0.000951,[25 13] ; [2 1],[25.02439024 12.97560976] ; [1.97560976 1.02439024],0
