Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,5.7e-05,16.192638,[110  38] ; [88 80],[92.73417722 55.26582278] ; [105.26582278  62.73417722],1
s2,1,0.000221,13.647771,[122  26] ; [112  63],[107.21981424  40.78018576] ; [126.78018576  48.21981424],1
p5,1,0.000376,12.64756,[ 33 117] ; [ 14 160],[ 21.75925926 128.24074074] ; [ 25.24074074 148.75925926],1
s4,1,0.000851,11.12594,[ 40 108] ; [ 22 155],[ 28.23384615 119.76615385] ; [ 33.76615385 143.23384615],1
a3,1,0.002786,8.942767,[132  17] ; [134  43],[121.57668712  27.42331288] ; [144.42331288  32.57668712],0
s7,1,0.003219,8.679006,[120  23] ; [117  51],[108.97427653  34.02572347] ; [128.02572347  39.97427653],0
s6,1,0.004786,7.958438,[137  11] ; [145  32],[128.41846154  19.58153846] ; [153.58153846  23.41846154],0
p7,1,0.009062,6.810591,[113  32] ; [111  61],[102.46056782  42.53943218] ; [121.53943218  50.46056782],0
p10,1,0.011565,6.376359,[138  11] ; [145  29],[130.54798762  18.45201238] ; [152.45201238  21.54798762],0
a5,1,0.017164,5.679539,[132  18] ; [138  39],[123.85321101  26.14678899] ; [146.14678899  30.85321101],0
p8,1,0.031093,4.647844,[93 55] ; [88 85],[83.4517134 64.5482866] ; [97.5482866 75.4517134],0
n1,1,0.034818,4.454077,[23 17] ; [12 24],[18.42105263 21.57894737] ; [16.57894737 19.42105263],0
p6,1,0.037935,4.307933,[78 70] ; [ 72 103],[68.73065015 79.26934985] ; [81.26934985 93.73065015],0
p9,1,0.042647,4.109352,[141   9] ; [152  22],[135.64814815  14.35185185] ; [157.35185185  16.64814815],0
s3,1,0.04813,3.905438,[115  32] ; [119  55],[107.1588785  39.8411215] ; [126.8411215  47.1588785],0
n2,1,0.077866,3.108889,[33  7] ; [24 13],[29.61038961 10.38961039] ; [27.38961039  9.61038961],0
