Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,65.926458,[279   5] ; [20 11],[269.57460317  14.42539683] ; [29.42539683  1.57460317],1
r4,1,0.0,63.833005,[262  22] ; [13 18],[247.93650794  36.06349206] ; [27.06349206  3.93650794],1
d5,1,5.5e-05,16.270161,[239  44] ; [17 14],[230.72611465  52.27388535] ; [25.27388535  5.72611465],1
r1,1,0.000129,14.652026,[225  59] ; [15 16],[216.38095238  67.61904762] ; [23.61904762  7.38095238],1
a6,1,0.000441,12.351234,[206  78] ; [13 18],[197.44761905  86.55238095] ; [21.55238095  9.44761905],1
r3,1,0.002148,9.418857,[269  15] ; [24  6],[265.00636943  18.99363057] ; [27.99363057  2.00636943],0
b1,1,0.002448,9.178905,[ 88 196] ; [18 13],[ 95.56825397 188.43174603] ; [10.43174603 20.56825397],0
s1,1,0.003159,8.713416,[  4 278] ; [ 3 28],[  6.30670927 275.69329073] ; [ 0.69329073 30.30670927],0
d1,1,0.004286,8.158295,[159 125] ; [ 9 22],[151.46666667 132.53333333] ; [16.53333333 14.46666667],0
n6,1,0.007989,7.035963,[249  35] ; [21  9],[244.20382166  39.79617834] ; [25.79617834  4.20382166],0
n4,1,0.009078,6.807373,[217  67] ; [17 14],[210.97142857  73.02857143] ; [23.02857143  7.97142857],0
a2,1,0.015223,5.890472,[ 61 223] ; [ 1 30],[ 55.8984127 228.1015873] ; [ 6.1015873 24.8984127],0
p3,1,0.017083,5.6878,[146 137] ; [ 9 22],[139.69745223 143.30254777] ; [15.30254777 15.69745223],0
p5,1,0.017297,5.665954,[ 31 252] ; [ 8 23],[ 35.14968153 247.85031847] ; [ 3.85031847 27.14968153],0
a7,1,0.030507,4.680508,[215  68] ; [18 13],[209.99681529  73.00318471] ; [23.00318471  7.99681529],0
d3,1,0.04801,3.909626,[195  87] ; [16 15],[190.10223642  91.89776358] ; [20.89776358 10.10223642],0
p6,1,0.059846,3.541648,[102 179] ; [ 6 25],[ 97.26923077 183.73076923] ; [10.73076923 20.26923077],0
a3,1,0.10275,2.662328,[196  87] ; [17 14],[191.97133758  91.02866242] ; [21.02866242  9.97133758],0
v2,1,0.115152,2.482053,[161 115] ; [13 17],[156.94117647 119.05882353] ; [17.05882353 12.94117647],0
v3,1,0.157442,1.998626,[107 169] ; [ 8 23],[103.38762215 172.61237785] ; [11.61237785 19.38762215],0
a5,1,0.159288,1.980974,[216  68] ; [20 11],[212.77460317  71.22539683] ; [23.22539683  7.77460317],0
u3,1,0.164434,1.932968,[49 39] ; [5 9],[46.58823529 41.41176471] ; [7.41176471 6.58823529],0
b5,1,0.164531,1.932076,[174 110] ; [15 16],[170.4 113.6] ; [18.6 12.4],0
