Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,5e-06,20.884865,[94  7] ; [22 14],[85.51824818 15.48175182] ; [30.48175182  5.51824818],1
n5,1,6e-06,20.460163,[86 15] ; [17 19],[75.93430657 25.06569343] ; [27.06569343  8.93430657],1
p6,1,0.008274,6.97314,[47 52] ; [ 8 28],[40.33333333 58.66666667] ; [14.66666667 21.33333333],0
v1,1,0.009889,6.654738,[65 33] ; [15 21],[58.50746269 39.49253731] ; [21.49253731 14.50746269],0
a7,1,0.021455,5.289429,[53 47] ; [27  9],[58.82352941 41.17647059] ; [21.17647059 14.82352941],0
b3,1,0.025639,4.980225,[36 37] ; [ 3 13],[31.98876404 41.01123596] ; [7.01123596 8.98876404],0
b2,1,0.025639,4.980225,[36 37] ; [ 3 13],[31.98876404 41.01123596] ; [7.01123596 8.98876404],0
s6,1,0.027492,4.859656,[88 12] ; [26 10],[83.82352941 16.17647059] ; [30.17647059  5.82352941],0
a5,1,0.043189,4.088002,[67 34] ; [17 19],[61.9270073 39.0729927] ; [22.0729927 13.9270073],0
v3,1,0.057056,3.620956,[45 55] ; [ 9 25],[40.29850746 59.70149254] ; [13.70149254 20.29850746],0
p3,1,0.091567,2.846612,[53 48] ; [13 23],[48.65693431 52.34306569] ; [17.34306569 18.65693431],0
r1,1,0.114767,2.487319,[82 18] ; [25 11],[78.67647059 21.32352941] ; [28.32352941  7.67647059],0
p7,1,0.150031,2.071938,[73 27] ; [21 14],[69.62962963 30.37037037] ; [24.37037037 10.62962963],0
p11,1,0.156308,2.009585,[84 17] ; [26 10],[81.09489051 19.90510949] ; [28.90510949  7.09489051],0
v2,1,0.156803,2.004794,[58 37] ; [16 18],[54.49612403 40.50387597] ; [19.50387597 14.49612403],0
d3,1,0.168202,1.898897,[32 69] ; [16 20],[35.38686131 65.61313869] ; [12.61313869 23.38686131],0
p5,1,0.168703,1.894427,[18 82] ; [ 3 33],[15.44117647 84.55882353] ; [ 5.55882353 30.44117647],0
n2,1,0.189166,1.724099,[17  7] ; [10  1],[18.51428571  5.48571429] ; [8.48571429 2.51428571],0
a4,1,0.195534,1.675423,[31 70] ; [ 7 29],[28.01459854 72.98540146] ; [ 9.98540146 26.01459854],0
a6,1,0.20294,1.621092,[55 46] ; [24 12],[58.24087591 42.75912409] ; [20.75912409 15.24087591],0
s5,1,0.207099,1.591593,[39 57] ; [10 25],[35.90839695 60.09160305] ; [13.09160305 21.90839695],0
d5,1,0.234026,1.416226,[62 39] ; [18 18],[58.97810219 42.02189781] ; [21.02189781 14.97810219],0
a3,1,0.258615,1.276156,[72 29] ; [22 14],[69.29927007 31.70072993] ; [24.70072993 11.29927007],0
r4,1,0.27781,1.177773,[91 10] ; [30  6],[89.20437956 11.79562044] ; [31.79562044  4.20437956],0
n1,1,0.284543,1.145263,[12 12] ; [3 7],[10.58823529 13.41176471] ; [4.41176471 5.58823529],0
b5,1,0.290933,1.1153,[58 43] ; [17 19],[55.2919708 45.7080292] ; [19.7080292 16.2919708],0
p10,1,0.349177,0.876444,[87 13] ; [29  7],[85.29411765 14.70588235] ; [30.70588235  5.29411765],0
r2,1,0.418741,0.653845,[90  9] ; [31  5],[88.73333333 10.26666667] ; [32.26666667  3.73333333],0
s4,1,0.424654,0.637399,[14 87] ; [ 7 29],[15.48175182 85.51824818] ; [ 5.51824818 30.48175182],0
d4,1,0.425891,0.634003,[61 40] ; [19 17],[58.97810219 42.02189781] ; [21.02189781 14.97810219],0
r3,1,0.457352,0.552366,[96  5] ; [33  3],[95.10218978  5.89781022] ; [33.89781022  2.10218978],0
a8,1,0.461327,0.542674,[20 75] ; [ 5 28],[18.5546875 76.4453125] ; [ 6.4453125 26.5546875],0
p9,1,0.465529,0.532569,[89 12] ; [30  6],[87.72992701 13.27007299] ; [31.27007299  4.72992701],0
u2,1,0.471497,0.518466,[19 10] ; [7 6],[17.95238095 11.04761905] ; [8.04761905 4.95238095],0
p4,1,0.489506,0.477613,[60 41] ; [19 17],[58.24087591 42.75912409] ; [20.75912409 15.24087591],0
d2,1,0.513411,0.427108,[22 79] ; [ 6 30],[20.64233577 80.35766423] ; [ 7.35766423 28.64233577],0
p12,1,0.515716,0.422452,[ 9 91] ; [ 2 34],[ 8.08823529 91.91176471] ; [ 2.91176471 33.08823529],0
p1,1,0.523008,0.407958,[10 90] ; [ 5 31],[11.02941176 88.97058824] ; [ 3.97058824 32.02941176],0
u1,1,0.618798,0.247561,[ 6 95] ; [ 3 33],[ 6.6350365 94.3649635] ; [ 2.3649635 33.6350365],0
s7,1,0.643553,0.214126,[75 21] ; [26  9],[74.01526718 21.98473282] ; [26.98473282  8.01526718],0
n3,1,0.721948,0.126634,[18  5] ; [8 3],[17.58823529  5.41176471] ; [8.41176471 2.58823529],0
p8,1,0.757323,0.09548,[53 47] ; [18 18],[52.20588235 47.79411765] ; [18.79411765 17.20588235],0
v4,1,0.764978,0.089371,[93  7] ; [34  2],[93.38235294  6.61764706] ; [33.61764706  2.38235294],0
b1,1,0.765526,0.088942,[42 59] ; [16 20],[42.75912409 58.24087591] ; [15.24087591 20.75912409],0
a2,1,0.782874,0.075942,[10 91] ; [ 3 33],[ 9.58394161 91.41605839] ; [ 3.41605839 32.58394161],0
p2,1,0.857194,0.032381,[82 18] ; [30  6],[82.35294118 17.64705882] ; [29.64705882  6.35294118],0
s3,1,0.873019,0.025544,[68 32] ; [25 11],[68.38235294 31.61764706] ; [24.61764706 11.38235294],0
u3,1,0.936715,0.006304,[19 10] ; [9 5],[18.88372093 10.11627907] ; [9.11627907 4.88372093],0
b4,1,0.943401,0.005041,[54 47] ; [19 17],[53.81751825 47.18248175] ; [19.18248175 16.81751825],0
a1,1,0.953024,0.00347,[ 3 98] ; [ 1 35],[ 2.94890511 98.05109489] ; [ 1.05109489 34.94890511],0
