Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.0,45.481829,[376  21] ; [31 16],[363.91666667  33.08333333] ; [43.08333333  3.91666667],1
p9,1,0.001476,10.108893,[362  34] ; [36 11],[355.77426637  40.22573363] ; [42.22573363  4.77426637],0
v3,1,0.001539,10.031507,[182 199] ; [11 36],[171.80607477 209.19392523] ; [21.19392523 25.80607477],0
p10,1,0.003105,8.744436,[354  42] ; [35 12],[347.72911964  48.27088036] ; [41.27088036  5.72911964],0
s5,1,0.004786,7.958685,[155 226] ; [ 8 35],[146.46933962 234.53066038] ; [16.53066038 26.46933962],0
v1,1,0.00558,7.681318,[250 138] ; [20 26],[241.38248848 146.61751152] ; [28.61751152 17.38248848],0
s6,1,0.00908,6.807059,[295  91] ; [27 19],[287.71296296  98.28703704] ; [34.28703704 11.71296296],0
s7,1,0.033235,4.533637,[224 150] ; [20 26],[217.27619048 156.72380952] ; [26.72380952 19.27619048],0
a3,1,0.036184,4.388412,[301  96] ; [29 18],[295.06756757 101.93243243] ; [34.93243243 12.06756757],0
p8,1,0.036192,4.388047,[262 132] ; [24 23],[255.51927438 138.48072562] ; [30.48072562 16.51927438],0
n1,1,0.051211,3.801355,[30 30] ; [2 9],[27.04225352 32.95774648] ; [4.95774648 6.04225352],0
r2,1,0.070084,3.281058,[375  18] ; [41  5],[372.41002278  20.58997722] ; [43.58997722  2.41002278],0
p2,1,0.07252,3.225045,[367  29] ; [40  7],[363.81941309  32.18058691] ; [43.18058691  3.81941309],0
s2,1,0.100916,2.691012,[228 163] ; [21 25],[222.78947368 168.21052632] ; [26.21052632 19.78947368],0
b5,1,0.137691,2.203574,[226 172] ; [32 15],[230.7505618 167.2494382] ; [27.2494382 19.7505618],0
b4,1,0.155436,2.018072,[228 170] ; [32 15],[232.53932584 165.46067416] ; [27.46067416 19.53932584],0
n2,1,0.165623,1.922126,[45 15] ; [6 5],[43.09859155 16.90140845] ; [7.90140845 3.09859155],0
n3,1,0.16943,1.88798,[42 17] ; [10  1],[43.82857143 15.17142857] ; [8.17142857 2.82857143],0
s3,1,0.169687,1.885708,[236 154] ; [23 23],[231.67431193 158.32568807] ; [27.32568807 18.67431193],0
b2,1,0.213894,1.544872,[105 155] ; [11 26],[101.54882155 158.45117845] ; [14.45117845 22.54882155],0
b3,1,0.213894,1.544872,[105 155] ; [11 26],[101.54882155 158.45117845] ; [14.45117845 22.54882155],0
d1,1,0.23961,1.382887,[271 127] ; [28 19],[267.42022472 130.57977528] ; [31.57977528 15.42022472],0
a4,1,0.245291,1.349928,[204 192] ; [20 27],[200.23476298 195.76523702] ; [23.76523702 23.23476298],0
a7,1,0.24955,1.325823,[290 107] ; [38  9],[293.27927928 103.72072072] ; [34.72072072 12.27927928],0
d5,1,0.254536,1.298237,[345  52] ; [38  9],[342.45720721  54.54279279] ; [40.54279279  6.45720721],0
u1,1,0.30889,1.035417,[ 94 304] ; [ 8 39],[ 91.22696629 306.77303371] ; [10.77303371 36.22696629],0
p12,1,0.321987,0.980856,[ 44 353] ; [ 3 44],[ 42.02477477 354.97522523] ; [ 4.97522523 42.02477477],0
p3,1,0.344112,0.895052,[280 117] ; [30 17],[277.18468468 119.81531532] ; [32.81531532 14.18468468],0
b1,1,0.4023,0.70144,[161 237] ; [22 25],[163.67191011 234.32808989] ; [19.32808989 27.67191011],0
p1,1,0.404803,0.694012,[ 43 354] ; [ 7 40],[ 44.70720721 352.29279279] ; [ 5.29279279 41.70720721],0
p11,1,0.406753,0.688272,[340  58] ; [38  9],[338.07640449  59.92359551] ; [39.92359551  7.07640449],0
d3,1,0.428887,0.625836,[292 106] ; [37 10],[294.25168539 103.74831461] ; [34.74831461 12.25168539],0
d4,1,0.44025,0.595632,[338  59] ; [38  9],[336.1981982  60.8018018] ; [39.8018018  7.1981982],0
s8,1,0.457416,0.55221,[207 187] ; [22 25],[204.59410431 189.40589569] ; [24.40589569 22.59410431],0
d2,1,0.463586,0.537222,[225 172] ; [24 23],[222.64189189 174.35810811] ; [26.35810811 20.64189189],0
v2,1,0.464713,0.53452,[232 155] ; [25 21],[229.69745958 157.30254042] ; [27.30254042 18.69745958],0
s4,1,0.519895,0.414102,[ 64 326] ; [ 6 41],[ 62.47139588 327.52860412] ; [ 7.52860412 39.47139588],0
a8,1,0.522348,0.409254,[ 53 301] ; [ 5 39],[ 51.5879397 302.4120603] ; [ 6.4120603 37.5879397],0
r4,1,0.558164,0.342894,[373  25] ; [43  4],[372.06292135  25.93707865] ; [43.93707865  3.06292135],0
u3,1,0.789465,0.071292,[56 41] ; [11  7],[56.51304348 40.48695652] ; [10.48695652  7.51304348],0
r3,1,0.805139,0.060862,[381  14] ; [45  2],[380.70135747  14.29864253] ; [45.29864253  1.70135747],0
s1,1,0.810443,0.05753,[ 14 379] ; [ 2 45],[ 14.29090909 378.70909091] ; [ 1.70909091 45.29090909],0
a2,1,0.812694,0.056146,[112 286] ; [14 33],[112.69213483 285.30786517] ; [13.30786517 33.69213483],0
a6,1,0.831385,0.045337,[277 121] ; [32 15],[276.36404494 121.63595506] ; [32.63595506 14.36404494],0
r1,1,0.838511,0.041534,[334  63] ; [39  8],[333.51576577  63.48423423] ; [39.48423423  7.51576577],0
p6,1,0.855365,0.033225,[203 189] ; [25 22],[203.58997722 188.41002278] ; [24.41002278 22.58997722],0
a1,1,0.867383,0.027884,[ 23 375] ; [ 3 44],[ 23.25393258 374.74606742] ; [ 2.74606742 44.25393258],0
v4,1,0.877374,0.023808,[380  15] ; [45  2],[379.80769231  15.19230769] ; [45.19230769  1.80769231],0
p7,1,0.912116,0.012181,[288 106] ; [34 13],[287.68253968 106.31746032] ; [34.31746032 12.68253968],0
a5,1,0.914123,0.011629,[316  82] ; [37 10],[315.71685393  82.28314607] ; [37.28314607  9.71685393],0
u2,1,0.956548,0.002969,[54 42] ; [10  8],[53.89473684 42.10526316] ; [10.10526316  7.89473684],0
