Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,29.092031,[44 12] ; [10 32],[30.85714286 25.14285714] ; [23.14285714 18.85714286],1
a3,1,1.6e-05,18.669997,[40 15] ; [12 30],[29.48453608 25.51546392] ; [22.51546392 19.48453608],1
d3,1,7.8e-05,15.594716,[28 28] ; [ 5 37],[18.85714286 37.14285714] ; [14.14285714 27.85714286],1
a5,1,9.3e-05,15.275069,[37 19] ; [11 31],[27.42857143 28.57142857] ; [20.57142857 21.42857143],1
a4,1,9.4e-05,15.258996,[29 26] ; [ 6 36],[19.84536082 35.15463918] ; [15.15463918 26.84536082],1
d2,1,0.000266,13.293048,[33 21] ; [10 32],[24.1875 29.8125] ; [18.8125 23.1875],1
p3,1,0.001619,9.93813,[26 29] ; [ 7 35],[18.71134021 36.28865979] ; [14.28865979 27.71134021],0
v3,1,0.005897,7.581608,[18 36] ; [ 4 38],[12.375 41.625] ; [ 9.625 32.375],0
s5,1,0.012342,6.261083,[16 36] ; [ 4 38],[11.06382979 40.93617021] ; [ 8.93617021 33.06382979],0
r3,1,0.013129,6.151626,[46 10] ; [25 17],[40.57142857 15.42857143] ; [30.42857143 11.57142857],0
s6,1,0.026024,4.954443,[30 25] ; [13 28],[24.63541667 30.36458333] ; [18.36458333 22.63541667],0
v1,1,0.029096,4.761905,[23 31] ; [ 9 33],[18. 36.] ; [14. 28.],0
s2,1,0.040835,4.182839,[26 30] ; [11 31],[21.14285714 34.85714286] ; [15.85714286 26.14285714],0
s7,1,0.042091,4.131539,[23 31] ; [ 9 31],[18.38297872 35.61702128] ; [13.61702128 26.38297872],0
p4,1,0.079281,3.079587,[29 25] ; [15 27],[24.75 29.25] ; [19.25 22.75],0
r4,1,0.113436,2.505682,[29 27] ; [15 27],[25.14285714 30.85714286] ; [18.85714286 23.14285714],0
u3,1,0.151764,2.054427,[7 9] ; [ 7 23],[ 4.86956522 11.13043478] ; [ 9.13043478 20.86956522],0
n6,1,0.163931,1.937582,[42 14] ; [26 16],[38.85714286 17.14285714] ; [29.14285714 12.85714286],0
a2,1,0.180907,1.790157,[ 5 51] ; [ 1 41],[ 3.42857143 52.57142857] ; [ 2.57142857 39.42857143],0
p1,1,0.182085,1.780523,[ 9 47] ; [ 3 39],[ 6.85714286 49.14285714] ; [ 5.14285714 36.85714286],0
a8,1,0.204343,1.611062,[ 2 52] ; [ 4 35],[ 3.48387097 50.51612903] ; [ 2.51612903 36.48387097],0
p9,1,0.208135,1.584349,[41 14] ; [25 15],[38.21052632 16.78947368] ; [27.78947368 12.21052632],0
n3,1,0.21,1.571429,[12 10] ; [16  6],[14.  8.] ; [14.  8.],0
s8,1,0.240053,1.380282,[18 38] ; [ 9 33],[15.42857143 40.57142857] ; [11.57142857 30.42857143],0
n5,1,0.240053,1.380282,[38 18] ; [33  9],[40.57142857 15.42857143] ; [30.42857143 11.57142857],0
r2,1,0.257242,1.283537,[42 13] ; [27 14],[39.53125 15.46875] ; [29.46875 11.53125],0
n1,1,0.268129,1.226296,[11 11] ; [ 7 14],[ 9.20930233 12.79069767] ; [ 8.79069767 12.20930233],0
v2,1,0.283925,1.148206,[22 32] ; [12 28],[19.53191489 34.46808511] ; [14.46808511 25.53191489],0
a1,1,0.286869,1.134259,[ 6 50] ; [ 2 40],[ 4.57142857 51.42857143] ; [ 3.42857143 38.57142857],0
p6,1,0.340937,0.906907,[16 36] ; [ 9 32],[13.97849462 38.02150538] ; [11.02150538 29.97849462],0
a6,1,0.366901,0.814134,[19 37] ; [18 24],[21.14285714 34.85714286] ; [15.85714286 26.14285714],0
p8,1,0.396285,0.71957,[17 36] ; [17 25],[18.96842105 34.03157895] ; [15.03157895 26.96842105],0
s1,1,0.397336,0.716374,[ 1 55] ; [ 2 40],[ 1.71428571 54.28571429] ; [ 1.28571429 40.71428571],0
p11,1,0.472643,0.515789,[36 20] ; [24 18],[34.28571429 21.71428571] ; [25.71428571 16.28571429],0
s3,1,0.478462,0.502366,[25 29] ; [16 25],[23.30526316 30.69473684] ; [17.69473684 23.30526316],0
u2,1,0.48573,0.48597,[7 9] ; [10 20],[ 5.91304348 10.08695652] ; [11.08695652 18.91304348],0
p10,1,0.497415,0.460447,[32 23] ; [21 20],[30.36458333 24.63541667] ; [22.63541667 18.36458333],0
n2,1,0.517413,0.419048,[16  6] ; [14  8],[15.  7.] ; [15.  7.],0
b2,1,0.566115,0.329226,[13 28] ; [ 6 18],[11.98461538 29.01538462] ; [ 7.01538462 16.98461538],0
b3,1,0.566115,0.329226,[13 28] ; [ 6 18],[11.98461538 29.01538462] ; [ 7.01538462 16.98461538],0
b4,1,0.640529,0.21805,[28 28] ; [23 19],[29.14285714 26.85714286] ; [21.85714286 20.14285714],0
n4,1,0.670103,0.181481,[37 19] ; [26 16],[36. 20.] ; [27. 15.],0
s4,1,0.706515,0.141782,[11 45] ; [ 7 35],[10.28571429 45.71428571] ; [ 7.71428571 34.28571429],0
p7,1,0.748115,0.103122,[28 27] ; [20 22],[27.21649485 27.78350515] ; [20.78350515 21.21649485],0
p5,1,0.749344,0.102083,[ 5 51] ; [ 3 39],[ 4.57142857 51.42857143] ; [ 3.42857143 38.57142857],0
p2,1,0.749933,0.101587,[33 21] ; [27 15],[33.75 20.25] ; [26.25 15.75],0
b5,1,0.86108,0.030625,[29 27] ; [21 21],[28.57142857 27.42857143] ; [21.42857143 20.57142857],0
b1,1,0.90697,0.013657,[30 26] ; [22 20],[29.71428571 26.28571429] ; [22.28571429 19.71428571],0
v4,1,0.94519,0.004726,[42 14] ; [31 10],[42.1443299 13.8556701] ; [30.8556701 10.1443299],0
