Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,86.512315,[155  18] ; [17 43],[127.70815451  45.29184549] ; [44.29184549 15.70815451],1
s6,1,0.0,26.922742,[155  14] ; [38 22],[142.43231441  26.56768559] ; [50.56768559  9.43231441],1
s7,1,0.0029,8.86949,[135  29] ; [36 21],[126.8959276  37.1040724] ; [44.1040724 12.8959276],0
u3,1,0.051869,3.78,[24  6] ; [6 6],[21.42857143  8.57142857] ; [8.57142857 3.42857143],0
p1,1,0.074479,3.181447,[ 27 144] ; [ 4 56],[ 22.94805195 148.05194805] ; [ 8.05194805 51.94805195],0
p12,1,0.094469,2.796528,[ 30 141] ; [ 5 54],[ 26.02173913 144.97826087] ; [ 8.97826087 50.02173913],0
d4,1,0.112565,2.517829,[154  18] ; [49 11],[150.5  21.5] ; [52.5  7.5],0
b1,1,0.129212,2.301948,[83 90] ; [22 38],[77.96137339 95.03862661] ; [27.03862661 32.96137339],0
s4,1,0.149503,2.077317,[ 35 138] ; [ 7 52],[ 31.31896552 141.68103448] ; [10.68103448 48.31896552],0
d1,1,0.154535,2.02691,[129  44] ; [39 21],[124.73819742  48.26180258] ; [43.26180258 16.73819742],0
p11,1,0.154647,2.025806,[149  24] ; [47 13],[145.527897  27.472103] ; [50.472103  9.527897],0
p2,1,0.169093,1.890966,[157  15] ; [51  9],[154.20689655  17.79310345] ; [53.79310345  6.20689655],0
n1,1,0.175734,1.833333,[18 14] ; [4 8],[16. 16.] ; [6. 6.],0
a6,1,0.193234,1.692788,[119  53] ; [36 24],[114.9137931  57.0862069] ; [40.0862069 19.9137931],0
s5,1,0.217864,1.518385,[79 82] ; [23 35],[74.98630137 86.01369863] ; [27.01369863 30.98630137],0
u2,1,0.251326,1.315915,[20  9] ; [6 6],[18.3902439 10.6097561] ; [7.6097561 4.3902439],0
p7,1,0.254181,1.300176,[129  41] ; [49 10],[132.13973799  37.86026201] ; [45.86026201 13.13973799],0
a1,1,0.311556,1.02407,[ 12 161] ; [ 2 58],[ 10.39484979 162.60515021] ; [ 3.60515021 56.39484979],0
n2,1,0.390399,0.737698,[23  9] ; [7 5],[21.81818182 10.18181818] ; [8.18181818 3.81818182],0
a2,1,0.455763,0.556281,[ 52 121] ; [15 45],[ 49.74678112 123.25321888] ; [17.25321888 42.74678112],0
p5,1,0.45691,0.553453,[ 39 131] ; [11 49],[ 36.95652174 133.04347826] ; [13.04347826 46.95652174],0
a5,1,0.46904,0.524236,[143  30] ; [52  8],[144.78540773  28.21459227] ; [50.21459227  9.78540773],0
n4,1,0.484116,0.489578,[147  25] ; [49 11],[145.31034483  26.68965517] ; [50.68965517  9.31034483],0
b3,1,0.5043,0.445877,[59 65] ; [23 20],[60.88622754 63.11377246] ; [21.11377246 21.88622754],0
b2,1,0.5043,0.445877,[59 65] ; [23 20],[60.88622754 63.11377246] ; [21.11377246 21.88622754],0
p4,1,0.522755,0.408454,[142  31] ; [47 13],[140.3304721  32.6695279] ; [48.6695279 11.3304721],0
r4,1,0.537382,0.380414,[165   8] ; [56  4],[164.09012876   8.90987124] ; [56.90987124  3.09012876],0
v2,1,0.545264,0.365871,[103  61] ; [39 19],[104.9009009  59.0990991] ; [37.0990991 20.9009009],0
s1,1,0.556413,0.345952,[  9 164] ; [ 2 58],[  8.16738197 164.83261803] ; [ 2.83261803 57.16738197],0
a8,1,0.56142,0.337252,[ 23 141] ; [ 9 43],[ 24.2962963 139.7037037] ; [ 7.7037037 44.2962963],0
a4,1,0.568697,0.324868,[82 91] ; [31 29],[83.90128755 89.09871245] ; [29.09871245 30.90128755],0
d5,1,0.579098,0.307695,[151  21] ; [51  9],[149.75862069  22.24137931] ; [52.24137931  7.75862069],0
n5,1,0.583033,0.301357,[143  29] ; [48 12],[141.60344828  30.39655172] ; [49.39655172 10.60344828],0
a3,1,0.583033,0.301357,[143  29] ; [48 12],[141.60344828  30.39655172] ; [49.39655172 10.60344828],0
d2,1,0.583775,0.300171,[105  68] ; [34 26],[103.20600858  69.79399142] ; [35.79399142 24.20600858],0
v4,1,0.606149,0.265821,[168   5] ; [59  1],[168.54506438   4.45493562] ; [58.45493562  1.54506438],0
r3,1,0.606149,0.265821,[168   5] ; [59  1],[168.54506438   4.45493562] ; [58.45493562  1.54506438],0
r2,1,0.609564,0.26081,[166   5] ; [58  1],[166.53913043   4.46086957] ; [57.46086957  1.53913043],0
r1,1,0.634797,0.225611,[145  27] ; [49 11],[143.82758621  28.17241379] ; [50.17241379  9.82758621],0
b5,1,0.650781,0.204917,[98 75] ; [36 24],[99.49356223 73.50643777] ; [34.50643777 25.49356223],0
p8,1,0.71875,0.129693,[120  52] ; [39 19],[118.90434783  53.09565217] ; [40.09565217 17.90434783],0
d3,1,0.761227,0.092337,[119  54] ; [40 20],[118.05579399  54.94420601] ; [40.94420601 19.05579399],0
b4,1,0.764376,0.089844,[99 74] ; [33 27],[98.00858369 74.99141631] ; [33.99141631 26.00858369],0
p9,1,0.833883,0.043984,[162  10] ; [56  3],[162.32034632   9.67965368] ; [55.67965368  3.32034632],0
p6,1,0.870406,0.026616,[93 77] ; [33 26],[93.5371179 76.4628821] ; [32.4628821 26.5371179],0
n6,1,0.908479,0.013215,[153  18] ; [54  6],[153.23376623  17.76623377] ; [53.76623377  6.23376623],0
v3,1,0.91623,0.011064,[83 80] ; [30 28],[83.3438914 79.6561086] ; [29.6561086 28.3438914],0
u1,1,0.946947,0.004428,[ 44 129] ; [15 45],[ 43.80686695 129.19313305] ; [15.19313305 44.80686695],0
v1,1,0.959778,0.002543,[109  55] ; [39 20],[108.84304933  55.15695067] ; [39.15695067 19.84304933],0
p10,1,0.95986,0.002533,[154  17] ; [53  6],[153.9  17.1] ; [53.1  5.9],0
a7,1,0.978102,0.000753,[115  57] ; [40 20],[114.9137931  57.0862069] ; [40.0862069 19.9137931],0
n3,1,1.0,0.0,[24  8] ; [9 3],[24.  8.] ; [9. 3.],0
