Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.0,48.933999,[121  29] ; [10 32],[102.34375  47.65625] ; [28.65625 13.34375],1
d1,1,0.0,37.083238,[94 56] ; [ 4 38],[76.5625 73.4375] ; [21.4375 20.5625],1
p10,1,1e-06,24.402713,[127  22] ; [20 21],[115.27894737  33.72105263] ; [31.72105263  9.27894737],1
a4,1,1.9e-05,18.287053,[82 68] ; [ 7 34],[69.89528796 80.10471204] ; [19.10471204 21.89528796],1
n4,1,3.8e-05,16.969976,[118  30] ; [20 22],[107.49473684  40.50526316] ; [30.50526316 11.49473684],1
n5,1,0.000125,14.713543,[112  35] ; [19 23],[101.88888889  45.11111111] ; [29.11111111 12.88888889],1
a2,1,0.000139,14.516089,[52 98] ; [ 2 40],[ 42.1875 107.8125] ; [11.8125 30.1875],1
p9,1,0.000756,11.345642,[128  22] ; [26 16],[120.3125  29.6875] ; [33.6875  8.3125],1
u1,1,0.001083,10.679262,[ 38 112] ; [ 1 41],[ 30.46875 119.53125] ; [ 8.53125 33.46875],0
s6,1,0.001472,10.112771,[103  45] ; [18 24],[94.25263158 53.74736842] ; [26.74736842 15.25263158],0
d3,1,0.002474,9.15937,[105  44] ; [19 23],[96.73298429 52.26701571] ; [27.26701571 14.73298429],0
a6,1,0.003017,8.797091,[111  39] ; [21 21],[103.125  46.875] ; [28.875 13.125],0
a7,1,0.00305,8.777143,[108  42] ; [20 22],[100.  50.] ; [28. 14.],0
s7,1,0.003186,8.697677,[82 65] ; [11 27],[73.8972973 73.1027027] ; [19.1027027 18.8972973],0
d2,1,0.003561,8.495082,[81 69] ; [12 30],[72.65625 77.34375] ; [20.34375 21.65625],0
a3,1,0.004965,7.892148,[117  33] ; [23 18],[109.94764398  40.05235602] ; [30.05235602 10.94764398],0
s8,1,0.008922,6.838455,[69 80] ; [10 32],[61.62827225 87.37172775] ; [17.37172775 24.62827225],0
s2,1,0.011629,6.366516,[86 63] ; [15 27],[78.79057592 70.20942408] ; [22.20942408 19.79057592],0
r3,1,0.01275,6.203482,[145   4] ; [37  5],[141.97905759   7.02094241] ; [40.02094241  1.97905759],0
r2,1,0.018377,5.559895,[138   8] ; [35  7],[134.35106383  11.64893617] ; [38.64893617  3.35106383],0
d4,1,0.019044,5.497464,[124  26] ; [27 14],[118.58638743  31.41361257] ; [32.41361257  8.58638743],0
b5,1,0.024212,5.079365,[100  50] ; [20 22],[93.75 56.25] ; [26.25 15.75],0
v3,1,0.024635,5.049379,[56 90] ; [ 8 33],[49.96791444 96.03208556] ; [14.03208556 26.96791444],0
s5,1,0.02548,4.990984,[51 96] ; [ 7 35],[ 45.11111111 101.88888889] ; [12.88888889 29.11111111],0
r4,1,0.02779,4.841054,[134  16] ; [32 10],[129.6875  20.3125] ; [36.3125  5.6875],0
v2,1,0.028833,4.777541,[89 55] ; [17 23],[82.95652174 61.04347826] ; [23.04347826 16.95652174],0
p3,1,0.041298,4.163751,[73 77] ; [13 29],[67.1875 82.8125] ; [18.8125 23.1875],0
b2,1,0.050903,3.811471,[42 58] ; [ 7 24],[37.40458015 62.59541985] ; [11.59541985 19.40458015],0
b3,1,0.050903,3.811471,[42 58] ; [ 7 24],[37.40458015 62.59541985] ; [11.59541985 19.40458015],0
r1,1,0.076523,3.13725,[118  30] ; [28 14],[113.72631579  34.27368421] ; [32.27368421  9.72631579],0
n6,1,0.115606,2.475869,[122  26] ; [30 12],[118.4  29.6] ; [33.6  8.4],0
n1,1,0.165205,1.925926,[14 25] ; [ 2 11],[12. 27.] ; [4. 9.],0
a8,1,0.203096,1.619971,[ 26 108] ; [ 4 34],[ 23.37209302 110.62790698] ; [ 6.62790698 31.37209302],0
s4,1,0.21246,1.554583,[ 26 123] ; [ 4 38],[ 23.40314136 125.59685864] ; [ 6.59685864 35.40314136],0
p5,1,0.219416,1.508185,[  7 142] ; [ 4 37],[  8.62631579 140.37368421] ; [ 2.37368421 38.62631579],0
p11,1,0.241753,1.370345,[107  43] ; [26 16],[103.90625  46.09375] ; [29.09375 12.90625],0
p4,1,0.315053,1.009371,[81 69] ; [19 23],[78.125 71.875] ; [21.875 20.125],0
p6,1,0.364284,0.823071,[55 94] ; [12 29],[52.54210526 96.45789474] ; [14.45789474 26.54210526],0
v4,1,0.410632,0.676971,[139   9] ; [37  4],[137.82010582  10.17989418] ; [38.17989418  2.82010582],0
b4,1,0.489926,0.47669,[84 66] ; [21 21],[82.03125 67.96875] ; [22.96875 19.03125],0
p1,1,0.512324,0.429317,[  7 143] ; [ 1 41],[  6.25 143.75] ; [ 1.75 40.25],0
p2,1,0.627717,0.23517,[123  26] ; [36  6],[124.03664921  24.96335079] ; [34.96335079  7.03664921],0
b1,1,0.650614,0.205127,[62 88] ; [19 23],[63.28125 86.71875] ; [17.71875 24.28125],0
n2,1,0.681891,0.168005,[30 10] ; [9 4],[29.43396226 10.56603774] ; [9.56603774 3.43396226],0
v1,1,0.721146,0.127397,[74 72] ; [19 21],[73. 73.] ; [20. 20.],0
n3,1,0.738505,0.111445,[33  8] ; [11  2],[33.40740741  7.59259259] ; [10.59259259  2.40740741],0
s1,1,0.761443,0.092164,[  5 143] ; [ 1 40],[  4.6984127 143.3015873] ; [ 1.3015873 39.6984127],0
u3,1,0.78235,0.076319,[17 16] ; [10  8],[17.47058824 15.52941176] ; [9.52941176 8.47058824],0
s3,1,0.842148,0.039659,[90 57] ; [25 17],[89.44444444 57.55555556] ; [25.55555556 16.44444444],0
u2,1,0.867259,0.027936,[19 12] ; [10  7],[18.72916667 12.27083333] ; [10.27083333  6.72916667],0
a1,1,0.979409,0.000666,[  7 143] ; [ 2 40],[  7.03125 142.96875] ; [ 1.96875 40.03125],0
