Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,26.74895,[64 18] ; [ 5 19],[53.37735849 28.62264151] ; [15.62264151  8.37735849],1
p9,1,0.000891,11.0406,[58 22] ; [ 8 15],[51.26213592 28.73786408] ; [14.73786408  8.26213592],1
r3,1,0.001109,10.636814,[70 12] ; [13 11],[64.20754717 17.79245283] ; [18.79245283  5.20754717],0
v4,1,0.001314,10.322712,[71 10] ; [14 10],[65.57142857 15.42857143] ; [19.42857143  4.57142857],0
p11,1,0.004432,8.09763,[57 25] ; [ 9 15],[51.05660377 30.94339623] ; [14.94339623  9.05660377],0
p10,1,0.004527,8.059347,[51 29] ; [ 7 16],[45.04854369 34.95145631] ; [12.95145631 10.04854369],0
r1,1,0.005977,7.557158,[50 32] ; [ 7 17],[44.09433962 37.90566038] ; [12.90566038 11.09433962],0
b1,1,0.011315,6.415102,[34 48] ; [17  7],[39.45283019 42.54716981] ; [11.54716981 12.45283019],0
s6,1,0.044624,4.032808,[41 37] ; [ 7 17],[36.70588235 41.29411765] ; [11.29411765 12.70588235],0
u3,1,0.049089,3.872311,[25 24] ; [ 4 13],[21.53030303 27.46969697] ; [7.46969697 9.53030303],0
s3,1,0.069455,3.295852,[45 35] ; [ 8 15],[41.16504854 38.83495146] ; [11.83495146 11.16504854],0
s8,1,0.078749,3.090542,[25 57] ; [ 3 21],[21.66037736 60.33962264] ; [ 6.33962264 17.66037736],0
b3,1,0.141396,2.162703,[14 33] ; [ 2 15],[11.75 35.25] ; [ 4.25 12.75],0
b2,1,0.141396,2.162703,[14 33] ; [ 2 15],[11.75 35.25] ; [ 4.25 12.75],0
v1,1,0.149869,2.073579,[37 44] ; [ 7 17],[33.94285714 47.05714286] ; [10.05714286 13.94285714],0
p6,1,0.150541,2.066758,[26 53] ; [ 4 19],[23.23529412 55.76470588] ; [ 6.76470588 16.23529412],0
v3,1,0.18671,1.743386,[20 59] ; [ 3 21],[17.6407767 61.3592233] ; [ 5.3592233 18.6407767],0
s4,1,0.191087,1.709214,[14 68] ; [ 7 17],[16.24528302 65.75471698] ; [ 4.75471698 19.24528302],0
s5,1,0.231802,1.42977,[22 54] ; [ 4 20],[19.76 56.24] ; [ 6.24 17.76],0
n1,1,0.236338,1.402306,[13 16] ; [3 9],[11.31707317 17.68292683] ; [4.68292683 7.31707317],0
a4,1,0.256909,1.285338,[19 63] ; [ 3 21],[17.01886792 64.98113208] ; [ 4.98113208 19.01886792],0
a3,1,0.30512,1.051683,[33 48] ; [ 7 17],[30.85714286 50.14285714] ; [ 9.14285714 14.85714286],0
n6,1,0.324127,0.972222,[56 25] ; [14 10],[54. 27.] ; [16.  8.],0
s7,1,0.34213,0.902432,[26 52] ; [ 5 17],[24.18 53.82] ; [ 6.82 15.18],0
d1,1,0.364645,0.821831,[17 65] ; [ 3 21],[15.47169811 66.52830189] ; [ 4.52830189 19.47169811],0
s2,1,0.414929,0.664632,[31 50] ; [ 7 17],[29.31428571 51.68571429] ; [ 8.68571429 15.31428571],0
p8,1,0.414929,0.664632,[31 50] ; [ 7 17],[29.31428571 51.68571429] ; [ 8.68571429 15.31428571],0
n3,1,0.431175,0.619657,[16 13] ; [5 7],[14.85365854 14.14634146] ; [6.14634146 5.85365854],0
d3,1,0.437663,0.602402,[31 51] ; [ 7 17],[29.39622642 52.60377358] ; [ 8.60377358 15.39622642],0
d5,1,0.443166,0.588071,[38 44] ; [ 9 15],[36.35849057 45.64150943] ; [10.64150943 13.35849057],0
v2,1,0.47374,0.513239,[29 46] ; [ 7 16],[27.55102041 47.44897959] ; [ 8.44897959 14.55102041],0
u2,1,0.484077,0.489664,[25 24] ; [ 7 10],[23.75757576 25.24242424] ; [8.24242424 8.75757576],0
n5,1,0.488701,0.479385,[56 24] ; [15  9],[54.61538462 25.38461538] ; [16.38461538  7.61538462],0
n2,1,0.513616,0.426694,[20  9] ; [7 5],[19.09756098  9.90243902] ; [7.90243902 4.09756098],0
b5,1,0.525663,0.402769,[47 35] ; [12 12],[45.64150943 36.35849057] ; [13.35849057 10.64150943],0
a6,1,0.528995,0.396321,[26 56] ; [ 6 18],[24.75471698 57.24528302] ; [ 7.24528302 16.75471698],0
s1,1,0.539039,0.377324,[ 4 76] ; [ 2 22],[ 4.61538462 75.38461538] ; [ 1.38461538 22.61538462],0
d4,1,0.604489,0.268278,[42 39] ; [11 13],[40.88571429 40.11428571] ; [12.11428571 11.88571429],0
p12,1,0.70104,0.147392,[ 5 75] ; [ 1 23],[ 4.61538462 75.38461538] ; [ 1.38461538 22.61538462],0
