Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1.3e-05,18.993248,[63 14] ; [80 73],[47.87391304 29.12608696] ; [95.12608696 57.87391304],1
p4,1,4.8e-05,16.54082,[62 17] ; [79 76],[47.6025641 31.3974359] ; [93.3974359 61.6025641],1
p8,1,0.000118,14.826347,[50 29] ; [57 98],[36.12393162 42.87606838] ; [70.87606838 84.12393162],1
p3,1,0.003962,8.301299,[47 32] ; [61 93],[36.61802575 42.38197425] ; [71.38197425 82.61802575],0
b3,1,0.007362,7.182533,[24 24] ; [26 69],[16.78321678 31.21678322] ; [33.21678322 61.78321678],0
b2,1,0.007362,7.182533,[24 24] ; [26 69],[16.78321678 31.21678322] ; [33.21678322 61.78321678],0
p12,1,0.01065,6.522826,[11 68] ; [  7 148],[ 6.07692308 72.92307692] ; [ 11.92307692 143.07692308],0
s8,1,0.014557,5.969342,[53 26] ; [78 77],[44.22649573 34.77350427] ; [86.77350427 68.22649573],0
p5,1,0.015451,5.864294,[ 8 71] ; [  4 147],[ 4.12173913 74.87826087] ; [  7.87826087 143.12173913],0
p2,1,0.029856,4.717583,[70  9] ; [119  36],[63.80769231 15.19230769] ; [125.19230769  29.80769231],0
n5,1,0.04953,3.857286,[65 13] ; [111  44],[58.91845494 19.08154506] ; [117.08154506  37.91845494],0
d2,1,0.080432,3.056144,[47 32] ; [73 81],[40.68669528 38.31330472] ; [79.31330472 74.68669528],0
b1,1,0.082929,3.006545,[41 38] ; [62 93],[34.77350427 44.22649573] ; [68.22649573 86.77350427],0
v2,1,0.087646,2.917082,[48 29] ; [73 72],[41.96846847 35.03153153] ; [79.03153153 65.96846847],0
r1,1,0.141431,2.162324,[68 11] ; [121  34],[63.80769231 15.19230769] ; [125.19230769  29.80769231],0
a4,1,0.14317,2.143548,[39 40] ; [61 94],[33.76068376 45.23931624] ; [66.23931624 88.76068376],0
u2,1,0.153297,2.039134,[18  7] ; [24 20],[15.2173913  9.7826087] ; [26.7826087 17.2173913],0
u4,1,0.15853,1.988188,[ 5 74] ; [  4 151],[ 3.03846154 75.96153846] ; [  5.96153846 149.03846154],0
p9,1,0.165889,1.919708,[68 11] ; [121  33],[64.08154506 14.91845494] ; [124.91845494  29.08154506],0
b4,1,0.173803,1.849833,[39 40] ; [91 64],[43.88888889 35.11111111] ; [86.11111111 68.88888889],0
v1,1,0.216989,1.524171,[40 35] ; [66 82],[35.65022422 39.34977578] ; [70.34977578 77.65022422],0
