Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-06,23.970332,[96 15] ; [96 67],[77.7810219 33.2189781] ; [114.2189781  48.7810219],1
p8,1,0.000812,11.213517,[81 31] ; [84 77],[67.69230769 44.30769231] ; [97.30769231 63.69230769],1
a2,1,0.004407,8.107913,[33 79] ; [ 25 139],[23.53623188 88.46376812] ; [ 34.46376812 129.53623188],0
s5,1,0.005499,7.70755,[42 66] ; [ 37 123],[31.8358209 76.1641791] ; [ 47.1641791 112.8358209],0
p9,1,0.006026,7.542529,[100  12] ; [125  39],[91.30434783 20.69565217] ; [133.69565217  30.30434783],0
a4,1,0.007099,7.247717,[63 48] ; [66 98],[52.06909091 58.93090909] ; [76.93090909 87.06909091],0
b3,1,0.007187,7.225527,[28 42] ; [19 73],[20.30864198 49.69135802] ; [26.69135802 65.30864198],0
b2,1,0.007187,7.225527,[28 42] ; [19 73],[20.30864198 49.69135802] ; [26.69135802 65.30864198],0
p12,1,0.009293,6.765561,[ 12 100] ; [  5 159],[  6.89855072 105.10144928] ; [ 10.10144928 153.89855072],0
p3,1,0.014623,5.961376,[82 30] ; [96 67],[72.49454545 39.50545455] ; [105.50545455  57.49454545],0
p10,1,0.01736,5.659643,[96 14] ; [124  40],[88.32116788 21.67883212] ; [131.67883212  32.32116788],0
s4,1,0.017965,5.599531,[24 83] ; [ 19 144],[17.04074074 89.95925926] ; [ 25.95925926 137.04074074],0
p2,1,0.020941,5.331674,[105   7] ; [138  25],[98.96727273 13.03272727] ; [144.03272727  18.96727273],0
s7,1,0.021949,5.249825,[43 62] ; [ 43 114],[34.46564885 70.53435115] ; [ 51.53435115 105.46564885],0
a3,1,0.041526,4.154412,[79 32] ; [97 67],[71.04 39.96] ; [104.96  59.04],0
d2,1,0.046105,3.977764,[58 54] ; [65 99],[49.91304348 62.08695652] ; [73.08695652 90.91304348],0
n4,1,0.051276,3.799231,[92 20] ; [118  46],[85.2173913 26.7826087] ; [124.7826087  39.2173913],0
p5,1,0.054699,3.691227,[19 93] ; [ 15 148],[13.84727273 98.15272727] ; [ 20.15272727 142.84727273],0
p1,1,0.062119,3.479896,[16 96] ; [ 12 151],[ 11.40363636 100.59636364] ; [ 16.59636364 146.40363636],0
s2,1,0.097169,2.751403,[47 64] ; [ 53 110],[40.51094891 70.48905109] ; [ 59.48905109 103.51094891],0
r2,1,0.109735,2.558039,[104   6] ; [145  18],[100.32967033   9.67032967] ; [148.67032967  14.32967033],0
b5,1,0.119019,2.430188,[57 55] ; [99 65],[63.30434783 48.69565217] ; [92.69565217 71.30434783],0
p11,1,0.12029,2.413541,[94 18] ; [125  39],[88.86956522 23.13043478] ; [130.13043478  33.86956522],0
d3,1,0.123865,2.367754,[86 26] ; [112  52],[80.34782609 31.65217391] ; [117.65217391  46.34782609],0
u1,1,0.12401,2.365931,[22 90] ; [ 21 143],[17.44927536 94.55072464] ; [ 25.55072464 138.44927536],0
n5,1,0.149363,2.07874,[87 23] ; [117  47],[81.89781022 28.10218978] ; [122.10218978  41.89781022],0
b4,1,0.174182,1.846579,[70 42] ; [89 75],[64.52173913 47.47826087] ; [94.47826087 69.52173913],0
s1,1,0.178293,1.811793,[  2 109] ; [  8 155],[  4.05109489 106.94890511] ; [  5.94890511 157.05109489],0
d1,1,0.189945,1.718043,[67 45] ; [85 79],[61.68115942 50.31884058] ; [90.31884058 73.68115942],0
s6,1,0.192984,1.694687,[70 38] ; [91 69],[64.88059701 43.11940299] ; [96.11940299 63.88059701],0
n6,1,0.247288,1.338563,[97 14] ; [134  29],[93.58029197 17.41970803] ; [137.41970803  25.58029197],0
v4,1,0.260243,1.267466,[106   5] ; [151  13],[103.73454545   7.26545455] ; [153.26545455  10.73454545],0
r1,1,0.359314,0.840288,[89 22] ; [123  40],[85.88321168 25.11678832] ; [126.11678832  36.88321168],0
r4,1,0.366283,0.816234,[101  11] ; [142  22],[98.60869565 13.39130435] ; [144.39130435  19.60869565],0
n1,1,0.398512,0.712812,[10 13] ; [10 21],[ 8.51851852 14.48148148] ; [11.48148148 19.51851852],0
a1,1,0.461285,0.542776,[  7 105] ; [  7 157],[  5.68115942 106.31884058] ; [  8.31884058 155.68115942],0
v3,1,0.551851,0.354011,[39 68] ; [ 52 106],[36.74339623 70.25660377] ; [ 54.25660377 103.74339623],0
a7,1,0.566993,0.32774,[88 24] ; [124  40],[86.02898551 25.97101449] ; [125.97101449  38.02898551],0
v1,1,0.591947,0.287314,[59 51] ; [80 79],[56.8401487 53.1598513] ; [82.1598513 76.8401487],0
b1,1,0.592856,0.285907,[48 64] ; [65 99],[45.85507246 66.14492754] ; [67.14492754 96.85507246],0
v2,1,0.618622,0.24781,[62 47] ; [85 73],[60.01123596 48.98876404] ; [86.98876404 71.01123596],0
