Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1e-06,25.257164,[ 8 64] ; [22 18],[19.28571429 52.71428571] ; [10.71428571 29.28571429],1
s7,1,0.000271,13.261256,[ 9 59] ; [16 19],[16.50485437 51.49514563] ; [ 8.49514563 26.50485437],1
s6,1,0.001097,10.656032,[16 56] ; [21 19],[23.78571429 48.21428571] ; [13.21428571 26.78571429],0
s5,1,0.026201,4.942699,[ 7 65] ; [10 29],[11.02702703 60.97297297] ; [ 5.97297297 33.02702703],0
s1,1,0.038729,4.272719,[ 3 69] ; [ 6 33],[ 5.83783784 66.16216216] ; [ 3.16216216 35.83783784],0
v1,1,0.039862,4.223766,[19 54] ; [18 22],[23.90265487 49.09734513] ; [13.09734513 26.90265487],0
u2,1,0.044094,4.052949,[15 17] ; [9 2],[17.86046512 14.13953488] ; [6.13953488 4.86046512],0
p10,1,0.049181,3.869177,[12 61] ; [13 27],[16.15044248 56.84955752] ; [ 8.84955752 31.15044248],0
r3,1,0.062627,3.466412,[49 22] ; [34  6],[53.09009009 17.90990991] ; [29.90990991 10.09009009],0
a3,1,0.077271,3.121387,[40 32] ; [29 11],[44.35714286 27.64285714] ; [24.64285714 15.35714286],0
n4,1,0.103909,2.644499,[43 29] ; [30 10],[46.92857143 25.07142857] ; [26.07142857 13.92857143],0
u3,1,0.116806,2.459627,[15 18] ; [8 3],[17.25 15.75] ; [5.75 5.25],0
r2,1,0.135114,2.232736,[56 15] ; [36  4],[58.84684685 12.15315315] ; [33.15315315  6.84684685],0
r4,1,0.149197,2.080447,[41 32] ; [28 12],[44.57522124 28.42477876] ; [24.42477876 15.57522124],0
s8,1,0.167366,1.906383,[ 9 63] ; [ 9 31],[11.57142857 60.42857143] ; [ 6.42857143 33.57142857],0
r1,1,0.17768,1.816926,[47 25] ; [31  9],[50.14285714 21.85714286] ; [27.85714286 12.14285714],0
p11,1,0.191084,1.709239,[29 44] ; [21 19],[32.30088496 40.69911504] ; [17.69911504 22.30088496],0
a8,1,0.206112,1.598525,[ 4 63] ; [ 5 33],[ 5.74285714 61.25714286] ; [ 3.25714286 34.74285714],0
p7,1,0.222474,1.488343,[23 49] ; [17 22],[25.94594595 46.05405405] ; [14.05405405 24.94594595],0
a5,1,0.276418,1.184616,[36 37] ; [24 16],[38.76106195 34.23893805] ; [21.23893805 18.76106195],0
n1,1,0.311056,1.026186,[10 21] ; [8 9],[11.625 19.375] ; [ 6.375 10.625],0
u1,1,0.311836,1.022884,[ 5 68] ; [ 5 35],[ 6.46017699 66.53982301] ; [ 3.53982301 36.46017699],0
n5,1,0.320316,0.987654,[38 34] ; [25 15],[40.5 31.5] ; [22.5 17.5],0
d4,1,0.324805,0.969499,[49 23] ; [30  9],[51.24324324 20.75675676] ; [27.75675676 11.24324324],0
p6,1,0.328675,0.95411,[ 8 63] ; [ 7 32],[ 9.68181818 61.31818182] ; [ 5.31818182 33.68181818],0
p2,1,0.362132,0.830485,[30 43] ; [20 20],[32.30088496 40.69911504] ; [17.69911504 22.30088496],0
n6,1,0.376249,0.782921,[44 28] ; [21 19],[41.78571429 30.21428571] ; [23.21428571 16.78571429],0
n2,1,0.389581,0.740248,[15 16] ; [11  7],[16.44897959 14.55102041] ; [9.55102041 8.44897959],0
a7,1,0.430963,0.620226,[41 30] ; [20 20],[39.01801802 31.98198198] ; [21.98198198 18.01801802],0
d2,1,0.451827,0.566064,[32 39] ; [21 19],[33.9009009 37.0990991] ; [19.0990991 20.9009009],0
p1,1,0.452845,0.563522,[ 3 69] ; [ 3 37],[ 3.85714286 68.14285714] ; [ 2.14285714 37.85714286],0
b1,1,0.487554,0.48192,[37 36] ; [23 17],[38.76106195 34.23893805] ; [21.23893805 18.76106195],0
s4,1,0.499868,0.455216,[ 8 65] ; [ 6 33],[ 9.125 63.875] ; [ 4.875 34.125],0
a1,1,0.523459,0.407073,[ 6 67] ; [ 2 38],[ 5.16814159 67.83185841] ; [ 2.83185841 37.16814159],0
v4,1,0.536311,0.38242,[53 19] ; [30  8],[54.32727273 17.67272727] ; [28.67272727  9.32727273],0
d3,1,0.546803,0.363076,[34 39] ; [21 19],[35.53097345 37.46902655] ; [19.46902655 20.53097345],0
v2,1,0.556146,0.346421,[24 47] ; [15 23],[25.40366972 45.59633028] ; [13.59633028 24.40366972],0
d1,1,0.586486,0.295866,[29 44] ; [18 22],[30.36283186 42.63716814] ; [16.63716814 23.36283186],0
v3,1,0.684484,0.165122,[17 52] ; [11 28],[17.88888889 51.11111111] ; [10.11111111 28.88888889],0
a2,1,0.702685,0.145694,[13 60] ; [ 6 34],[12.27433628 60.72566372] ; [ 6.72566372 33.27433628],0
p3,1,0.726818,0.122054,[13 60] ; [ 8 31],[13.6875 59.3125] ; [ 7.3125 31.6875],0
a6,1,0.799258,0.064672,[42 31] ; [24 16],[42.63716814 30.36283186] ; [23.36283186 16.63716814],0
d5,1,0.842155,0.039656,[47 26] ; [25 15],[46.51327434 26.48672566] ; [25.48672566 14.51327434],0
b5,1,0.89103,0.018769,[41 32] ; [23 17],[41.34513274 31.65486726] ; [22.65486726 17.34513274],0
a4,1,0.908154,0.01331,[28 44] ; [16 24],[28.28571429 43.71428571] ; [15.71428571 24.28571429],0
b4,1,0.928573,0.008035,[45 28] ; [25 15],[45.22123894 27.77876106] ; [24.77876106 15.22123894],0
n3,1,0.936427,0.006362,[15 14] ; [9 8],[15.13043478 13.86956522] ; [8.86956522 8.13043478],0
p8,1,0.967254,0.001685,[13 60] ; [ 7 33],[12.92035398 60.07964602] ; [ 7.07964602 32.92035398],0
b2,1,0.99281,8.1e-05,[13 28] ; [ 7 15],[13.01587302 27.98412698] ; [ 6.98412698 15.01587302],0
b3,1,0.99281,8.1e-05,[13 28] ; [ 7 15],[13.01587302 27.98412698] ; [ 6.98412698 15.01587302],0
