Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,34.568868,[183  70] ; [72 93],[154.34210526  98.65789474] ; [100.65789474  64.34210526],1
v3,1,2e-06,22.454591,[139 113] ; [ 52 113],[115.42446043 136.57553957] ; [75.57553957 89.42446043],1
n5,1,1.4e-05,18.877877,[221  36] ; [115  53],[203.18117647  53.81882353] ; [132.81882353  35.18117647],1
d5,1,0.001671,9.87958,[228  30] ; [130  39],[216.30913349  41.69086651] ; [141.69086651  27.30913349],0
p10,1,0.003189,8.696073,[230  27] ; [133  35],[219.50823529  37.49176471] ; [143.49176471  24.50823529],0
d1,1,0.003229,8.673494,[176  83] ; [91 78],[161.57242991  97.42757009] ; [105.42757009  63.57242991],0
p9,1,0.004251,8.173275,[237  21] ; [139  29],[227.71830986  30.28169014] ; [148.28169014  19.71830986],0
s8,1,0.007064,7.256632,[146 111] ; [73 95],[132.43058824 124.56941176] ; [86.56941176 81.43058824],0
n1,1,0.009818,6.667641,[19 13] ; [12 29],[13.5890411 18.4109589] ; [17.4109589 23.5890411],0
d4,1,0.012969,6.1733,[225  33] ; [132  37],[215.70491803  42.29508197] ; [141.29508197  27.70491803],0
b5,1,0.013664,6.081004,[160  99] ; [84 85],[147.65420561 111.34579439] ; [96.34579439 72.65420561],0
p2,1,0.018189,5.577835,[236  22] ; [142  27],[228.39344262  29.60655738] ; [149.60655738  19.39344262],0
b3,1,0.01979,5.430303,[76 93] ; [32 72],[ 66.85714286 102.14285714] ; [41.14285714 62.85714286],0
b2,1,0.01979,5.430303,[76 93] ; [32 72],[ 66.85714286 102.14285714] ; [41.14285714 62.85714286],0
n2,1,0.033246,4.53305,[28  4] ; [27 14],[24.10958904  7.89041096] ; [30.89041096 10.10958904],0
d3,1,0.042731,4.106026,[188  71] ; [107  62],[178.51635514  80.48364486] ; [116.48364486  52.51635514],0
r2,1,0.053741,3.720731,[251   6] ; [157  10],[247.30188679   9.69811321] ; [160.69811321   6.30188679],0
n4,1,0.061714,3.490702,[221  37] ; [133  36],[213.89227166  44.10772834] ; [140.10772834  28.89227166],0
u4,1,0.078402,3.097712,[  8 251] ; [  1 168],[  5.44626168 253.55373832] ; [  3.55373832 165.44626168],0
a3,1,0.084621,2.973839,[200  57] ; [119  50],[192.44835681  64.55164319] ; [126.55164319  42.44835681],0
p11,1,0.089506,2.883243,[219  40] ; [132  37],[212.40420561  46.59579439] ; [138.59579439  30.40420561],0
p12,1,0.093948,2.805382,[ 33 224] ; [ 13 156],[ 27.75117371 229.24882629] ; [ 18.24882629 150.75117371],0
s4,1,0.098363,2.731893,[ 40 215] ; [ 37 131],[ 46.41843972 208.58156028] ; [ 30.58156028 137.41843972],0
s5,1,0.111066,2.538992,[109 139] ; [ 58 103],[101.26161369 146.73838631] ; [65.73838631 95.26161369],0
a8,1,0.119561,2.423064,[ 34 195] ; [ 15 143],[ 28.99483204 200.00516796] ; [ 20.00516796 137.99483204],0
a5,1,0.148585,2.086715,[207  52] ; [125  44],[200.90654206  58.09345794] ; [131.09345794  37.90654206],0
a7,1,0.159142,1.982362,[196  62] ; [118  51],[189.7236534  68.2763466] ; [124.2763466  44.7236534],0
n6,1,0.173016,1.856617,[229  28] ; [143  26],[224.42253521  32.57746479] ; [147.57746479  21.42253521],0
u3,1,0.175929,1.831678,[40 19] ; [27 22],[36.60185185 22.39814815] ; [30.39814815 18.60185185],0
r4,1,0.187127,1.740097,[247  12] ; [156  13],[243.87149533  15.12850467] ; [159.12850467   9.87149533],0
u1,1,0.210508,1.56793,[ 64 195] ; [ 33 136],[ 58.69859813 200.30140187] ; [ 38.30140187 130.69859813],0
p7,1,0.223352,1.482703,[202  54] ; [124  44],[196.83018868  59.16981132] ; [129.16981132  38.83018868],0
p6,1,0.231865,1.429382,[129 123] ; [76 92],[123. 129.] ; [82. 86.],0
p5,1,0.249332,1.32704,[ 51 207] ; [ 26 143],[ 46.52459016 211.47540984] ; [ 30.47540984 138.52459016],0
r3,1,0.258866,1.274813,[252   7] ; [160   8],[249.90163934   9.09836066] ; [162.09836066   5.90163934],0
s2,1,0.26031,1.267107,[143 113] ; [85 84],[137.33647059 118.66352941] ; [90.66352941 78.33647059],0
a2,1,0.262029,1.258005,[ 74 185] ; [ 40 129],[ 68.98598131 190.01401869] ; [ 45.01401869 123.98598131],0
p8,1,0.279433,1.169846,[176  80] ; [107  61],[170.86792453  85.13207547] ; [112.13207547  55.86792453],0
s7,1,0.32239,0.979228,[145  99] ; [86 72],[140.20895522 103.79104478] ; [90.79104478 67.20895522],0
a4,1,0.347688,0.881876,[128 130] ; [76 93],[123.25995316 134.74004684] ; [80.74004684 88.25995316],0
s6,1,0.39363,0.727701,[186  69] ; [114  51],[182.14285714  72.85714286] ; [117.85714286  47.14285714],0
a6,1,0.421171,0.647045,[182  76] ; [113  56],[178.24355972  79.75644028] ; [116.75644028  52.24355972],0
r1,1,0.422302,0.643899,[216  43] ; [135  33],[212.90163934  46.09836066] ; [138.09836066  29.90163934],0
d2,1,0.454946,0.5583,[136 123] ; [82 86],[132.2295082 126.7704918] ; [85.7704918 82.2295082],0
b4,1,0.456075,0.55551,[155 104] ; [95 74],[151.28504673 107.71495327] ; [98.71495327 70.28504673],0
s3,1,0.526681,0.400791,[145 112] ; [100  68],[148.15294118 108.84705882] ; [96.84705882 71.15294118],0
p4,1,0.545826,0.364849,[210  49] ; [133  36],[207.56308411  51.43691589] ; [135.43691589  33.56308411],0
s1,1,0.627517,0.235443,[  7 250] ; [  6 163],[  7.842723 249.157277] ; [  5.157277 163.842723],0
p1,1,0.678336,0.172005,[ 30 227] ; [ 22 147],[ 31.37089202 225.62910798] ; [ 20.62910798 148.37089202],0
n3,1,0.759758,0.093513,[24  8] ; [32  9],[24.54794521  7.45205479] ; [31.45205479  9.54794521],0
u2,1,0.866987,0.028052,[31 26] ; [28 22],[31.42990654 25.57009346] ; [27.57009346 22.42990654],0
a1,1,0.8904,0.018988,[ 16 243] ; [ 11 158],[ 16.33878505 242.66121495] ; [ 10.66121495 158.33878505],0
