Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,123.48861,[27 48] ; [260  20],[60.63380282 14.36619718] ; [226.36619718  53.63380282],1
s5,1,9e-06,19.799843,[21 54] ; [154 116],[38.04347826 36.95652174] ; [136.95652174 133.04347826],1
d1,1,0.000428,12.406987,[36 40] ; [195  87],[49.03910615 26.96089385] ; [181.96089385 100.03910615],1
a4,1,0.002232,9.348609,[25 50] ; [150 132],[36.76470588 38.23529412] ; [138.23529412 143.76470588],0
r2,1,0.011929,6.321402,[68  6] ; [273   6],[71.48441926  2.51558074] ; [269.51558074   9.48441926],0
p6,1,0.017457,5.649814,[25 49] ; [137 141],[34.05681818 39.94318182] ; [127.94318182 150.05681818],0
s4,1,0.018215,5.575337,[10 66] ; [ 73 207],[17.71910112 58.28089888] ; [ 65.28089888 214.71910112],0
s8,1,0.019869,5.423366,[47 28] ; [213  67],[54.92957746 20.07042254] ; [205.07042254  74.92957746],0
v4,1,0.024906,5.030401,[71  5] ; [275   5],[73.86516854  2.13483146] ; [272.13483146   7.86516854],0
u2,1,0.033579,4.516023,[16  2] ; [29 18],[12.46153846  5.53846154] ; [32.53846154 14.46153846],0
n5,1,0.034004,4.494498,[56 20] ; [235  44],[62.29859155 13.70140845] ; [228.70140845  50.29859155],0
n3,1,0.052011,3.775424,[11 11] ; [43 16],[14.66666667  7.33333333] ; [39.33333333 19.66666667],0
d2,1,0.058421,3.581662,[35 41] ; [163 117],[42.26966292 33.73033708] ; [155.73033708 124.26966292],0
n4,1,0.060119,3.53411,[58 18] ; [239  41],[63.40449438 12.59550562] ; [233.59550562  46.40449438],0
n1,1,0.072472,3.226134,[ 7 15] ; [32 27],[10.59259259 11.40740741] ; [28.40740741 30.59259259],0
d4,1,0.074871,3.172868,[60 16] ; [243  36],[64.86760563 11.13239437] ; [238.13239437  40.86760563],0
n2,1,0.094127,2.802339,[14  8] ; [48 11],[16.83950617  5.16049383] ; [45.16049383 13.83950617],0
