Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,27.0,[85 13] ; [35 35],[70. 28.] ; [50. 20.],1
d5,1,0.000245,13.449808,[69 29] ; [29 40],[57.50898204 40.49101796] ; [40.49101796 28.50898204],1
s6,1,0.0003,13.067484,[56 40] ; [21 49],[44.53012048 51.46987952] ; [32.46987952 37.53012048],1
u3,1,0.000335,12.864821,[32 18] ; [13 34],[23.19587629 26.80412371] ; [21.80412371 25.19587629],1
r2,1,0.000578,11.846582,[88  9] ; [49 21],[79.5748503 17.4251497] ; [57.4251497 12.5748503],1
d4,1,0.000727,11.419756,[70 26] ; [33 37],[59.56626506 36.43373494] ; [43.43373494 26.56626506],1
d1,1,0.002499,9.141153,[38 60] ; [12 58],[29.16666667 68.83333333] ; [20.83333333 49.16666667],0
v4,1,0.003616,8.467231,[89  8] ; [52 17],[82.39156627 14.60843373] ; [58.60843373 10.39156627],0
s3,1,0.004581,8.037776,[54 42] ; [23 45],[45.07317073 50.92682927] ; [31.92682927 36.07317073],0
s2,1,0.006524,7.399579,[45 52] ; [18 52],[36.59281437 60.40718563] ; [26.40718563 43.59281437],0
a7,1,0.007383,7.177342,[69 28] ; [35 34],[60.77108434 36.22891566] ; [43.22891566 25.77108434],0
s7,1,0.009587,6.710139,[35 58] ; [13 56],[27.55555556 65.44444444] ; [20.44444444 48.55555556],0
r3,1,0.029418,4.742966,[86 10] ; [54 16],[80.96385542 15.03614458] ; [59.03614458 10.96385542],0
d3,1,0.03591,4.401391,[58 40] ; [29 39],[51.36144578 46.63855422] ; [35.63855422 32.36144578],0
s8,1,0.046843,3.95102,[30 68] ; [12 58],[24.5 73.5] ; [17.5 52.5],0
a3,1,0.050295,3.831603,[47 51] ; [23 47],[40.83333333 57.16666667] ; [29.16666667 40.83333333],0
v2,1,0.051033,3.807181,[32 59] ; [14 53],[26.49367089 64.50632911] ; [19.50632911 47.49367089],0
s1,1,0.052372,3.763853,[ 8 88] ; [ 1 69],[ 5.20481928 90.79518072] ; [ 3.79518072 66.20481928],0
a6,1,0.071733,3.242912,[53 45] ; [28 42],[47.25 50.75] ; [33.75 36.25],0
a1,1,0.077547,3.115583,[ 1 97] ; [ 4 66],[ 2.91666667 95.08333333] ; [ 2.08333333 67.91666667],0
p3,1,0.110072,2.553191,[32 66] ; [15 55],[27.41666667 70.58333333] ; [19.58333333 50.41666667],0
b3,1,0.115945,2.471262,[ 7 40] ; [12 30],[10.03370787 36.96629213] ; [ 8.96629213 33.03370787],0
b2,1,0.115945,2.471262,[ 7 40] ; [12 30],[10.03370787 36.96629213] ; [ 8.96629213 33.03370787],0
p4,1,0.144664,2.127632,[39 56] ; [21 49],[34.54545455 60.45454545] ; [25.45454545 44.54545455],0
p10,1,0.157387,1.999152,[60 37] ; [34 33],[55.59756098 41.40243902] ; [38.40243902 28.59756098],0
s5,1,0.180391,1.794399,[22 73] ; [10 58],[18.65030675 76.34969325] ; [13.34969325 54.65030675],0
