Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,5.2e-05,16.379847,[290  70] ; [21 19],[279.9  80.1] ; [31.1  8.9],1
p8,1,0.000337,12.852778,[255 107] ; [17 23],[244.93532338 117.06467662] ; [27.06467662 12.93532338],1
p4,1,0.000399,12.537922,[308  55] ; [25 15],[299.94789082  63.05210918] ; [33.05210918  6.94789082],1
d4,1,0.010323,6.5783,[310  52] ; [28 12],[304.3681592  57.6318408] ; [33.6318408  6.3681592],0
d3,1,0.026521,4.921754,[261 102] ; [22 18],[254.91066998 108.08933002] ; [28.08933002 11.91066998],0
p11,1,0.037892,4.309864,[316  47] ; [30 10],[311.65756824  51.34243176] ; [34.34243176  5.65756824],0
n6,1,0.054193,3.706751,[325  36] ; [32  8],[321.38902743  39.61097257] ; [35.61097257  4.38902743],0
p5,1,0.062001,3.483022,[ 74 288] ; [ 3 35],[ 69.685 292.315] ; [ 7.315 30.685],0
p10,1,0.084097,2.983881,[341  20] ; [35  5],[338.49376559  22.50623441] ; [37.50623441  2.49376559],0
n4,1,0.109905,2.555588,[307  55] ; [30 10],[303.46766169  58.53233831] ; [33.53233831  6.46766169],0
a2,1,0.11046,2.547621,[107 256] ; [ 7 33],[102.68486352 260.31513648] ; [11.31513648 28.68486352],0
r1,1,0.135037,2.233618,[296  64] ; [29 11],[292.5  67.5] ; [32.5  7.5],0
d5,1,0.140629,2.171064,[312  50] ; [31  9],[308.87064677  53.12935323] ; [34.12935323  5.87064677],0
s4,1,0.149183,2.080582,[ 59 300] ; [10 29],[ 62.23869347 296.76130653] ; [ 6.76130653 32.23869347],0
v1,1,0.15471,2.02519,[224 130] ; [19 18],[220.00511509 133.99488491] ; [22.99488491 14.00511509],0
a3,1,0.164798,1.92964,[287  74] ; [28 12],[283.57855362  77.42144638] ; [31.42144638  8.57855362],0
v3,1,0.178278,1.811925,[164 187] ; [13 24],[160.12113402 190.87886598] ; [16.87886598 20.12113402],0
v4,1,0.18664,1.743947,[349  12] ; [37  3],[347.49625935  13.50374065] ; [38.50374065  1.49625935],0
s6,1,0.19656,1.667753,[263  90] ; [26 14],[259.58524173  93.41475827] ; [29.41475827 10.58524173],0
r4,1,0.1993,1.647493,[338  25] ; [35  5],[335.97766749  27.02233251] ; [37.02233251  2.97766749],0
n5,1,0.224486,1.475459,[298  62] ; [30 10],[295.2  64.8] ; [32.8  7.2],0
r2,1,0.237453,1.395649,[345  13] ; [37  3],[343.6080402  14.3919598] ; [38.3919598  1.6080402],0
s5,1,0.246995,1.34022,[150 196] ; [12 24],[146.73298429 199.26701571] ; [15.26701571 20.73298429],0
s7,1,0.273644,1.19839,[208 135] ; [19 18],[204.89736842 138.10263158] ; [22.10263158 14.89736842],0
p6,1,0.278463,1.174575,[185 174] ; [17 23],[181.74937343 177.25062657] ; [20.25062657 19.74937343],0
s3,1,0.331243,0.944032,[217 142] ; [21 19],[214.14035088 144.85964912] ; [23.85964912 16.14035088],0
u1,1,0.340343,0.909137,[ 88 275] ; [ 7 33],[ 85.5707196 277.4292804] ; [ 9.4292804 30.5707196],0
u2,1,0.3534,0.861212,[48 27] ; [6 6],[46.55172414 28.44827586] ; [7.44827586 4.55172414],0
a6,1,0.408551,0.683013,[258 104] ; [26 14],[255.74129353 106.25870647] ; [28.25870647 11.74129353],0
u4,1,0.430034,0.622733,[ 10 352] ; [ 2 38],[ 10.80597015 351.19402985] ; [ 1.19402985 38.80597015],0
b5,1,0.46491,0.534048,[205 158] ; [25 15],[207.17121588 155.82878412] ; [22.82878412 17.17121588],0
s2,1,0.481501,0.495462,[201 159] ; [20 20],[198.9 161.1] ; [22.1 17.9],0
d1,1,0.483703,0.490502,[238 125] ; [24 16],[235.99503722 127.00496278] ; [26.00496278 13.99503722],0
n1,1,0.528416,0.397436,[20 30] ; [6 6],[20.96774194 29.03225806] ; [5.03225806 6.96774194],0
p1,1,0.530488,0.393456,[ 49 313] ; [ 4 36],[ 47.72636816 314.27363184] ; [ 5.27363184 34.72636816],0
n3,1,0.585329,0.297698,[38 12] ; [10  2],[38.70967742 11.29032258] ; [9.29032258 2.70967742],0
b1,1,0.606054,0.265961,[148 215] ; [18 22],[149.5235732 213.4764268] ; [16.4764268 23.5235732],0
a7,1,0.609924,0.260285,[267  95] ; [28 12],[265.64676617  96.35323383] ; [29.35323383 10.64676617],0
a5,1,0.626758,0.236483,[293  70] ; [31  9],[291.84119107  71.15880893] ; [32.15880893  7.84119107],0
p12,1,0.655633,0.198871,[ 45 317] ; [ 4 36],[ 44.12437811 317.87562189] ; [ 4.87562189 35.12437811],0
a1,1,0.663596,0.189185,[ 21 342] ; [ 3 37],[ 21.617866 341.382134] ; [ 2.382134 37.617866],0
a4,1,0.714064,0.134252,[179 183] ; [21 19],[180.09950249 181.90049751] ; [19.90049751 20.09950249],0
d2,1,0.722023,0.126562,[197 166] ; [20 19],[195.94776119 167.05223881] ; [21.05223881 17.94776119],0
r3,1,0.733701,0.115741,[346  14] ; [38  2],[345.6  14.4] ; [38.4  1.6],0
s8,1,0.803003,0.062232,[197 164] ; [21 19],[196.25436409 164.74563591] ; [21.74563591 18.25436409],0
