Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,2.2e-05,18.027053,[62 45] ; [ 3 23],[52.29323308 54.70676692] ; [12.70676692 13.29323308],1
d4,1,0.000258,13.350574,[92 15] ; [14 12],[85.27819549 21.72180451] ; [20.72180451  5.27819549],1
d3,1,0.001357,10.263172,[58 49] ; [ 5 21],[50.68421053 56.31578947] ; [12.31578947 13.68421053],0
r3,1,0.002899,8.869829,[105   2] ; [22  4],[102.17293233   4.82706767] ; [24.82706767  1.17293233],0
a5,1,0.0033,8.633957,[87 20] ; [14 12],[81.2556391 25.7443609] ; [19.7443609  6.2556391],0
d2,1,0.00591,7.577451,[61 46] ; [ 7 19],[54.70676692 52.29323308] ; [13.29323308 12.70676692],0
r2,1,0.009635,6.701162,[101   5] ; [20  5],[97.90839695  8.09160305] ; [23.09160305  1.90839695],0
p1,1,0.011532,6.381402,[ 7 99] ; [ 6 20],[10.43939394 95.56060606] ; [ 2.56060606 23.43939394],0
p6,1,0.011937,6.320149,[53 52] ; [ 6 20],[47.29007634 57.70992366] ; [11.70992366 14.29007634],0
a3,1,0.019523,5.45402,[94 13] ; [18  8],[90.10526316 16.89473684] ; [21.89473684  4.10526316],0
p11,1,0.021351,5.29792,[91 16] ; [17  9],[86.88721805 20.11278195] ; [21.11278195  4.88721805],0
v3,1,0.027866,4.83631,[53 51] ; [ 7 19],[48. 56.] ; [12. 14.],0
n6,1,0.033143,4.538354,[94 12] ; [18  7],[90.6259542 15.3740458] ; [21.3740458  3.6259542],0
r4,1,0.042797,4.103419,[92 15] ; [18  8],[88.4962406 18.5037594] ; [21.5037594  4.4962406],0
s1,1,0.05426,3.704692,[  3 104] ; [ 3 23],[  4.82706767 102.17293233] ; [ 1.17293233 24.82706767],0
r1,1,0.055452,3.668444,[85 22] ; [16 10],[81.2556391 25.7443609] ; [19.7443609  6.2556391],0
p4,1,0.056459,3.638472,[71 36] ; [12 14],[66.77443609 40.22556391] ; [16.22556391  9.77443609],0
p3,1,0.05928,3.557412,[67 40] ; [11 15],[62.7518797 44.2481203] ; [15.2481203 10.7518797],0
v2,1,0.077063,3.125769,[56 49] ; [ 8 16],[52.09302326 52.90697674] ; [11.90697674 12.09302326],0
v4,1,0.079887,3.067194,[100   6] ; [21  4],[97.90839695  8.09160305] ; [23.09160305  1.90839695],0
