Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000406,12.504344,[ 1 27] ; [13 17],[ 6.75862069 21.24137931] ; [ 7.24137931 22.75862069],1
d5,1,0.036707,4.363942,[11 17] ; [20 10],[14.96551724 13.03448276] ; [16.03448276 13.96551724],0
a8,1,0.060871,3.513484,[ 5 21] ; [ 1 28],[ 2.83636364 23.16363636] ; [ 3.16363636 25.83636364],0
r1,1,0.095504,2.779059,[ 8 20] ; [15 15],[11.10344828 16.89655172] ; [11.89655172 18.10344828],0
d3,1,0.167644,1.903887,[ 9 19] ; [15 15],[11.5862069 16.4137931] ; [12.4137931 17.5862069],0
a6,1,0.177574,1.817811,[10 18] ; [16 14],[12.55172414 15.44827586] ; [13.44827586 16.55172414],0
p3,1,0.17861,1.809155,[ 5 23] ; [10 20],[ 7.24137931 20.75862069] ; [ 7.75862069 22.24137931],0
b5,1,0.185605,1.752166,[17 11] ; [13 17],[14.48275862 13.51724138] ; [15.51724138 14.48275862],0
d1,1,0.202665,1.623065,[ 6 22] ; [11 19],[ 8.20689655 19.79310345] ; [ 8.79310345 21.20689655],0
d2,1,0.203388,1.617875,[ 8 20] ; [13 16],[10.31578947 17.68421053] ; [10.68421053 18.31578947],0
v3,1,0.280186,1.166187,[ 5 23] ; [ 9 21],[ 6.75862069 21.24137931] ; [ 7.24137931 22.75862069],0
b2,1,0.283274,1.151316,[ 4 15] ; [ 6 10],[ 5.42857143 13.57142857] ; [ 4.57142857 11.42857143],0
b3,1,0.283274,1.151316,[ 4 15] ; [ 6 10],[ 5.42857143 13.57142857] ; [ 4.57142857 11.42857143],0
u3,1,0.315425,1.007824,[ 1 12] ; [ 3 11],[ 1.92592593 11.07407407] ; [ 2.07407407 11.92592593],0
s8,1,0.414745,0.665159,[ 6 22] ; [ 4 26],[ 4.82758621 23.17241379] ; [ 5.17241379 24.82758621],0
a5,1,0.424962,0.636553,[16 12] ; [14 16],[14.48275862 13.51724138] ; [15.51724138 14.48275862],0
p1,1,0.439184,0.598413,[ 2 26] ; [ 4 26],[ 2.89655172 25.10344828] ; [ 3.10344828 26.89655172],0
a1,1,0.439184,0.598413,[ 2 26] ; [ 4 26],[ 2.89655172 25.10344828] ; [ 3.10344828 26.89655172],0
d4,1,0.455083,0.557961,[16 12] ; [20 10],[17.37931034 10.62068966] ; [18.62068966 11.37931034],0
u1,1,0.512719,0.428514,[ 2 26] ; [ 1 29],[ 1.44827586 26.55172414] ; [ 1.55172414 28.44827586],0
r3,1,0.535913,0.383167,[14 13] ; [18 12],[15.15789474 11.84210526] ; [16.84210526 13.15789474],0
n2,1,0.536809,0.381485,[6 5] ; [5 7],[5.26086957 5.73913043] ; [5.73913043 6.26086957],0
b4,1,0.553362,0.351328,[18 10] ; [17 13],[16.89655172 11.10344828] ; [18.10344828 11.89655172],0
s7,1,0.614092,0.254259,[ 4 21] ; [ 6 22],[ 4.71698113 20.28301887] ; [ 5.28301887 22.71698113],0
p4,1,0.643116,0.214691,[10 18] ; [ 9 21],[ 9.17241379 18.82758621] ; [ 9.82758621 20.17241379],0
p7,1,0.643116,0.214691,[10 18] ; [ 9 21],[ 9.17241379 18.82758621] ; [ 9.82758621 20.17241379],0
p10,1,0.666417,0.185822,[11 15] ; [11 19],[10.21428571 15.78571429] ; [11.78571429 18.21428571],0
s6,1,0.69527,0.153439,[ 8 20] ; [10 20],[ 8.68965517 19.31034483] ; [ 9.31034483 20.68965517],0
p8,1,0.697111,0.151495,[ 6 21] ; [ 8 22],[ 6.63157895 20.36842105] ; [ 7.36842105 22.63157895],0
p2,1,0.704703,0.143626,[12 16] ; [11 18],[11.29824561 16.70175439] ; [11.70175439 17.29824561],0
a4,1,0.70789,0.140394,[10 18] ; [ 9 20],[ 9.33333333 18.66666667] ; [ 9.66666667 19.33333333],0
s4,1,0.759636,0.093611,[ 3 25] ; [ 4 26],[ 3.37931034 24.62068966] ; [ 3.62068966 26.37931034],0
v2,1,0.7639,0.090218,[ 8 19] ; [10 20],[ 8.52631579 18.47368421] ; [ 9.47368421 20.52631579],0
b1,1,0.785628,0.07398,[15 13] ; [15 15],[14.48275862 13.51724138] ; [15.51724138 14.48275862],0
p11,1,0.812768,0.056101,[13 15] ; [13 17],[12.55172414 15.44827586] ; [13.44827586 16.55172414],0
s2,1,0.820387,0.05155,[ 7 20] ; [ 7 23],[ 6.63157895 20.36842105] ; [ 7.36842105 22.63157895],0
n3,1,0.827435,0.047521,[6 5] ; [6 6],[5.73913043 5.26086957] ; [6.26086957 5.73913043],0
s3,1,0.837648,0.041985,[ 8 18] ; [10 20],[ 8.35714286 17.64285714] ; [ 9.64285714 20.35714286],0
n5,1,0.848813,0.036341,[18 10] ; [20 10],[18.34482759  9.65517241] ; [19.65517241 10.34482759],0
n4,1,0.848813,0.036341,[18 10] ; [20 10],[18.34482759  9.65517241] ; [19.65517241 10.34482759],0
n1,1,0.854757,0.033508,[5 6] ; [5 7],[4.7826087 6.2173913] ; [5.2173913 6.7826087],0
