Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1e-06,24.332742,[10  1] ; [ 3 27],[3.48780488 7.51219512] ; [ 9.51219512 20.48780488],1
s3,1,0.000296,13.095238,[9 2] ; [ 7 26],[4. 7.] ; [12. 21.],1
s2,1,0.001423,10.175316,[7 4] ; [ 5 29],[2.93333333 8.06666667] ; [ 9.06666667 24.93333333],0
p2,1,0.005161,7.822222,[9 2] ; [11 22],[5. 6.] ; [15. 18.],0
p10,1,0.006633,7.369652,[10  1] ; [15 19],[6.11111111 4.88888889] ; [18.88888889 15.11111111],0
r4,1,0.032988,4.546409,[5 6] ; [ 5 29],[2.44444444 8.55555556] ; [ 7.55555556 26.44444444],0
s6,1,0.041845,4.141464,[7 4] ; [10 24],[4.15555556 6.84444444] ; [12.84444444 21.15555556],0
n2,1,0.042762,4.104784,[6 1] ; [5 8],[3.85 3.15] ; [7.15 5.85],0
a7,1,0.043733,4.066845,[9 2] ; [16 18],[6.11111111 4.88888889] ; [18.88888889 15.11111111],0
b5,1,0.063286,3.449117,[9 2] ; [17 17],[6.35555556 4.64444444] ; [19.64444444 14.35555556],0
p6,1,0.063615,3.440526,[4 7] ; [ 4 30],[1.95555556 9.04444444] ; [ 6.04444444 27.95555556],0
s5,1,0.06639,3.370098,[5 5] ; [ 7 27],[2.72727273 7.27272727] ; [ 9.27272727 24.72727273],0
b1,1,0.085991,2.947861,[5 6] ; [25  9],[7.33333333 3.66666667] ; [22.66666667 11.33333333],0
p7,1,0.099033,2.721056,[1 8] ; [13 19],[3.07317073 5.92682927] ; [10.92682927 21.07317073],0
p5,1,0.128066,2.315789,[3 8] ; [ 3 30],[1.5 9.5] ; [ 4.5 28.5],0
p8,1,0.130102,2.291283,[6 5] ; [10 24],[3.91111111 7.08888889] ; [12.08888889 21.91111111],0
a6,1,0.137997,2.200153,[8 3] ; [16 18],[5.86666667 5.13333333] ; [18.13333333 15.86666667],0
u2,1,0.164264,1.934524,[3 1] ; [3 6],[1.84615385 2.15384615] ; [4.15384615 4.84615385],0
n5,1,0.166091,1.917873,[9 2] ; [20 14],[7.08888889 3.91111111] ; [21.91111111 12.08888889],0
u1,1,0.212777,1.552433,[2 9] ; [ 2 32],[ 0.97777778 10.02222222] ; [ 3.02222222 30.97777778],0
a2,1,0.21737,1.521652,[3 8] ; [ 4 30],[1.71111111 9.28888889] ; [ 5.28888889 28.71111111],0
r2,1,0.23478,1.411667,[8 2] ; [19 13],[6.42857143 3.57142857] ; [20.57142857 11.42857143],0
n4,1,0.248138,1.333759,[8 3] ; [18 16],[6.35555556 4.64444444] ; [19.64444444 14.35555556],0
n1,1,0.250829,1.318681,[4 3] ; [4 9],[2.8 4.2] ; [5.2 7.8],0
r1,1,0.260298,1.267174,[7 4] ; [15 19],[5.37777778 5.62222222] ; [16.62222222 17.37777778],0
d3,1,0.286592,1.135563,[9 2] ; [22 12],[7.57777778 3.42222222] ; [23.42222222 10.57777778],0
p4,1,0.288159,1.128205,[6 5] ; [12 21],[4.5 6.5] ; [13.5 19.5],0
n6,1,0.288159,1.128205,[8 3] ; [18 15],[6.5 4.5] ; [19.5 13.5],0
d2,1,0.29627,1.090909,[7 4] ; [15 18],[5.5 5.5] ; [16.5 16.5],0
u3,1,0.307741,1.040344,[3 1] ; [4 5],[2.15384615 1.84615385] ; [4.84615385 4.15384615],0
p12,1,0.389625,0.740113,[ 1 10] ; [ 1 33],[ 0.48888889 10.51111111] ; [ 1.51111111 32.48888889],0
p1,1,0.390635,0.736965,[2 9] ; [ 3 31],[1.22222222 9.77777778] ; [ 3.77777778 30.22222222],0
p11,1,0.43008,0.622609,[5 6] ; [11 23],[3.91111111 7.08888889] ; [12.08888889 21.91111111],0
a4,1,0.484423,0.488889,[4 7] ; [16 17],[5. 6.] ; [15. 18.],0
b2,1,0.490691,0.475011,[2 7] ; [ 8 15],[2.8125 6.1875] ; [ 7.1875 15.8125],0
b3,1,0.490691,0.475011,[2 7] ; [ 8 15],[2.8125 6.1875] ; [ 7.1875 15.8125],0
a3,1,0.529183,0.39596,[7 4] ; [25  9],[7.82222222 3.17777778] ; [24.17777778  9.82222222],0
s4,1,0.642986,0.214859,[3 8] ; [ 7 27],[2.44444444 8.55555556] ; [ 7.55555556 26.44444444],0
v3,1,0.71077,0.13751,[2 9] ; [ 8 26],[2.44444444 8.55555556] ; [ 7.55555556 26.44444444],0
p3,1,0.723296,0.125356,[4 7] ; [14 19],[4.5 6.5] ; [13.5 19.5],0
d1,1,0.777008,0.080214,[7 4] ; [20 14],[6.6 4.4] ; [20.4 13.6],0
a5,1,0.806243,0.06016,[7 4] ; [23 11],[7.33333333 3.66666667] ; [22.66666667 11.33333333],0
n3,1,0.84822,0.03663,[3 4] ; [5 8],[2.8 4.2] ; [5.2 7.8],0
d5,1,0.862308,0.03008,[9 2] ; [27  7],[8.8 2.2] ; [27.2  6.8],0
b4,1,0.911385,0.012386,[7 4] ; [21 13],[6.84444444 4.15555556] ; [21.15555556 12.84444444],0
v1,1,0.948642,0.004149,[4 7] ; [12 22],[3.91111111 7.08888889] ; [12.08888889 21.91111111],0
v2,1,0.958295,0.002735,[3 8] ; [ 9 25],[2.93333333 8.06666667] ; [ 9.06666667 24.93333333],0
s1,1,0.978391,0.000734,[ 1 10] ; [ 3 31],[ 0.97777778 10.02222222] ; [ 3.02222222 30.97777778],0
