Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,2e-06,22.407407,[20 52] ; [16  2],[28.8 43.2] ; [ 7.2 10.8],1
s4,1,6.4e-05,15.981841,[ 7 65] ; [9 9],[12.8 59.2] ; [ 3.2 14.8],1
s8,1,0.000163,14.214343,[ 8 64] ; [9 9],[13.6 58.4] ; [ 3.4 14.6],1
r4,1,0.000723,11.428571,[32 40] ; [16  2],[38.4 33.6] ; [9.6 8.4],1
r3,1,0.001024,10.784298,[37 34] ; [17  1],[43.07865169 27.92134831] ; [10.92134831  7.07865169],0
s7,1,0.002003,9.546985,[12 53] ; [9 7],[16.85185185 48.14814815] ; [ 4.14814815 11.85185185],0
s2,1,0.005258,7.788462,[16 56] ; [10  8],[20.8 51.2] ; [ 5.2 12.8],0
d3,1,0.017509,5.644585,[33 38] ; [14  4],[37.49438202 33.50561798] ; [9.50561798 8.49438202],0
a5,1,0.019849,5.425096,[43 29] ; [16  2],[47.2 24.8] ; [11.8  6.2],0
p10,1,0.029512,4.737479,[18 52] ; [9 8],[21.72413793 48.27586207] ; [ 5.27586207 11.72413793],0
n6,1,0.030028,4.707668,[35 36] ; [14  4],[39.08988764 31.91011236] ; [9.91011236 8.08988764],0
n2,1,0.044094,4.052949,[15 17] ; [9 2],[17.86046512 14.13953488] ; [6.13953488 4.86046512],0
d5,1,0.046971,3.946437,[46 25] ; [16  2],[49.46067416 21.53932584] ; [12.53932584  5.46067416],0
d4,1,0.046971,3.946437,[46 25] ; [16  2],[49.46067416 21.53932584] ; [12.53932584  5.46067416],0
r1,1,0.049276,3.865922,[37 34] ; [14  4],[40.68539326 30.31460674] ; [10.31460674  7.68539326],0
p6,1,0.049969,3.842495,[ 7 63] ; [ 5 13],[ 9.54545455 60.45454545] ; [ 2.45454545 15.54545455],0
s3,1,0.076043,3.147513,[23 47] ; [10  8],[26.25 43.75] ; [ 6.75 11.25],0
v2,1,0.076043,3.147513,[23 47] ; [10  8],[26.25 43.75] ; [ 6.75 11.25],0
p9,1,0.088705,2.897727,[21 47] ; [9 8],[24. 44.] ; [ 6. 11.],0
p1,1,0.093533,2.8125,[ 6 66] ; [ 4 14],[ 8. 64.] ; [ 2. 16.],0
v4,1,0.106695,2.602497,[45 26] ; [15  3],[47.86516854 23.13483146] ; [12.13483146  5.86516854],0
n3,1,0.114623,2.489295,[13 16] ; [8 3],[15.225 13.775] ; [5.775 5.225],0
p4,1,0.126323,2.337117,[13 58] ; [ 6 11],[15.32954545 55.67045455] ; [ 3.67045455 13.32954545],0
a8,1,0.127285,2.325307,[ 6 60] ; [ 4 14],[ 7.85714286 58.14285714] ; [ 2.14285714 15.85714286],0
d2,1,0.139429,2.184245,[33 37] ; [12  6],[35.79545455 34.20454545] ; [9.20454545 8.79545455],0
p7,1,0.167383,1.906223,[16 54] ; [ 7 11],[18.29545455 51.70454545] ; [ 4.70454545 13.29545455],0
p3,1,0.216437,1.527842,[14 57] ; [ 6 12],[15.95505618 55.04494382] ; [ 4.04494382 13.95505618],0
b2,1,0.23568,1.40625,[21 27] ; [3 9],[19.2 28.8] ; [4.8 7.2],0
b3,1,0.23568,1.40625,[21 27] ; [3 9],[19.2 28.8] ; [4.8 7.2],0
b5,1,0.244379,1.355152,[37 35] ; [12  6],[39.2 32.8] ; [9.8 8.2],0
a7,1,0.308146,1.038605,[42 29] ; [13  5],[43.87640449 27.12359551] ; [11.12359551  6.87640449],0
s1,1,0.326099,0.964328,[10 61] ; [ 1 17],[ 8.7752809 62.2247191] ; [ 2.2247191 15.7752809],0
a3,1,0.327065,0.960484,[46 24] ; [14  4],[47.72727273 22.27272727] ; [12.27272727  5.72727273],0
b4,1,0.342663,0.900445,[37 35] ; [ 7 11],[35.2 36.8] ; [8.8 9.2],0
a6,1,0.370269,0.802762,[35 36] ; [11  7],[36.69662921 34.30337079] ; [9.30337079 8.69662921],0
v1,1,0.397642,0.715445,[17 55] ; [ 6 12],[18.4 53.6] ; [ 4.6 13.4],0
d1,1,0.398025,0.714286,[32 40] ; [10  8],[33.6 38.4] ; [8.4 9.6],0
n5,1,0.416679,0.659662,[43 28] ; [9 9],[41.48314607 29.51685393] ; [10.51685393  7.48314607],0
n4,1,0.483081,0.4919,[42 29] ; [9 9],[40.68539326 30.31460674] ; [10.31460674  7.68539326],0
u3,1,0.510671,0.432692,[11 15] ; [1 3],[10.4 15.6] ; [1.6 2.4],0
a4,1,0.512602,0.428752,[29 41] ; [9 9],[30.22727273 39.77272727] ; [ 7.77272727 10.22727273],0
u1,1,0.519811,0.414269,[ 8 64] ; [ 3 15],[ 8.8 63.2] ; [ 2.2 15.8],0
b1,1,0.525449,0.403186,[38 34] ; [11  7],[39.2 32.8] ; [9.8 8.2],0
p5,1,0.565273,0.330655,[ 2 69] ; [ 1 17],[ 2.39325843 68.60674157] ; [ 0.60674157 17.39325843],0
n1,1,0.703004,0.145366,[15 17] ; [4 6],[14.47619048 17.52380952] ; [4.52380952 5.47619048],0
v3,1,0.72674,0.122126,[21 47] ; [ 6 11],[21.6 46.4] ; [ 5.4 11.6],0
a1,1,0.756495,0.096154,[10 62] ; [ 2 16],[ 9.6 62.4] ; [ 2.4 15.6],0
p8,1,0.768625,0.086538,[14 57] ; [ 3 15],[13.56179775 57.43820225] ; [ 3.43820225 14.56179775],0
a2,1,0.897241,0.016679,[15 57] ; [ 4 14],[15.2 56.8] ; [ 3.8 14.2],0
