Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,165.229855,[278  26] ; [32 77],[228.18401937  75.81598063] ; [81.81598063 27.18401937],1
s6,1,0.0,43.513228,[275  26] ; [71 39],[253.39659367  47.60340633] ; [92.60340633 17.39659367],1
s5,1,0.0,30.108054,[155 134] ; [25 84],[130.70351759 158.29648241] ; [49.29648241 59.70351759],1
s4,1,0.000273,13.245042,[ 78 226] ; [ 10 100],[ 64.61835749 239.38164251] ; [23.38164251 86.61835749],1
s8,1,0.000387,12.595872,[228  76] ; [62 47],[213.46246973  90.53753027] ; [76.53753027 32.46246973],1
r2,1,0.001222,10.457277,[300   4] ; [100   8],[295.14563107   8.85436893] ; [104.85436893   3.14563107],0
d1,1,0.005255,7.789504,[207  99] ; [58 52],[194.92788462 111.07211538] ; [70.07211538 39.92788462],0
a4,1,0.032544,4.569622,[160 146] ; [44 65],[150.41927711 155.58072289] ; [53.58072289 55.41927711],0
r4,1,0.042035,4.133784,[288  18] ; [97 13],[283.19711538  22.80288462] ; [101.80288462   8.19711538],0
n3,1,0.053281,3.735072,[47 16] ; [17 14],[42.89361702 20.10638298] ; [21.10638298  9.89361702],0
n5,1,0.061416,3.498733,[254  50] ; [83 27],[247.4589372  56.5410628] ; [89.5410628 20.4589372],0
u4,1,0.061809,3.488171,[ 15 291] ; [  1 109],[ 11.76923077 294.23076923] ; [  4.23076923 105.76923077],0
s1,1,0.083514,2.995149,[ 18 284] ; [  2 108],[ 14.66019417 287.33980583] ; [  5.33980583 104.66019417],0
p9,1,0.091196,2.853141,[276  27] ; [93 16],[271.37621359  31.62378641] ; [97.62378641 11.37621359],0
d5,1,0.093405,2.814697,[258  45] ; [86 24],[252.37772397  50.62227603] ; [91.62227603 18.37772397],0
d2,1,0.101993,2.674104,[174 130] ; [53 57],[166.68599034 137.31400966] ; [60.31400966 49.68599034],0
a1,1,0.110614,2.545425,[ 21 285] ; [  3 107],[ 17.65384615 288.34615385] ; [  6.34615385 103.65384615],0
b5,1,0.115155,2.482009,[185 121] ; [57 53],[178.00961538 127.99038462] ; [63.99038462 46.00961538],0
n2,1,0.135276,2.230884,[53 10] ; [22  9],[50.26595745 12.73404255] ; [24.73404255  6.26595745],0
v1,1,0.145388,2.119985,[178 119] ; [56 52],[171.6 125.4] ; [62.4 45.6],0
a6,1,0.174383,1.844851,[196 107] ; [79 31],[201.75544794 101.24455206] ; [73.24455206 36.75544794],0
n4,1,0.204698,1.608531,[259  45] ; [88 22],[254.80193237  49.19806763] ; [92.19806763 17.80193237],0
p1,1,0.211602,1.56043,[ 35 269] ; [  8 102],[ 31.57487923 272.42512077] ; [11.42512077 98.57487923],0
v2,1,0.213762,1.545761,[182 114] ; [59 49],[176.57425743 119.42574257] ; [64.42574257 43.57425743],0
a3,1,0.232912,1.422988,[251  54] ; [84 25],[246.79951691  58.20048309] ; [88.20048309 20.79951691],0
p6,1,0.238417,1.389931,[147 155] ; [45 62],[141.77017115 160.22982885] ; [50.22982885 56.77017115],0
d4,1,0.239005,1.386455,[262  41] ; [90 20],[258.24697337  44.75302663] ; [93.75302663 16.24697337],0
r1,1,0.248505,1.331689,[261  44] ; [89 21],[257.22891566  47.77108434] ; [92.77108434 17.22891566],0
u1,1,0.275295,1.190171,[ 80 226] ; [23 87],[ 75.76442308 230.23557692] ; [27.23557692 82.76442308],0
b1,1,0.292743,1.106966,[126 180] ; [39 71],[121.37019231 184.62980769] ; [43.62980769 66.37019231],0
b4,1,0.301788,1.066275,[176 130] ; [57 53],[171.38942308 134.61057692] ; [61.61057692 48.38942308],0
n1,1,0.304614,1.053885,[33 29] ; [13 18],[30.66666667 31.33333333] ; [15.33333333 15.66666667],0
r3,1,0.309562,1.032544,[295  10] ; [104   6],[293.24096386  11.75903614] ; [105.75903614   4.24096386],0
a5,1,0.347375,0.883023,[244  62] ; [83 27],[240.53365385  65.46634615] ; [86.46634615 23.53365385],0
a8,1,0.359842,0.838444,[ 50 229] ; [13 81],[ 47.1233244 231.8766756] ; [15.8766756 78.1233244],0
a2,1,0.393818,0.72712,[ 91 215] ; [28 82],[ 87.53365385 218.46634615] ; [31.46634615 78.53365385],0
n6,1,0.441594,0.592138,[270  33] ; [95 15],[267.78450363  35.21549637] ; [97.21549637 12.78450363],0
p12,1,0.462547,0.539723,[ 33 272] ; [ 9 99],[ 31.01694915 273.98305085] ; [10.98305085 97.01694915],0
