Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.000977,10.870963,[12  8] ; [13 49],[ 6.09756098 13.90243902] ; [18.90243902 43.09756098],1
s2,1,0.008768,6.869417,[10 12] ; [11 52],[ 5.43529412 16.56470588] ; [15.56470588 47.43529412],0
s3,1,0.014023,6.035191,[12 10] ; [16 46],[ 7.33333333 14.66666667] ; [20.66666667 41.33333333],0
s7,1,0.019954,5.415894,[ 8 12] ; [ 9 50],[ 4.30379747 15.69620253] ; [12.69620253 46.30379747],0
u3,1,0.054292,3.703704,[7 2] ; [11 16],[4.5 4.5] ; [13.5 13.5],0
u1,1,0.101762,2.677705,[ 4 18] ; [ 4 59],[ 2.07058824 19.92941176] ; [ 5.92941176 57.07058824],0
r3,1,0.108809,2.571429,[17  4] ; [39 24],[14.  7.] ; [42. 21.],0
u2,1,0.143201,2.143219,[6 3] ; [10 16],[4.11428571 4.88571429] ; [11.88571429 14.11428571],0
s6,1,0.155949,2.013072,[11 10] ; [22 41],[ 8.25 12.75] ; [24.75 38.25],0
b1,1,0.178834,1.807286,[10 12] ; [39 24],[12.68235294  9.31764706] ; [36.31764706 26.68235294],0
b4,1,0.178834,1.807286,[10 12] ; [39 24],[12.68235294  9.31764706] ; [36.31764706 26.68235294],0
p11,1,0.19265,1.697233,[10 12] ; [19 44],[ 7.50588235 14.49411765] ; [21.49411765 41.50588235],0
v2,1,0.205376,1.603725,[10 11] ; [20 42],[ 7.59036145 13.40963855] ; [22.40963855 39.59036145],0
p4,1,0.228101,1.452665,[ 3 19] ; [16 45],[ 5.03614458 16.96385542] ; [13.96385542 47.03614458],0
v4,1,0.233084,1.421944,[16  5] ; [39 24],[13.75  7.25] ; [41.25 21.75],0
b5,1,0.236571,1.400913,[13  9] ; [28 35],[10.61176471 11.38823529] ; [30.38823529 32.61176471],0
p10,1,0.267082,1.231672,[ 2 20] ; [12 50],[ 3.66666667 18.33333333] ; [10.33333333 51.66666667],0
p8,1,0.267082,1.231672,[ 2 20] ; [12 50],[ 3.66666667 18.33333333] ; [10.33333333 51.66666667],0
d3,1,0.280938,1.162545,[12 10] ; [26 37],[ 9.83529412 12.16470588] ; [28.16470588 34.83529412],0
s4,1,0.284625,1.144871,[ 1 21] ; [ 8 55],[ 2.32941176 19.67058824] ; [ 6.67058824 56.32941176],0
n1,1,0.300623,1.071429,[4 3] ; [10 18],[2.8 4.2] ; [11.2 16.8],0
r4,1,0.360644,0.835648,[14  8] ; [33 30],[12.16470588  9.83529412] ; [34.83529412 28.16470588],0
n5,1,0.374415,0.788959,[10 11] ; [37 26],[11.75  9.25] ; [35.25 27.75],0
d5,1,0.379973,0.770789,[12 10] ; [41 22],[13.71764706  8.28235294] ; [39.28235294 23.71764706],0
a4,1,0.408033,0.684525,[10 12] ; [22 40],[ 8.38095238 13.61904762] ; [23.61904762 38.38095238],0
n6,1,0.410672,0.676855,[14  7] ; [35 27],[12.39759036  8.60240964] ; [36.60240964 25.39759036],0
a5,1,0.431031,0.620044,[14  8] ; [34 29],[12.42352941  9.57647059] ; [35.57647059 27.42352941],0
p1,1,0.464611,0.534763,[ 1 21] ; [ 6 57],[ 1.81176471 20.18823529] ; [ 5.18823529 57.81176471],0
s1,1,0.471474,0.518519,[ 4 17] ; [ 8 55],[ 3. 18.] ; [ 9. 54.],0
n3,1,0.484123,0.48956,[4 3] ; [11 15],[3.18181818 3.81818182] ; [11.81818182 14.18181818],0
a2,1,0.524841,0.40437,[ 4 18] ; [ 8 55],[ 3.10588235 18.89411765] ; [ 8.89411765 54.10588235],0
p3,1,0.554113,0.35,[ 6 15] ; [14 49],[ 5. 16.] ; [15. 48.],0
b2,1,0.600304,0.274538,[6 8] ; [14 26],[5.18518519 8.81481481] ; [14.81481481 25.18518519],0
b3,1,0.600304,0.274538,[6 8] ; [14 26],[5.18518519 8.81481481] ; [14.81481481 25.18518519],0
r1,1,0.603848,0.269231,[14  7] ; [38 25],[13.  8.] ; [39. 24.],0
n2,1,0.617536,0.249346,[4 3] ; [14 16],[3.40540541 3.59459459] ; [14.59459459 15.40540541],0
d2,1,0.619668,0.246334,[12 10] ; [30 32],[11. 11.] ; [31. 31.],0
a8,1,0.6357,0.22441,[ 1 19] ; [ 5 56],[ 1.48148148 18.51851852] ; [ 4.51851852 56.48148148],0
d1,1,0.635795,0.224284,[10 12] ; [25 38],[ 9.05882353 12.94117647] ; [25.94117647 37.05882353],0
n4,1,0.701478,0.146939,[13  8] ; [36 27],[12.25  8.75] ; [36.75 26.25],0
a7,1,0.705377,0.142938,[10 11] ; [33 30],[10.75 10.25] ; [32.25 30.75],0
p7,1,0.712832,0.135464,[ 6 14] ; [16 46],[ 5.36585366 14.63414634] ; [16.63414634 45.36585366],0
s5,1,0.735317,0.114286,[ 3 18] ; [11 52],[ 3.5 17.5] ; [10.5 52.5],0
s8,1,0.85187,0.034869,[ 3 18] ; [ 8 55],[ 2.75 18.25] ; [ 8.25 54.75],0
d4,1,0.907255,0.013572,[16  6] ; [45 18],[15.78823529  6.21176471] ; [45.21176471 17.78823529],0
a3,1,0.933141,0.007038,[13  9] ; [36 26],[12.83333333  9.16666667] ; [36.16666667 25.83333333],0
a6,1,0.94889,0.004109,[11 11] ; [31 32],[10.87058824 11.12941176] ; [31.12941176 31.87058824],0
r2,1,0.950335,0.00388,[17  4] ; [49 12],[16.90243902  4.09756098] ; [49.09756098 11.90243902],0
p5,1,0.955748,0.003079,[ 1 21] ; [ 3 59],[ 1.04761905 20.95238095] ; [ 2.95238095 59.04761905],0
p6,1,0.983553,0.000425,[ 2 19] ; [ 6 56],[ 2.02409639 18.97590361] ; [ 5.97590361 56.02409639],0
