Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,3e-05,17.402264,[ 3 32] ; [27 25],[12.06896552 22.93103448] ; [17.93103448 34.06896552],1
p3,1,3.5e-05,17.12655,[11 25] ; [39 13],[20.45454545 15.54545455] ; [29.54545455 22.45454545],1
p8,1,0.000522,12.035576,[11 24] ; [36 16],[18.90804598 16.09195402] ; [28.09195402 23.90804598],1
v3,1,0.009244,6.774996,[ 6 30] ; [22 29],[11.5862069 24.4137931] ; [16.4137931 34.5862069],0
p7,1,0.010807,6.496745,[20 16] ; [42 10],[25.36363636 10.63636364] ; [36.63636364 15.36363636],0
r4,1,0.021759,5.264957,[28  8] ; [49  3],[31.5  4.5] ; [45.5  6.5],0
n1,1,0.030148,4.700855,[7 2] ; [4 9],[4.5 4.5] ; [6.5 6.5],0
p5,1,0.030499,4.680945,[ 4 32] ; [16 36],[ 8.18181818 27.81818182] ; [11.81818182 40.18181818],0
p11,1,0.048221,3.902262,[24 12] ; [44  8],[27.81818182  8.18181818] ; [40.18181818 11.81818182],0
b5,1,0.068515,3.31825,[18 18] ; [16 36],[13.90909091 22.09090909] ; [20.09090909 31.90909091],0
v2,1,0.077452,3.117569,[16 20] ; [33 19],[20.04545455 15.95454545] ; [28.95454545 23.04545455],0
v4,1,0.087609,2.917773,[29  6] ; [49  3],[31.37931034  3.62068966] ; [46.62068966  5.37931034],0
p10,1,0.094423,2.797301,[26 10] ; [45  7],[29.04545455  6.95454545] ; [41.95454545 10.04545455],0
a5,1,0.133062,2.25641,[24 12] ; [42 10],[27.  9.] ; [39. 13.],0
p9,1,0.136506,2.216914,[25 10] ; [44  8],[27.75862069  7.24137931] ; [41.24137931 10.75862069],0
u2,1,0.147758,2.095249,[3 7] ; [10  7],[4.81481481 5.18518519] ; [8.18518519 8.81481481],0
n3,1,0.163187,1.944444,[7 1] ; [7 5],[5.6 2.4] ; [8.4 3.6],0
p2,1,0.167648,1.903846,[27  9] ; [45  7],[29.45454545  6.54545455] ; [42.54545455  9.45454545],0
d5,1,0.167648,1.903846,[27  9] ; [45  7],[29.45454545  6.54545455] ; [42.54545455  9.45454545],0
r3,1,0.177651,1.817164,[30  5] ; [49  3],[31.7816092  3.2183908] ; [47.2183908  4.7816092],0
n5,1,0.182524,1.776953,[23 13] ; [40 12],[25.77272727 10.22727273] ; [37.22727273 14.77272727],0
s7,1,0.18693,1.741646,[ 9 26] ; [19 29],[11.80722892 23.19277108] ; [16.19277108 31.80722892],0
n4,1,0.201071,1.634577,[24 12] ; [41 11],[26.59090909  9.40909091] ; [38.40909091 13.59090909],0
s4,1,0.203451,1.617429,[ 4 32] ; [11 40],[ 6.20689655 29.79310345] ; [ 8.79310345 42.20689655],0
p1,1,0.227761,1.454791,[ 3 33] ; [ 9 43],[ 4.90909091 31.09090909] ; [ 7.09090909 44.90909091],0
d4,1,0.23897,1.386662,[31  4] ; [41 11],[28.96551724  6.03448276] ; [43.03448276  8.96551724],0
s6,1,0.26238,1.256158,[20 14] ; [36 15],[22.4 11.6] ; [33.6 17.4],0
b4,1,0.262873,1.253561,[20 16] ; [35 17],[22.5 13.5] ; [32.5 19.5],0
p12,1,0.322061,0.980558,[ 5 30] ; [ 4 48],[ 3.62068966 31.37931034] ; [ 5.37931034 46.62068966],0
v1,1,0.361537,0.832547,[13 22] ; [24 27],[15.05813953 19.94186047] ; [21.94186047 29.05813953],0
a3,1,0.378861,0.774396,[26  9] ; [34 18],[24.13793103 10.86206897] ; [35.86206897 16.13793103],0
a8,1,0.420436,0.649096,[ 6 26] ; [ 6 43],[ 4.74074074 27.25925926] ; [ 7.25925926 41.74074074],0
u3,1,0.430223,0.622222,[4 6] ; [10  8],[5. 5.] ; [9. 9.],0
s8,1,0.439523,0.597527,[10 25] ; [19 33],[11.66666667 23.33333333] ; [17.33333333 34.66666667],0
b2,1,0.442764,0.589108,[ 8 14] ; [15 17],[ 9.37037037 12.62962963] ; [13.62962963 18.37037037],0
