Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,3e-06,21.680471,[28 18] ; [ 1 24],[18.78873239 27.21126761] ; [10.21126761 14.78873239],1
v4,1,3.5e-05,17.131275,[36 10] ; [ 7 18],[27.85915493 18.14084507] ; [15.14084507  9.85915493],1
p11,1,0.000284,13.171806,[28 18] ; [ 4 21],[20.73239437 25.26760563] ; [11.26760563 13.73239437],1
p10,1,0.000568,11.878778,[27 18] ; [ 4 20],[20.2173913 24.7826087] ; [10.7826087 13.2173913],1
b5,1,0.001205,10.483053,[33 13] ; [ 8 17],[26.56338028 19.43661972] ; [14.43661972 10.56338028],0
p9,1,0.001218,10.462779,[28 15] ; [ 5 17],[21.83076923 21.16923077] ; [11.16923077 10.83076923],0
n2,1,0.002221,9.357485,[17  4] ; [2 7],[13.3  7.7] ; [5.7 3.3],0
n6,1,0.00297,8.825694,[34 12] ; [ 9 15],[28.25714286 17.74285714] ; [14.74285714  9.25714286],0
s2,1,0.005349,7.757582,[18 28] ; [ 2 23],[12.95774648 33.04225352] ; [ 7.04225352 17.95774648],0
s6,1,0.019396,5.465446,[20 26] ; [ 4 21],[15.54929577 30.45070423] ; [ 8.45070423 16.54929577],0
v2,1,0.029913,4.714286,[18 24] ; [ 4 20],[14. 28.] ; [ 8. 16.],0
n5,1,0.032118,4.592178,[25 21] ; [20  5],[29.15492958 16.84507042] ; [15.84507042  9.15492958],0
p6,1,0.034298,4.479788,[11 34] ; [ 1 23],[ 7.82608696 37.17391304] ; [ 4.17391304 19.82608696],0
a1,1,0.034493,4.470112,[ 3 43] ; [ 6 19],[ 5.83098592 40.16901408] ; [ 3.16901408 21.83098592],0
s7,1,0.039221,4.251257,[13 30] ; [ 2 22],[ 9.62686567 33.37313433] ; [ 5.37313433 18.62686567],0
n3,1,0.046366,3.968254,[13  8] ; [2 7],[10.5 10.5] ; [4.5 4.5],0
u3,1,0.04854,3.891176,[8 9] ; [1 9],[ 5.66666667 11.33333333] ; [3.33333333 6.66666667],0
n4,1,0.049807,3.847941,[22 24] ; [18  7],[25.91549296 20.08450704] ; [14.08450704 10.91549296],0
s3,1,0.054644,3.692907,[18 28] ; [ 4 20],[14.45714286 31.54285714] ; [ 7.54285714 16.45714286],0
