Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,40.360203,[321  27] ; [7 9],[313.58241758  34.41758242] ; [14.41758242  1.58241758],1
r2,1,0.0,37.38923,[330  17] ; [9 7],[324.05785124  22.94214876] ; [14.94214876  1.05785124],1
p9,1,1.8e-05,18.381286,[292  52] ; [7 9],[285.71111111  58.28888889] ; [13.28888889  2.71111111],1
p2,1,0.000107,15.006768,[286  60] ; [7 9],[280.04972376  65.95027624] ; [12.95027624  3.04972376],1
r3,1,0.000275,13.235319,[333  15] ; [12  4],[329.83516484  18.16483516] ; [15.16483516  0.83516484],1
p10,1,0.000412,12.479133,[278  67] ; [7 9],[272.36842105  72.63157895] ; [12.63157895  3.36842105],1
a6,1,0.0007,11.488545,[247 100] ; [ 5 11],[240.89256198 106.10743802] ; [11.10743802  4.89256198],1
s3,1,0.005865,7.591347,[240 102] ; [ 6 10],[235.00558659 106.99441341] ; [10.99441341  5.00558659],0
a7,1,0.028279,4.810974,[260  88] ; [8 8],[256.21978022  91.78021978] ; [11.78021978  4.21978022],0
n5,1,0.028899,4.773609,[259  88] ; [8 8],[255.23140496  91.76859504] ; [11.76859504  4.23140496],0
v1,1,0.034188,4.485287,[174 160] ; [ 4 12],[169.86285714 164.13714286] ; [8.13714286 7.86285714],0
n4,1,0.034751,4.457369,[256  90] ; [8 8],[252.33149171  93.66850829] ; [11.66850829  4.33149171],0
r1,1,0.04622,3.973568,[284  61] ; [10  6],[280.96952909  64.03047091] ; [13.03047091  2.96952909],0
s8,1,0.047909,3.913188,[174 172] ; [ 4 12],[170.13259669 175.86740331] ; [7.86740331 8.13259669],0
a2,1,0.083204,3.001174,[ 88 260] ; [ 1 15],[ 85.08791209 262.91208791] ; [ 3.91208791 12.08791209],0
p7,1,0.085093,2.964846,[180 158] ; [ 5 11],[176.63841808 161.36158192] ; [8.36158192 7.63841808],0
a5,1,0.113556,2.50402,[258  90] ; [9 7],[255.26373626  92.73626374] ; [11.73626374  4.26373626],0
s2,1,0.16395,1.937414,[211 134] ; [7 9],[208.33795014 136.66204986] ; [9.66204986 6.33795014],0
a4,1,0.193495,1.690805,[143 203] ; [ 4 12],[140.50276243 205.49723757] ; [6.49723757 9.50276243],0
u3,1,0.193922,1.68757,[62 41] ; [2 4],[60.47706422 42.52293578] ; [3.52293578 2.47706422],0
p1,1,0.211616,1.56034,[ 18 328] ; [ 2 14],[ 19.1160221 326.8839779] ; [ 0.8839779 15.1160221],0
p11,1,0.249811,1.324358,[262  86] ; [10  6],[260.04395604  87.95604396] ; [11.95604396  4.04395604],0
s7,1,0.27157,1.208801,[183 153] ; [6 9],[180.92307692 155.07692308] ; [8.07692308 6.92307692],0
s5,1,0.306055,1.047625,[128 212] ; [ 4 12],[126.06741573 213.93258427] ; [ 5.93258427 10.06741573],0
n3,1,0.307338,1.042081,[66 24] ; [2 2],[65.10638298 24.89361702] ; [2.89361702 1.10638298],0
d1,1,0.310916,1.026782,[197 151] ; [7 9],[195.03296703 152.96703297] ; [8.96703297 7.03296703],0
p3,1,0.33254,0.93898,[151 196] ; [ 5 11],[149.12396694 197.87603306] ; [6.87603306 9.12396694],0
n6,1,0.350803,0.87055,[291  56] ; [12  4],[289.6446281  57.3553719] ; [13.3553719  2.6446281],0
b2,1,0.435084,0.609215,[ 65 140] ; [2 8],[ 63.88372093 141.11627907] ; [3.11627907 6.88372093],0
b3,1,0.435084,0.609215,[ 65 140] ; [2 8],[ 63.88372093 141.11627907] ; [3.11627907 6.88372093],0
b4,1,0.446302,0.580027,[206 142] ; [11  5],[207.46153846 140.53846154] ; [9.53846154 6.46153846],0
v3,1,0.467338,0.528264,[134 198] ; [ 5 11],[132.6091954 199.3908046] ; [6.3908046 9.6091954],0
p5,1,0.470605,0.520554,[ 26 318] ; [ 2 14],[ 26.75555556 317.24444444] ; [ 1.24444444 14.75555556],0
b5,1,0.49267,0.47069,[225 123] ; [9 7],[223.71428571 124.28571429] ; [10.28571429  5.71428571],0
p4,1,0.517364,0.419145,[180 166] ; [7 9],[178.73480663 167.26519337] ; [8.26519337 7.73480663],0
a3,1,0.521724,0.410484,[243 104] ; [10  6],[241.84848485 105.15151515] ; [11.15151515  4.84848485],0
d5,1,0.532132,0.390319,[282  65] ; [12  4],[281.04132231  65.95867769] ; [12.95867769  3.04132231],0
s1,1,0.568716,0.324836,[ 12 329] ; [ 1 15],[ 12.41736695 328.58263305] ; [ 0.58263305 15.41736695],0
s4,1,0.648212,0.208162,[ 70 275] ; [ 4 12],[ 70.72022161 274.27977839] ; [ 3.27977839 12.72022161],0
u2,1,0.670077,0.181513,[60 42] ; [3 3],[59.5 42.5] ; [3.5 2.5],0
v2,1,0.728132,0.120834,[178 149] ; [8 8],[177.32361516 149.67638484] ; [8.67638484 7.32361516],0
d2,1,0.777612,0.079768,[161 186] ; [8 8],[161.55096419 185.44903581] ; [7.44903581 8.55096419],0
b1,1,0.841427,0.040027,[122 226] ; [ 6 10],[122.37362637 225.62637363] ; [ 5.62637363 10.37362637],0
p8,1,0.903863,0.014588,[143 201] ; [6 9],[142.77437326 201.22562674] ; [6.22562674 8.77437326],0
a8,1,0.940911,0.005495,[ 44 270] ; [ 2 13],[ 43.90273556 270.09726444] ; [ 2.09726444 12.90273556],0
d3,1,0.950615,0.003836,[236 111] ; [11  5],[236.11294766 110.88705234] ; [10.88705234  5.11294766],0
d4,1,0.955861,0.003063,[280  67] ; [13  3],[280.08539945  66.91460055] ; [12.91460055  3.08539945],0
